Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Familial primary gastric lymphoma	3/72	4.450092963517906E-7	3.217417212623446E-4	0	0	433.17391304347825	6335.242405592267	CALD1;MYC;ABL1
Enteropathy-Associated T-Cell Lymphoma	2/20	9.482777500558207E-6	0.0029274443428343516	0	0	739.8888888888889	8557.579526684436	MYC;ABL1
Glioma	5/2211	1.6444481753086588E-5	0.0029274443428343516	0	0	88945.0	979775.479123943	CALD1;SRF;MYC;ABL1;MYLK
Thymic Lymphoma	2/27	1.750603176699575E-5	0.0029274443428343516	0	0	532.5333333333333	5832.818995426615	MYC;ABL1
T-Cell Prolymphocytic Leukemia	2/29	2.0245119936613775E-5	0.0029274443428343516	0	0	493.037037037037	5328.545495992294	MYC;ABL1
LATERAL MENINGOCELE SYNDROME	2/45	4.928760745700244E-5	0.005557530866207007	0	0	309.3333333333333	3067.91785043298	CALD1;MYLK
LIMB-MAMMARY SYNDROME	2/47	5.380735278485345E-5	0.005557530866207007	0	0	295.55555555555554	2905.340794131333	CALD1;MYLK
Leukemia, Lymphocytic, Acute, L2	2/53	6.854964198711411E-5	0.005895655021324282	0	0	260.70588235294116	2499.635583784046	MYC;ABL1
Burkitt Lymphoma	3/407	8.114779901512647E-5	0.005895655021324282	0	0	72.73886138613861	685.144675380262	CALD1;MYC;ABL1
Squamous cell carcinoma of mouth	2/59	8.506401139074483E-5	0.005895655021324282	0	0	233.19298245614036	2185.509468895314	CALD1;MYC
Prostate carcinoma	5/3145	9.588951957269054E-5	0.005895655021324282	0	0	84275.0	779738.7511416964	CALD1;SRF;MYC;ABL1;MYLK
Malignant neoplasm of prostate	5/3239	1.111125993114245E-4	0.005895655021324282	0	0	83805.0	763041.7143986315	CALD1;SRF;MYC;ABL1;MYLK
Benign Neoplasm	2/70	1.1993218478089633E-4	0.005895655021324282	0	0	195.36274509803923	1763.848974466872	SRF;MYC
Chromosome 8, trisomy	2/70	1.1993218478089633E-4	0.005895655021324282	0	0	195.36274509803923	1763.848974466872	MYC;ABL1
Leukemia, Myeloid, Chronic-Phase	2/71	1.2339614683190043E-4	0.005895655021324282	0	0	192.52173913043478	1732.7169589409075	MYC;ABL1
Failure to Thrive	2/73	1.3047092716623584E-4	0.005895655021324282	0	0	187.07981220657277	1673.3092146174563	MYC;ABL1
Retroviridae Infections	2/88	1.8976182576342223E-4	0.007939218728380036	0	0	154.33333333333334	1322.5966666716513	MYC;ABL1
Systemic Scleroderma	3/562	2.1157092844643378E-4	0.007939218728380036	0	0	52.15384615384615	441.2710979987623	SRF;MYC;ABL1
Papillary thyroid carcinoma	3/571	2.217650443523575E-4	0.007939218728380036	0	0	51.30369718309859	431.66377218968137	SRF;MYC;ABL1
Werner Syndrome	2/96	2.2586768599568456E-4	0.007939218728380036	0	0	141.1418439716312	1184.964987580801	MYC;ABL1
Adult Hepatocellular Carcinoma	2/97	2.305997141023247E-4	0.007939218728380036	0	0	139.64912280701753	1169.5372707339718	SRF;MYC
Neoplasm Metastasis	5/3920	2.886525814572079E-4	0.008139337324005192	0	0	80400.0	655283.0533564005	CALD1;SRF;MYC;ABL1;MYLK
Plasmacytoma	2/111	3.019414394328804E-4	0.008139337324005192	0	0	121.62691131498471	985.8198638512664	MYC;ABL1
leiomyosarcoma	2/114	3.1846364469203213E-4	0.008139337324005192	0	0	118.35119047619048	952.964050212754	CALD1;MYC
Carcinoma, Cribriform	2/115	3.2406770804292506E-4	0.008139337324005192	0	0	117.29793510324484	942.4370732555304	MYC;ABL1
Carcinoma, Granular Cell	2/115	3.2406770804292506E-4	0.008139337324005192	0	0	117.29793510324484	942.4370732555304	MYC;ABL1
Condition, Preneoplastic	2/116	3.297200775944884E-4	0.008139337324005192	0	0	116.26315789473684	932.1127225065889	MYC;ABL1
Adenocarcinoma, Basal Cell	2/117	3.354207386174795E-4	0.008139337324005192	0	0	115.2463768115942	921.9854062293039	MYC;ABL1
Leukemia, B-Cell	2/117	3.354207386174795E-4	0.008139337324005192	0	0	115.2463768115942	921.9854062293039	MYC;ABL1
Adult Acute Lymphocytic Leukemia	2/121	3.587060025145741E-4	0.008139337324005192	0	0	111.35014005602241	883.3414894522152	MYC;ABL1
Adenocarcinoma, Oxyphilic	2/122	3.64647899802241E-4	0.008139337324005192	0	0	110.41666666666667	874.1221903877367	MYC;ABL1
Acute Megakaryocytic Leukemias	2/122	3.64647899802241E-4	0.008139337324005192	0	0	110.41666666666667	874.1221903877367	SRF;ABL1
MYELODYSPLASTIC SYNDROME	3/683	3.76611679131327E-4	0.008139337324005192	0	0	42.606617647058826	335.9231821138624	SRF;MYC;ABL1
Adenocarcinoma, Tubular	2/125	3.827627510597186E-4	0.008139337324005192	0	0	107.70731707317073	847.4514255078432	MYC;ABL1
Cleft palate, isolated	2/129	4.0759004177445227E-4	0.008419645720083685	0	0	104.29396325459318	814.0403198886481	MYC;ABL1
Hyperactive behavior	3/709	4.205066020160998E-4	0.00844517425715667	0	0	40.98229461756374	318.59842297443396	SRF;MYC;ABL1
Thrombocythemia, Essential	2/145	5.145857959825348E-4	0.010055284607983045	0	0	92.55011655011656	700.8032040488963	MYC;ABL1
Monosomy	2/147	5.288230668011627E-4	0.010061554665716859	0	0	91.26436781609195	688.5765723657122	MYC;ABL1
Tumor Progression	4/2090	5.450782823170157E-4	0.010104912772184678	0	0	34.34132310642378	258.0606588123843	CALD1;SRF;MYC;ABL1
Sezary Syndrome	2/153	5.726824628379199E-4	0.010351235515795401	0	0	87.61147902869757	654.0353875035723	MYC;ABL1
Malignant neoplasm of liver	3/805	6.112663584783227E-4	0.010779160419020177	0	0	35.89713216957606	265.6379795302141	CALD1;MYC;ABL1
Polycystic Kidney, Autosomal Dominant	2/161	6.33834972375731E-4	0.010911016310182228	0	0	83.16981132075472	612.4393638149938	CALD1;MYC
Progressive Neoplastic Disease	2/167	6.817002382682741E-4	0.011462076099254934	0	0	80.12121212121212	584.1573903490295	MYC;ABL1
Progressive cGVHD	2/169	6.980358230036179E-4	0.011469997727991269	0	0	79.15369261477046	575.228891737348	MYC;ABL1
Non-Small Cell Lung Carcinoma	4/2243	7.184004435392269E-4	0.011542300459530246	0	0	31.721304153640016	229.61413429039203	SRF;MYC;ABL1;MYLK
Mucosa-Associated Lymphoid Tissue Lymphoma	2/176	7.567062693350516E-4	0.011893448537592223	0	0	75.94252873563218	545.763671063253	MYC;ABL1
Hematopoietic Neoplasms	2/192	8.995256989849803E-4	0.013793362367532305	0	0	69.49122807017544	487.3866607767381	MYC;ABL1
Mammary Neoplasms	4/2387	9.157418999191572E-4	0.013793362367532305	0	0	29.562736046999582	206.8142793804646	CALD1;MYC;ABL1;MYLK
Breast Carcinoma	5/4963	9.395138165520207E-4	0.013862622231981857	0	0	75185.0	524050.5798563536	CALD1;SRF;MYC;ABL1;MYLK
Anaplastic carcinoma	2/204	0.0010145693548244859	0.014383915425241013	0	0	65.32343234323433	450.29343070918674	SRF;MYC
Thymoma	2/205	0.0010244621906275791	0.014383915425241013	0	0	64.99835796387521	447.4218841511589	MYC;ABL1
Polycythemia Vera	2/207	0.0010443888124217202	0.014383915425241013	0	0	64.35772357723577	441.7722300562864	MYC;ABL1
Addictive Behavior	2/208	0.001054422569208539	0.014383915425241013	0	0	64.042071197411	438.993155382923	MYC;ABL1
