Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Prostatic Neoplasms	15/1554	1.3900642916170807E-14	3.5905360652469196E-11	0	0	59.91877842755036	1911.8189543503834	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Hepatocarcinogenesis	11/527	1.0326345920731957E-13	9.059166136437141E-11	0	0	59.28183831672204	1772.6154625494794	NR4A1;AR;JUN;CDKN1A;PRKDC;CDH1;CAV1;PIM1;ESR1;EGFR;VEGFA
Colonic Neoplasms	12/778	1.6538138157457076E-13	9.059166136437141E-11	0	0	50.17232375979112	1476.5976874710714	NR4A1;AR;JUN;CDKN1A;EPAS1;STAT1;CDH1;CAV1;EZR;ESR1;EGFR;VEGFA
Endometrial Neoplasms	9/238	1.8211952273537034E-13	9.059166136437141E-11	0	0	86.25764192139738	2530.2914329231785	AR;JUN;CDKN1A;CDH1;CAV1;PIK3R1;ESR1;EGFR;VEGFA
Stomach Carcinoma	16/2378	1.8435429055938716E-13	9.059166136437141E-11	0	0	59.67823878069433	1749.8803640257215	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;HBB;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;NFIB;PIM1;EZR
Malignant neoplasm of stomach	16/2398	2.104335920194458E-13	9.059166136437141E-11	0	0	59.109991603694375	1725.3973814700598	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;HBB;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;NFIB;PIM1;EZR
leukemia	15/1941	3.731210046660656E-13	1.376816507217782E-10	0	0	46.87435098650052	1341.3973781338234	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Triple Negative Breast Neoplasms	11/632	7.491171932752886E-13	2.418712137787588E-10	0	0	48.99263860133426	1367.868637533807	NR4A1;AR;EPAS1;STAT1;CDH1;NFIB;CAV1;PIM1;ESR1;EGFR;VEGFA
Bladder Neoplasm	13/1217	9.482953322919433E-13	2.455656194608329E-10	0	0	40.55049833887043	1122.6044731621057	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;HBB;PIK3R1;ESR1;EGFR;VEGFA;AR;CDH1
Brain Neoplasms	11/646	9.50699262333848E-13	2.455656194608329E-10	0	0	47.877840269966256	1325.334199371745	NR4A1;CDKN1A;EPAS1;STAT1;PRKDC;CDH1;CAV1;PIK3R1;ESR1;EGFR;VEGFA
Colon Carcinoma	15/2091	1.117826560131473E-12	2.49963037660055E-10	0	0	43.126204238921005	1186.8173947294047	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Sarcoma	11/658	1.161268467642532E-12	2.49963037660055E-10	0	0	46.960697725767275	1290.550799706571	AR;JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;EZR;ESR1;EGFR;VEGFA
Li-Fraumeni Syndrome	6/50	3.2456950689754883E-12	6.010062767038369E-10	0	0	226.5681818181818	5993.564806332732	AR;CDKN1A;CDH1;CAV1;ESR1;EGFR
Malignant Glioma	10/504	3.451194873142919E-12	6.010062767038369E-10	0	0	49.311740890688256	1301.4502889333348	NR4A1;AR;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;EGFR;VEGFA
Renal Cell Carcinoma	13/1348	3.490164208500795E-12	6.010062767038369E-10	0	0	36.31625468164794	958.0617414994426	JUN;CDKN1A;EPAS1;STAT1;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;EZR
Squamous cell carcinoma of esophagus	12/1023	4.202132754620558E-12	6.40194728588916E-10	0	0	37.52917903066271	983.092941753935	AR;JUN;CDKN1A;STAT1;CDH1;CAV1;PIM1;PIK3R1;EZR;ESR1;EGFR;VEGFA
Astrocytoma	11/741	4.213438012393175E-12	6.40194728588916E-10	0	0	41.4426614481409	1085.4969462107986	AR;CDKN1A;EPAS1;PRKDC;CDH1;CAV1;PIM1;PIK3R1;ESR1;EGFR;VEGFA
Mammary Neoplasms	15/2387	7.823635587511032E-12	1.0726141631170757E-9	0	0	37.120573355817875	949.3167826786287	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Pancreatic carcinoma	14/1869	7.891523541560264E-12	1.0726141631170757E-9	0	0	34.20188679245283	874.3791673323434	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Squamous cell carcinoma	14/1876	8.305181286233649E-12	1.0726141631170757E-9	0	0	34.06015037593985	869.015497719923	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Cervix carcinoma	12/1105	1.0400575371625692E-11	1.2792707707099602E-9	0	0	34.56358645928637	874.0840676974358	AR;JUN;CDKN1A;STAT1;PRKDC;CDH1;CAV1;HBB;EZR;ESR1;EGFR;VEGFA
Glioblastoma	14/1937	1.2857433360782995E-11	1.3507355256772817E-9	0	0	32.86869474778991	824.2515121970663	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;PIM1;EZR
Malignant neoplasm of endometrium	10/577	1.3140050431619977E-11	1.3507355256772817E-9	0	0	42.802028218694886	1072.4200658778468	AR;CDKN1A;PRKDC;CDH1;CAV1;PIK3R1;EZR;ESR1;EGFR;VEGFA
Neoplasm Metastasis	17/3920	1.3267925901556392E-11	1.3507355256772817E-9	0	0	70.03407635152446	1754.0504756814644	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;HBB;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;NFIB;PIM1;EZR
Carcinoma of lung	15/2476	1.3379769307451787E-11	1.3507355256772817E-9	0	0	35.597318163348234	891.2599260978943	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Uterine Corpus Cancer	10/579	1.3596253839570006E-11	1.3507355256772817E-9	0	0	42.64718804920914	1067.084965162985	AR;CDKN1A;PRKDC;CDH1;CAV1;PIK3R1;EZR;ESR1;EGFR;VEGFA
Prostate carcinoma	16/3145	1.5051796420316104E-11	1.4399551908769073E-9	0	0	43.08852668584212	1073.7455648923515	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;NFIB;PIM1;EZR
Malignant neoplasm of urinary bladder	12/1144	1.5623468649031178E-11	1.4412649828731261E-9	0	0	33.303886925795055	828.6755382687527	AR;JUN;CDKN1A;EPAS1;STAT1;PRKDC;CDH1;CAV1;PIK3R1;ESR1;EGFR;VEGFA
Carcinoma of bladder	12/1162	1.8760676394398318E-11	1.6709940388527882E-9	0	0	32.751304347826085	808.9329197836104	AR;JUN;CDKN1A;EPAS1;STAT1;PRKDC;CDH1;CAV1;PIK3R1;ESR1;EGFR;VEGFA
Malignant tumor of colon	14/2001	2.0033342706160332E-11	1.7248708070004044E-9	0	0	31.697282335178663	780.8189061867428	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;EZR
Malignant neoplasm of prostate	16/3239	2.3889208342433418E-11	1.9905104886614686E-9	0	0	41.59851070431275	1017.3994979888058	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;NFIB;PIM1;EZR
Adenocarcinoma of colon	8/267	3.541108426081822E-11	2.836863024340726E-9	0	0	60.92046332046332	1465.9897996787597	JUN;CDKN1A;EPAS1;CDH1;CAV1;ESR1;EGFR;VEGFA
Tumor Progression	14/2090	3.624331389982345E-11	2.836863024340726E-9	0	0	30.1883429672447	725.750895113627	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1;EZR
Squamous cell carcinoma of tongue	7/153	3.9594572292347845E-11	3.0080229479745435E-9	0	0	86.45828144458281	2070.877208020756	EPAS1;CDH1;CAV1;EZR;ESR1;EGFR;VEGFA
Precancerous Conditions	9/446	5.120688607776361E-11	3.779068192538954E-9	0	0	44.725400457665906	1059.7749429159255	CDKN1A;STAT1;PRKDC;CDH1;CAV1;PIM1;ESR1;EGFR;VEGFA
Secondary malignant neoplasm of lymph node	12/1271	5.355448763572108E-11	3.842534487862988E-9	0	0	29.74265289912629	703.4233039168869	NR4A1;AR;JUN;CDKN1A;EPAS1;CDH1;CAV1;PIM1;EZR;ESR1;EGFR;VEGFA
Noninfiltrating Intraductal Carcinoma	8/287	6.301417334493237E-11	4.399070533782711E-9	0	0	56.49605734767025	1326.9602677396547	AR;CDKN1A;STAT1;CDH1;CAV1;ESR1;EGFR;VEGFA
Leukemia, Myelocytic, Acute	13/1703	6.753135915414888E-11	4.590355281451752E-9	0	0	28.141538461538463	659.0306217032305	JUN;CDKN1A;EPAS1;STAT1;CAV1;PIK3R1;ESR1;EGFR;VEGFA;NR4A1;AR;CDH1;PIM1
Lymphoma	12/1307	7.419751914818728E-11	4.914158768199172E-9	0	0	28.860231660231662	673.144424282648	NR4A1;JUN;CDKN1A;EPAS1;STAT1;PRKDC;CDH1;PIM1;HBB;ESR1;EGFR;VEGFA
Multiple Myeloma	12/1312	7.757718956340143E-11	5.009547016056648E-9	0	0	28.74153846153846	669.0957633448103	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CDH1;CAV1;PIM1;PIK3R1;ESR1;EGFR;VEGFA
Non-Small Cell Lung Carcinoma	14/2243	9.46928474771817E-11	5.965649391062447E-9	0	0	27.875953342305966	643.3876697851267	JUN;CDKN1A;EPAS1;STAT1;PRKDC;CAV1;PIK3R1;ESR1;EGFR;VEGFA;AR;CDH1;PIM1;EZR
Prostatic Intraepithelial Neoplasias	7/174	9.808977093358318E-11	6.032520912415366E-9	0	0	75.50626020685901	1740.052188341165	AR;CDH1;CAV1;PIM1;EZR;ESR1;EGFR
