Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ehlers-Danlos Syndrome, Type IV	2/8	2.0982540726248864E-6	0.0012820332383738056	0	0	1665.6666666666667	21777.60051675149	COL1A1;ADGRG1
Squamous cell carcinoma	5/1876	3.9974722495889525E-5	0.01221227772249425	0	0	48.43132014965259	490.4767282748415	SLC12A2;SOCS3;ADGRG1;NCL;CDH17
Osteoarthritis of hip	2/68	1.6935418711549392E-4	0.02841419615247526	0	0	150.96969696969697	1310.9481194945301	COL1A1;SOCS3
Asthma	4/1313	2.4916715391757243E-4	0.02841419615247526	0	0	28.548510313216195	236.87802651880693	COL1A1;SLC12A2;SOCS3;CDH17
Pilocytic Astrocytoma	2/122	5.44788366532271E-4	0.02841419615247526	0	0	82.80833333333334	622.3139953430315	COL1A1;SOCS3
Adenocarcinoma	4/1712	6.969455362863479E-4	0.02841419615247526	0	0	21.412177985948478	155.64090979993352	SLC12A2;SOCS3;NCL;CDH17
Liver carcinoma	5/3593	9.526644939653528E-4	0.02841419615247526	0	0	22.86231884057971	159.03595442431637	COL1A1;SLC12A2;SOCS3;NCL;CDH17
Cyst	2/169	0.0010412388703399619	0.02841419615247526	0	0	59.362275449101794	407.6611692951215	SLC12A2;ADGRG1
Neoplasm Metastasis	5/3920	0.0014493407327958172	0.02841419615247526	0	0	20.535121328224776	134.23082881304734	COL1A1;SOCS3;ADGRG1;NCL;CDH17
Tumor Progression	4/2090	0.001499285214079498	0.02841419615247526	0	0	17.169702780441035	111.6505733506523	SOCS3;ADGRG1;NCL;CDH17
Malignant tumor of cervix	3/884	0.0015566812467964198	0.02841419615247526	0	0	21.69466515323496	140.26033026919276	SOCS3;NCL;CDH17
Nasal Polyps	2/219	0.001739198120936234	0.02841419615247526	0	0	45.56912442396313	289.56130553022484	SLC12A2;SOCS3
Bat ear	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	COL1A1
Dissection, Blood Vessel	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	COL1A1
Craniofacial disproportion	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	COL1A1
Crumpled long bones	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	COL1A1
Pilomyxoid astrocytoma	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	COL1A1
Intestinal metaplasia	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	CDH17
Northern epilepsy syndrome	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	NCL
Cigarette-paper scars	1/6	0.00179884089014784	0.02841419615247526	0	0	799.56	5053.709147518722	COL1A1
Glioma	4/2211	0.001858414979743622	0.02841419615247526	0	0	16.11871318531944	101.35497328260679	COL1A1;SLC12A2;SOCS3;NCL
Non-Small Cell Lung Carcinoma	4/2243	0.0019629382676442392	0.02841419615247526	0	0	15.859758820902188	98.8588378558997	SLC12A2;SOCS3;NCL;CDH17
cervical cancer	3/965	0.0020066415727901833	0.02841419615247526	0	0	19.783783783783782	122.88287404325447	SOCS3;NCL;CDH17
Enlargement of calvarial bones	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Bartter syndrome, type 3	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	SLC12A2
Ulcerative colitis in remission	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	SOCS3
Idiopathic osteoporosis	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Sclerosteosis	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Bowel diverticula	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Bowel diverticulosis	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Increased ossification of calvarial bones	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Broad long bones	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Molluscoid pseudotumors	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Calvarial hyperostosis	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Deformity	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	ADGRG1
Pulmonary Valve Insufficiency	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Ehlers-Danlos syndrome type 1	1/7	0.002098387281973246	0.02841419615247526	0	0	666.2666666666667	4108.590825691207	COL1A1
Squamous cell carcinoma of esophagus	3/1023	0.002375001752146893	0.02841419615247526	0	0	18.601960784313725	112.40713067308593	SLC12A2;ADGRG1;CDH17
Epidermolysis Bullosa Dystrophica	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	COL1A1
Beading of ribs	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	COL1A1
Convulsions in the newborn	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	SLC12A2
Cranial asymmetry	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	COL1A1
Perisylvian syndrome	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	ADGRG1
White matter dysmyelination/demyelination	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	ADGRG1
Multiple prenatal fractures	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	COL1A1
Adult Fibrosarcoma	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	COL1A1
Cerebral dysmyelination	1/8	0.002397858969227747	0.02841419615247526	0	0	571.0571428571428	3445.2899826083253	ADGRG1
Stomach Carcinoma	4/2378	0.002451090048882432	0.02841419615247526	0	0	14.844144903117101	89.23145687685054	COL1A1;SOCS3;NCL;CDH17
Malignant neoplasm of stomach	4/2398	0.0025301905538661937	0.02841419615247526	0	0	14.703425229741018	87.918552748268	COL1A1;SOCS3;NCL;CDH17
Hypomenorrhea	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	SOCS3
Cleft lip, isolated	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	NCL
Decreased calvarial ossification	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	COL1A1
Wide cranial sutures	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	COL1A1
Premature osteoarthritis	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	COL1A1
Nephrogenic Fibrosing Dermopathy	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	COL1A1
Osteogenesis imperfecta, dominant perinatal lethal	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	COL1A1
Protrusio acetabuli	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	COL1A1
Endocrine hypertension	1/9	0.0026972559359141816	0.02841419615247526	0	0	499.65	2955.689739283532	SLC12A2
melanoma	4/2454	0.0027614397033500384	0.028597282351641922	0	0	14.321632653061224	84.38310404055622	SOCS3;ADGRG1;NCL;CDH17
Cervix carcinoma	3/1105	0.0029653091524343453	0.028607957244138834	0	0	17.143375680580764	99.7877151715498	SOCS3;NCL;CDH17
CEROID LIPOFUSCINOSIS, NEURONAL, 6	1/10	0.002996578172872153	0.028607957244138834	0	0	444.1111111111111	2580.4117942926405	NCL
Poor wound healing	1/10	0.002996578172872153	0.028607957244138834	0	0	444.1111111111111	2580.4117942926405	COL1A1
Lennox-Gastaut syndrome	1/10	0.002996578172872153	0.028607957244138834	0	0	444.1111111111111	2580.4117942926405	ADGRG1
Lobstein Disease	1/10	0.002996578172872153	0.028607957244138834	0	0	444.1111111111111	2580.4117942926405	COL1A1
Eosinophilia-Myalgia Syndrome	1/11	0.0032958256764104633	0.029373987068856515	0	0	399.68	2284.210591570385	COL1A1
ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA	1/11	0.0032958256764104633	0.029373987068856515	0	0	399.68	2284.210591570385	SLC12A2
