Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Primary malignant neoplasm of lung	10/2268	3.409854794539622E-9	4.002944058063265E-6	0	0	78.52524357838796	1530.974959963796	HSP90AB1;NOS2;STAT1;INSR;BHLHE40;BHLHE41;TAP1;IRS2;APOE;EGFR
Diabetic Nephropathy	7/561	3.939905568959906E-9	4.002944058063265E-6	0	0	61.39214801444043	1188.067545104188	NOS2;STAT1;INSR;IRS2;APOE;HBA1;EGFR
Malignant neoplasm of lung	10/2449	7.291812232982565E-9	4.128626687466733E-6	0	0	71.95571955719558	1348.1993274490703	HSP90AB1;NOS2;STAT1;INSR;BHLHE40;BHLHE41;TAP1;IRS2;APOE;EGFR
Carcinoma of lung	10/2476	8.127217888714041E-9	4.128626687466733E-6	0	0	71.05839416058394	1323.6791186074895	HSP90AB1;NOS2;STAT1;INSR;BHLHE40;BHLHE41;TAP1;IRS2;APOE;EGFR
Cardiac Arrest	5/201	4.2903909395105777E-8	1.7436148778170987E-5	0	0	84.15391156462584	1427.6124449142942	NOS2;STAT1;APOE;HBA1;EGFR
Diabetes Mellitus, Insulin-Dependent	7/956	1.5550097408844236E-7	5.2662996557952484E-5	0	0	35.11064278187566	550.4159886047047	NOS2;STAT1;INSR;TAP1;APOE;HBA1;EGFR
Anoxia	5/288	2.573778388666048E-7	6.916839827945954E-5	0	0	58.02709069493522	880.42883675789	NOS2;STAT1;BHLHE40;BHLHE41;APOE
Cystic Fibrosis	6/594	2.723165286592895E-7	6.916839827945954E-5	0	0	39.593877551020405	598.5129604815093	NOS2;STAT1;TAP1;APOE;HBA1;EGFR
Carotid Artery Plaque	3/26	3.1955018249483204E-7	7.214733009216652E-5	0	0	325.5326086956522	4868.780123538342	NOS2;STAT1;APOE
Kidney Diseases	6/639	4.1864698855371935E-7	8.506906807411577E-5	0	0	36.69383886255924	538.8944426535402	NOS2;INSR;IRS2;APOE;HBA1;EGFR
Glioblastoma	8/1937	9.635420743532152E-7	1.4444386292684447E-4	0	0	24.96630378434422	345.8494601739504	NOS2;STAT1;INSR;BHLHE40;TAP1;IRS2;APOE;EGFR
Hyperinsulinism	5/377	9.75294611231838E-7	1.4444386292684447E-4	0	0	43.94489247311828	608.2204376617437	STAT1;INSR;BHLHE40;IRS2;APOE
Disorder of the optic nerve	3/38	1.0331048943235618E-6	1.4444386292684447E-4	0	0	213.79285714285714	2946.6945135819124	NOS2;APOE;EGFR
Gastric Adenocarcinoma	5/383	1.054252891248353E-6	1.4444386292684447E-4	0	0	43.23412698412698	595.0173770206371	NOS2;STAT1;INSR;TAP1;EGFR
Diabetes	7/1268	1.0662686731804464E-6	1.4444386292684447E-4	0	0	25.990483743061063	357.40411452458096	NOS2;STAT1;INSR;IRS2;APOE;HBA1;EGFR
Hypertensive disease	7/1310	1.3298130212972144E-6	1.6888625370474624E-4	0	0	25.096316193399847	339.5650088558883	NOS2;INSR;BHLHE41;TAP1;IRS2;APOE;EGFR
Renal Cell Carcinoma	7/1348	1.613844319547589E-6	1.7464572964740683E-4	0	0	24.335570469798657	324.560861706629	NOS2;STAT1;INSR;TAP1;IRS2;APOE;EGFR
Sickle Cell Trait	3/44	1.6190004743883632E-6	1.7464572964740683E-4	0	0	182.4512195121951	2432.7501157538336	NOS2;APOE;HBA1
HIV Infections	6/806	1.6330063303645324E-6	1.7464572964740683E-4	0	0	28.7835	383.54266663300456	HSP90AB1;NOS2;STAT1;APOE;HBA1;EGFR
Myocardial Ischemia	5/448	2.2794920538405305E-6	2.3159639267019788E-4	0	0	36.768246802106844	477.6768080648604	NOS2;BHLHE40;TAP1;APOE;HBA1
Eclampsia	4/194	2.6853782529748316E-6	2.598423147640408E-4	0	0	59.545864661654136	763.8358309474189	INSR;BHLHE40;TAP1;APOE
Insulin Sensitivity	3/55	3.196521188954781E-6	2.821470126096848E-4	0	0	143.77644230769232	1819.2676598709952	INSR;IRS2;EGFR
Diabetes Mellitus	7/1507	3.425297404124174E-6	2.821470126096848E-4	0	0	21.5705	271.4501232381248	NOS2;STAT1;INSR;IRS2;APOE;HBA1;EGFR
Colorectal cancer metastatic	4/208	3.542052280553613E-6	2.821470126096848E-4	0	0	55.42016806722689	695.5676813868033	NOS2;INSR;IRS2;EGFR
Infection	5/492	3.6081883955340174E-6	2.821470126096848E-4	0	0	33.3709787816564	418.2152755994991	NOS2;STAT1;TAP1;APOE;EGFR
Nonalcoholic Steatohepatitis	4/209	3.610148783391636E-6	2.821470126096848E-4	0	0	55.14703832752613	691.0895357353446	INSR;IRS2;APOE;HBA1
Herpes Simplex Infections	5/503	4.020521274428068E-6	2.9509251534385515E-4	0	0	32.61546184738956	405.21772671017067	NOS2;STAT1;TAP1;APOE;EGFR
Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site	4/216	4.114407862231027E-6	2.9509251534385515E-4	0	0	53.307277628032345	661.0643831422935	NOS2;STAT1;TAP1;EGFR
Prostatic Neoplasms	7/1554	4.211458142210531E-6	2.9509251534385515E-4	0	0	20.861990950226243	258.2234991428008	HSP90AB1;STAT1;INSR;TAP1;APOE;HBA1;EGFR
Malnutrition	4/225	4.837367077909112E-6	3.2765099674371054E-4	0	0	51.113122171945705	625.5806569454487	STAT1;INSR;TAP1;APOE
Schistosomiasis	3/67	5.815869812131874E-6	3.812208857500635E-4	0	0	116.748046875	1407.388388866233	NOS2;APOE;EGFR
Migraine with Aura	3/68	6.082469780367734E-6	3.862368310533511E-4	0	0	114.94615384615385	1380.5147713403303	NOS2;INSR;APOE
Systemic Scleroderma	5/562	6.910473531001847E-6	4.255176428786592E-4	0	0	29.07241172950329	345.45212980770015	HSP90AB1;NOS2;TAP1;APOE;EGFR
Sensory denervation disorder	2/8	7.686024286039395E-6	4.5935298085976624E-4	0	0	740.1111111111111	8715.627566800247	STAT1;APOE
Malignant Fibrous Histiocytoma	3/75	8.178168673946682E-6	4.6745353940217955E-4	0	0	103.734375	1215.1488578452625	NOS2;STAT1;EGFR
Adenoma of large intestine	4/258	8.314065942597925E-6	4.6745353940217955E-4	0	0	44.39820022497188	519.3506903033758	INSR;IRS2;APOE;EGFR
Stable angina	3/76	8.511703227303467E-6	4.6745353940217955E-4	0	0	102.3082191780822	1194.353157896221	NOS2;STAT1;APOE
Cerebral arterial aneurysm	3/78	9.205516370396433E-6	4.8323775345079874E-4	0	0	99.57	1154.5846105236014	NOS2;STAT1;APOE
Arteriosclerosis	6/1087	9.274740346742692E-6	4.8323775345079874E-4	0	0	20.98945420906568	243.2303279386271	NOS2;STAT1;INSR;IRS2;APOE;EGFR
