Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hypertensive disease	4/1310	1.8326517701738402E-5	0.010533899808337481	0	0	74760.0	815419.3931601461	PRKCD;GNAS;PTPRJ;PPARGC1A
Pituitary-dependent Cushing's disease	2/56	4.60339340892693E-5	0.010533899808337481	0	0	369.2962962962963	3687.8414643753836	PRKCD;GNAS
Thyroid Neoplasm	3/476	5.264051868876958E-5	0.010533899808337481	0	0	123.8245243128964	1219.9222370142068	PRKCD;GNAS;PTPRJ
Congenital Hypothyroidism	2/67	6.604325898644189E-5	0.010533899808337481	0	0	306.6307692307692	2951.3826613585425	GNAS;PPARGC1A
Colon Carcinoma	4/2091	1.1916882627395167E-4	0.010763468868250057	0	0	71636.0	647229.0652222435	PRKCD;GNAS;PTPRJ;PPARGC1A
Ductal Breast Carcinoma	2/97	1.3879851713065886E-4	0.010763468868250057	0	0	209.4842105263158	1860.740817229006	PRKCD;GNAS
Mood swings	2/100	1.4753333541886297E-4	0.010763468868250057	0	0	203.0408163265306	1791.1157096356244	GNAS;PPARGC1A
Diabetes Mellitus, Experimental	2/113	1.8844070582833773E-4	0.010763468868250057	0	0	179.14414414414415	1536.4704463672817	PRKCD;PPARGC1A
Alloxan Diabetes	2/113	1.8844070582833773E-4	0.010763468868250057	0	0	179.14414414414415	1536.4704463672817	PRKCD;PPARGC1A
Obesity, Morbid	2/113	1.8844070582833773E-4	0.010763468868250057	0	0	179.14414414414415	1536.4704463672817	GNAS;PPARGC1A
Streptozotocin Diabetes	2/113	1.8844070582833773E-4	0.010763468868250057	0	0	179.14414414414415	1536.4704463672817	PRKCD;PPARGC1A
Mammary Neoplasms	4/2387	2.024476903119133E-4	0.010763468868250057	0	0	70452.0	599196.3048154209	PRKCD;GNAS;PTPRJ;PPARGC1A
Hyperthyroidism	2/124	2.2692695888868865E-4	0.01113687690546026	0	0	162.9016393442623	1366.888491870124	GNAS;PPARGC1A
Anxiety disease	2/157	3.636015168011833E-4	0.01656984055136821	0	0	128.00645161290322	1013.740952317167	GNAS;PPARGC1A
Nephrotic Syndrome	2/182	4.8823046235107705E-4	0.020134897722587034	0	0	110.08888888888889	839.3972836701254	PRKCD;PPARGC1A
