Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nodule	5/126	5.052903542379685E-10	8.428243108689315E-7	0	0	273.7052341597796	5858.903558149272	COL1A1;CDH1;VIM;CD68;VEGFA
Aneurysm	5/152	1.3047354312728098E-9	1.0881493496815233E-6	0	0	225.0	4602.884749060962	COL1A1;COL1A2;VIM;CD68;VEGFA
Epithelioma	5/298	3.8337633129334534E-8	2.131572401991E-5	0	0	112.05346985210467	1913.518485294011	COL1A1;CDH1;VIM;CD68;VEGFA
leiomyosarcoma	4/114	6.885187436913462E-8	2.8711231611929136E-5	0	0	180.74545454545455	2980.729030672622	CDH1;VIM;CD68;VEGFA
Interstitial lung fibrosis	4/127	1.0641260813109752E-7	3.5499246072534135E-5	0	0	161.53658536585365	2593.6220082919717	COL1A1;VIM;CD68;VEGFA
Collagen Diseases	3/29	1.5272616551784111E-7	4.245787401395983E-5	0	0	460.75384615384615	7231.356200386841	COL1A1;COL1A2;VEGFA
Cirrhosis	5/433	2.466848307273614E-7	5.878147109331983E-5	0	0	76.18380062305296	1159.1482819482405	COL1A1;COL1A2;CDH1;VIM;VEGFA
Fibrosis	4/169	3.3541384493000414E-7	6.516515926078485E-5	0	0	120.16363636363636	1791.3875598073437	COL1A1;COL1A2;VIM;VEGFA
Keloid	4/171	3.516105715509974E-7	6.516515926078485E-5	0	0	118.7125748502994	1764.1569000676336	COL1A1;COL1A2;VIM;VEGFA
Congenital chromosomal disease	5/497	4.889335435887357E-7	8.155411507060112E-5	0	0	66.0569105691057	959.8755608336011	COL1A2;MECOM;CDH1;VIM;VEGFA
Arthritis, Psoriatic	4/201	6.715379805813337E-7	9.388978246516931E-5	0	0	100.48223350253807	1428.2238462277417	COL1A1;VIM;CD68;VEGFA
Carcinoma in situ of uterine cervix	3/47	6.754660609004987E-7	9.388978246516931E-5	0	0	272.0181818181818	3864.7970400373847	CDH1;VIM;CD68
Giant Cell Tumors	3/50	8.160167950922518E-7	9.899411865775701E-5	0	0	254.61702127659575	3569.432965531479	VIM;CD68;VEGFA
Congenital contractural arachnodactyly	4/212	8.308858880147471E-7	9.899411865775701E-5	0	0	95.11538461538461	1331.688944037976	COL1A1;COL1A2;CDH1;VIM
synovial sarcoma	4/217	9.119554754406697E-7	1.0140944886900248E-4	0	0	92.85915492957747	1291.454916785143	CDH1;VIM;CD68;VEGFA
Low grade glioma	3/62	1.5710479152192805E-6	1.541475248579859E-4	0	0	202.7084745762712	2708.9489649237594	CDH1;VIM;VEGFA
Cancer of Nasopharynx	3/62	1.5710479152192805E-6	1.541475248579859E-4	0	0	202.7084745762712	2708.9489649237594	MECOM;CDH1;VEGFA
Crumpled long bones	2/6	2.0982540726248864E-6	1.6892700071832335E-4	0	0	1665.6666666666667	21777.60051675149	COL1A1;COL1A2
Pulmonary arterial hypertension	3/70	2.2705024512610282E-6	1.6892700071832335E-4	0	0	178.43283582089552	2318.8255963917545	COL1A1;COL1A2;VEGFA
Liver Cirrhosis	5/683	2.3530701266531905E-6	1.6892700071832335E-4	0	0	47.47787610619469	615.3032871552216	COL1A1;COL1A2;CDH1;VIM;VEGFA
Mammary Neoplasms	7/2387	2.4528638272134278E-6	1.6892700071832335E-4	0	0	51.8	669.165573101731	COL1A1;COL1A2;MECOM;CDH1;VIM;CD68;VEGFA
Marfan Syndrome	3/73	2.578312212339619E-6	1.6892700071832335E-4	0	0	170.76	2197.403809663263	COL1A1;COL1A2;VEGFA
Pancreatic Ductal Adenocarcinoma	5/701	2.6747401332523004E-6	1.6892700071832335E-4	0	0	46.206896551724135	592.9111089851484	MECOM;CDH1;VIM;CD68;VEGFA
Ovarian Cysts	3/75	2.7981749157843965E-6	1.6892700071832335E-4	0	0	166.0	2122.5661660703795	COL1A2;CD68;VEGFA
Broad long bones	2/7	2.9369802283161735E-6	1.6892700071832335E-4	0	0	1332.4666666666667	16973.131805450383	COL1A1;COL1A2
Myxoinflammatory fibroblastic sarcoma	2/7	2.9369802283161735E-6	1.6892700071832335E-4	0	0	1332.4666666666667	16973.131805450383	VIM;CD68
Papillary cystic tumor	2/7	2.9369802283161735E-6	1.6892700071832335E-4	0	0	1332.4666666666667	16973.131805450383	CDH1;VIM
Pulmonary Valve Insufficiency	2/7	2.9369802283161735E-6	1.6892700071832335E-4	0	0	1332.4666666666667	16973.131805450383	COL1A1;COL1A2
Ehlers-Danlos syndrome type 1	2/7	2.9369802283161735E-6	1.6892700071832335E-4	0	0	1332.4666666666667	16973.131805450383	COL1A1;COL1A2
Ehlers-Danlos Syndrome, Type IV	2/8	3.9152037969490335E-6	1.9789575555487842E-4	0	0	1110.3333333333333	13824.364138043773	COL1A1;COL1A2
Beading of ribs	2/8	3.9152037969490335E-6	1.9789575555487842E-4	0	0	1110.3333333333333	13824.364138043773	COL1A1;COL1A2
Multiple prenatal fractures	2/8	3.9152037969490335E-6	1.9789575555487842E-4	0	0	1110.3333333333333	13824.364138043773	COL1A1;COL1A2
Chronic cholecystitis	2/8	3.9152037969490335E-6	1.9789575555487842E-4	0	0	1110.3333333333333	13824.364138043773	CDH1;VEGFA
