Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neoplasm Metastasis	11/3920	2.6463168566616334E-5	0.00836584582340393	0	0	9.047070862113072	95.35392534658817	SFRP1;DYRK2;ITGB4;BDKRB2;S1PR1;TIMP3;TYMS;CLU;HK2;CDR2;TBX2
Disorder of the genitourinary system	2/10	2.6899281719267998E-5	0.00836584582340393	0	0	356.7142857142857	3753.8510287252184	SFRP1;ITGB4
Marinesco-Sjogren syndrome	3/78	3.080704022356698E-5	0.00836584582340393	0	0	61.25846153846154	636.338644561999	SFRP1;TIMP3;TYMS
Secondary malignant neoplasm of liver	5/508	3.590491769701258E-5	0.00836584582340393	0	0	17.604373757455267	180.17436249696877	S1PR1;TIMP3;TYMS;CLU;HK2
Malignant neoplasm of ovary	8/2026	6.666289973499295E-5	0.009720311218963773	0	0	8.902874132804758	85.60880893671619	SFRP1;DYRK2;ITGB4;TIMP3;TYMS;CLU;HK2;CDR2
Adenocarcinoma Of Esophagus	4/299	7.731815604671223E-5	0.009720311218963773	0	0	22.247457627118646	210.62962386432676	SFRP1;S1PR1;TIMP3;TYMS
Pathologic Neovascularization	2/17	8.103128969688274E-5	0.009720311218963773	0	0	190.1809523809524	1791.6329788175672	ITGB4;CLU
Tumor Progression	8/2090	8.343614780226415E-5	0.009720311218963773	0	0	8.598463016330452	80.7518542014224	SFRP1;CYSLTR2;ITGB4;TIMP3;TYMS;CLU;HK2;TBX2
Ovarian Carcinoma	8/2203	1.217623258691057E-4	0.012609165301111835	0	0	8.104328018223235	73.04787078251054	SFRP1;DYRK2;ITGB4;TIMP3;TYMS;CLU;HK2;CDR2
Secondary malignant neoplasm of lung	5/683	1.4611228065816714E-4	0.013617664557341178	0	0	12.943148297130598	114.302692347203	SFRP1;ITGB4;TYMS;CLU;TBX2
Spontaneous abortion	3/138	1.6853054850165427E-4	0.014279133745776527	0	0	33.92991452991453	294.79644980249816	ITGB4;TIMP3;TYMS
Lung Neoplasms	6/1177	1.9688376546222276E-4	0.015291305784232635	0	0	9.639453458582409	82.2524637527894	SFRP1;ITGB4;TIMP3;TYMS;CLU;HK2
Mammary Neoplasms	8/2387	2.154595253448627E-4	0.015446790586262464	0	0	7.400168137873056	62.477676921716714	SFRP1;CYSLTR2;ITGB4;TIMP3;TYMS;CLU;CDR2;TBX2
Malignant neoplasm of breast	11/5054	3.141004314631108E-4	0.020910114437401373	0	0	6.517985326194725	52.57275155957025	SFRP1;DYRK2;CYSLTR2;ITGB4;S1PR1;TIMP3;TYMS;CLU;HK2;CDR2;TBX2
Refractory cancer	3/177	3.5058827949839056E-4	0.021783218432833335	0	0	26.27320954907162	209.02697572212935	TYMS;CLU;HK2
Glioblastoma	7/1937	4.111927974127686E-4	0.02266207721037413	0	0	7.275647668393782	56.7242113321593	SFRP1;ITGB4;S1PR1;TIMP3;TYMS;CLU;HK2
Glioblastoma Multiforme	5/854	4.133640692879402E-4	0.02266207721037413	0	0	10.244672877181712	79.81810917107293	SFRP1;DYRK2;TYMS;CLU;HK2
Malignant tumor of colon	7/2001	5.025806299150997E-4	0.026022508171159604	0	0	7.017162598907834	53.30064420095211	SFRP1;CYSLTR2;ITGB4;TIMP3;TYMS;CLU;HK2
Squamous cell carcinoma of the head and neck	5/934	6.235437701764599E-4	0.030586462831813717	0	0	9.323319307172913	68.80695045211634	SFRP1;ITGB4;TIMP3;TYMS;CLU
Colon Carcinoma	7/2091	6.583986446223781E-4	0.030681376839402818	0	0	6.680528897419492	48.93955032468137	SFRP1;CYSLTR2;ITGB4;TIMP3;TYMS;CLU;HK2
Pancreatic Diseases	2/54	8.380409440356887E-4	0.03719305523053628	0	0	54.75824175824176	387.9316753410176	SFRP1;CLU
