Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lung Neoplasms	9/1177	1.538796088612553E-9	1.4726278568022132E-6	0	0	48.33904109589041	980.9086552997975	CRP;ERRFI1;SOCS3;RCAN1;NPM1;JUN;DUSP1;HMGA1;NME1
Central neuroblastoma	9/1655	3.114282983529091E-8	1.244300809428373E-5	0	0	33.430133657351156	577.8292228008402	CRP;ERRFI1;SOCS3;RCAN1;NPM1;JUN;HMGA1;DLK1;NME1
Neuroblastoma	9/1698	3.900629496640668E-8	1.244300809428373E-5	0	0	32.50266429840142	554.4805925321177	CRP;ERRFI1;SOCS3;RCAN1;NPM1;JUN;HMGA1;DLK1;NME1
leukemia	9/1941	1.2577689614187444E-7	2.4953406563335606E-5	0	0	28.03726708074534	445.47730017941507	CRP;SOCS3;RCAN1;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Septicemia	6/468	1.303730750435507E-7	2.4953406563335606E-5	0	0	42.26406926406926	670.0066134927978	CRP;SOCS3;RCAN1;JUN;DUSP1;HMGA1
Renal Cell Carcinoma	8/1348	1.6173942101932258E-7	2.579743765258195E-5	0	0	27.83283582089552	435.22982769246994	CRP;SOCS3;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Sepsis	6/529	2.686102426915063E-7	3.6722857465110226E-5	0	0	37.217973231357554	563.1080994923916	CRP;SOCS3;RCAN1;JUN;DUSP1;HMGA1
Anoxia	5/288	4.3602774156289085E-7	4.6678082987429085E-5	0	0	49.734982332155475	728.3966662621395	ERRFI1;JUN;DUSP1;HMGA1;NME1
Non-Small Cell Lung Carcinoma	9/2243	4.430235384841505E-7	4.6678082987429085E-5	0	0	23.841539838854075	348.79321484005595	CRP;ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Primary malignant neoplasm of lung	9/2268	4.877542631915264E-7	4.6678082987429085E-5	0	0	23.54448871181939	342.18274640040266	CRP;ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Malignant neoplasm of lung	9/2449	9.483879685419891E-7	7.675492287730873E-5	0	0	21.575409836065575	299.2186181062581	CRP;ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
melanoma	9/2454	9.652560543596378E-7	7.675492287730873E-5	0	0	21.525153374233128	298.14215341190044	CRP;ERRFI1;SOCS3;RCAN1;JUN;DUSP1;PKN1;DLK1;NME1
Carcinoma of lung	9/2476	1.0426478551776525E-6	7.675492287730873E-5	0	0	21.306445074989867	293.4695853347283	CRP;ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Thyroid carcinoma	6/721	1.6494510455347861E-6	1.1275176075548503E-4	0	0	26.955244755244756	358.9109175488858	ERRFI1;SOCS3;RCAN1;JUN;HMGA1;NME1
Glioblastoma	8/1937	2.643589235895471E-6	1.6866099325013104E-4	0	0	18.723691031622604	240.47534795171782	ERRFI1;SOCS3;RCAN1;NPM1;JUN;DUSP1;HMGA1;DLK1
Lymphoma	7/1307	2.964275792635193E-6	1.6928470811539357E-4	0	0	20.12553846153846	256.17551988527964	RCAN1;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Primary Myelofibrosis	4/182	3.102050672559288E-6	1.6928470811539357E-4	0	0	55.646067415730336	705.7839556121053	CRP;SOCS3;NPM1;DLK1
Liver neoplasms	7/1321	3.184038397154738E-6	1.6928470811539357E-4	0	0	19.89619482496195	251.83330511867715	CRP;SOCS3;NPM1;JUN;DUSP1;DLK1;NME1
Neoplasm Metastasis	10/3920	3.699660408403133E-6	1.863460532021999E-4	0	0	20.56010230179028	257.1507409303045	CRP;ERRFI1;SOCS3;RCAN1;NPM1;JUN;DUSP1;HMGA1;PKN1;NME1
Endometrial Carcinoma	6/840	4.00861507022661E-6	1.918122311103433E-4	0	0	22.966426858513188	285.40527353940433	CRP;ERRFI1;SOCS3;NPM1;PKN1;NME1
Glioblastoma Multiforme	6/854	4.4114166704237625E-6	2.0103455969502573E-4	0	0	22.57075471698113	278.32707897191165	ERRFI1;SOCS3;NPM1;JUN;HMGA1;DLK1
Malignant neoplasm of colon stage IV	3/57	4.741009944210548E-6	2.0623393257315886E-4	0	0	123.04938271604938	1508.4944218903279	NPM1;HMGA1;NME1
Carcinogenesis	10/4065	5.237302379275671E-6	2.1791732073768772E-4	0	0	19.646115906288532	238.8909542744502	CRP;ERRFI1;SOCS3;RCAN1;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Hyperglycemia	5/488	5.823922396323706E-6	2.3222890555340777E-4	0	0	28.845016267376515	347.68445849776896	CRP;ERRFI1;SOCS3;JUN;HMGA1
Glioma	8/2211	7.235102601728102E-6	2.769597275941518E-4	0	0	16.146164321379935	191.11513990614867	ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;DLK1;NME1
Metastatic Renal Cell Cancer	3/67	7.735922257537886E-6	2.8474144617168296E-4	0	0	103.77083333333333	1221.3449201120504	CRP;HMGA1;NME1
Prostate carcinoma	9/3145	8.120167804530096E-6	2.878148366272334E-4	0	0	16.121173469387756	188.95884940549973	CRP;ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;PKN1;NME1
Endometrial Neoplasms	4/238	8.979521213701029E-6	3.06907207196853E-4	0	0	42.20940170940171	490.49705371387927	CRP;ERRFI1;SOCS3;JUN
Malignant neoplasm of prostate	9/3239	1.0433086512438303E-5	3.4429185491046397E-4	0	0	15.564705882352941	178.53540095955944	CRP;ERRFI1;SOCS3;NPM1;JUN;DUSP1;HMGA1;PKN1;NME1
Malignant neoplasm of endometrium	5/577	1.3149054995201024E-5	4.127872215008631E-4	0	0	24.245754245754245	272.50192742197237	CRP;ERRFI1;NPM1;PKN1;NME1
Uterine Corpus Cancer	5/579	1.3371372901281876E-5	4.127872215008631E-4	0	0	24.158785465405675	271.11942081741927	CRP;ERRFI1;NPM1;PKN1;NME1
