Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Arteriosclerosis	11/1087	1.060757012849571E-7	1.1904749483820097E-4	0	0	11.363218893505358	182.4832143757634	SOCS3;FGA;MMP13;GDF15;IRF1;ADM;FOS;MIF;MFGE8;LDLR;BEST1
Atherosclerosis	11/1134	1.6296713872443666E-7	1.1904749483820097E-4	0	0	10.860562568749673	169.74752222738286	SOCS3;FGA;MMP13;GDF15;IRF1;ADM;FOS;MIF;MFGE8;LDLR;BEST1
Vascular Diseases	7/401	1.0173323468495533E-6	4.954408529157325E-4	0	0	16.563451776649746	228.54791894172243	SOCS3;FGA;MMP13;ADM;BRCC3;FOS;LDLR
Virus Diseases	9/875	1.836105038147151E-6	6.511758402905388E-4	0	0	10.450589522304607	138.02996572697128	SOCS3;GDF15;IRF1;ADM;FOS;MIF;CD300LF;LDLR;FKBP5
Rheumatoid Arthritis	12/1833	2.5505539672379377E-6	6.511758402905388E-4	0	0	7.475700164744646	96.28103741475827	PRDX3;SOCS3;CD79A;MMP13;GDF15;IRF1;ADM;FOS;MIF;LDLR;MAPK13;FKBP5
Glioma	13/2211	2.674233430351289E-6	6.511758402905388E-4	0	0	7.008249924173491	89.92879627869102	GDF15;ADM;BRCC3;FOS;MIF;MAPK13;SOCS3;MMP13;IRF1;LRIG3;MFGE8;LDLR;FKBP5
Coronary Artery Disease	9/981	4.699530567782855E-6	9.808591656472502E-4	0	0	9.25925925925926	113.5930364206635	MMP13;GDF15;IRF1;ADM;FOS;MIF;CD300LF;LDLR;FKBP5
Mammary Neoplasms	13/2387	6.335345477356237E-6	0.0011179838180671773	0	0	6.424431339511373	76.89637139986424	GDF15;ADM;BRCC3;FOS;MIF;SOCS3;CD79A;MMP13;KRT17;IRF1;MFGE8;LDLR;FKBP5
Central neuroblastoma	11/1655	6.88696397166639E-6	0.0011179838180671773	0	0	7.213682553313296	85.74096672162486	NSF;SOCS3;FGA;IRF1;SCNN1A;B3GNT3;ADM;FOS;MIF;MFGE8;LDLR
Neuroblastoma	11/1698	8.817291750656586E-6	0.0012882063247709272	0	0	7.0133198507618815	81.62659757293173	NSF;SOCS3;FGA;IRF1;SCNN1A;B3GNT3;ADM;FOS;MIF;MFGE8;LDLR
Cervix carcinoma	9/1105	1.2337913266452818E-5	0.0015913981928015021	0	0	8.158086822896658	92.20949831849428	PRDX3;SOCS3;KRT17;GDF15;IRF1;HLTF;B3GNT3;ADM;FOS
Hepatitis C, Chronic	6/386	1.3071032384406589E-5	0.0015913981928015021	0	0	14.061244019138757	158.1202644814957	SOCS3;GDF15;IRF1;ADM;FOS;LDLR
