Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gastroesophageal reflux disease	4/246	2.6812217633213945E-6	0.002635640993344931	0	0	65.28595041322313	837.5689949599899	DSP;PERP;MUC4;TP63
Hay-Wells syndrome	2/10	8.084763760961904E-6	0.0036649623477270406	0	0	713.6785714285714	8368.258989209586	DSP;TP63
melanoma	7/2454	1.1929767072393199E-5	0.0036649623477270406	0	0	25.093583980384143	284.4727585103837	DSP;NR4A1;PERP;TXNIP;MIF;MUC4;TP63
Prostatic Neoplasms	6/1554	1.4913376796447775E-5	0.0036649623477270406	0	0	23.828165374677003	264.8084059392316	NR4A1;TXNIP;HBA1;MIF;MUC4;TP63
Myocardial Ischemia	4/448	2.8626908313127444E-5	0.0055683789817260266	0	0	35.21981981981982	368.4402911930958	NR4A1;TXNIP;HBA1;MIF
Rheumatoid Arthritis	6/1833	3.870328998338961E-5	0.0055683789817260266	0	0	19.883962780514505	202.01282887637234	NR4A1;PERP;TXNIP;MIF;MUC4;TP63
Squamous cell carcinoma	6/1876	4.422358346123547E-5	0.0055683789817260266	0	0	19.380748663101603	194.31627680304638	DSP;NR4A1;PERP;MIF;MUC4;TP63
Familial benign pemphigus	2/23	4.531742813205312E-5	0.0055683789817260266	0	0	271.70068027210885	2717.5009916130916	DSP;TP63
Carcinomatosis	3/176	5.412381637745994E-5	0.005718452238507039	0	0	57.27745664739884	562.707265341606	HBA1;MIF;TP63
ANONYCHIA	2/26	5.8173471398850856E-5	0.005718452238507039	0	0	237.70238095238096	2318.092902661022	DSP;TP63
Carcinoma, Spindle-Cell	3/188	6.586026840145816E-5	0.005795623296000238	0	0	53.52972972972973	515.3829106051758	HBA1;MIF;TP63
Lung Neoplasms	5/1177	7.224404625089257E-5	0.005795623296000238	0	0	20.071459044368602	191.39060768887424	DSP;NR4A1;MIF;MUC4;TP63
Reduced number of teeth	2/31	8.313599120396748E-5	0.005795623296000238	0	0	196.66995073891624	1847.7206463680611	DSP;TP63
Anaplastic carcinoma	3/204	8.394952177440964E-5	0.005795623296000238	0	0	49.22885572139303	462.02732710765895	HBA1;MIF;TP63
Adenoid Cystic Carcinoma	3/208	8.893010980022814E-5	0.005795623296000238	0	0	48.25853658536585	450.13921074279665	KRT15;MIF;TP63
Carcinoma	3/216	9.94645520003006E-5	0.005795623296000238	0	0	46.42723004694836	427.8598528653119	HBA1;MIF;TP63
Oligodontia	2/34	1.0022949748932253E-4	0.005795623296000238	0	0	178.20535714285714	1640.9234871537965	DSP;TP63
Tooth agenesis	2/35	1.062792531246727E-4	0.005804028101197404	0	0	172.7965367965368	1580.9916258965322	DSP;TP63
Primary malignant neoplasm of lung	6/2268	1.308591098584655E-4	0.006251589303961639	0	0	15.675508399646331	140.16082324577988	DSP;NR4A1;PERP;TXNIP;MUC4;TP63
Undifferentiated carcinoma	3/237	1.3092650391933198E-4	0.006251589303961639	0	0	42.215811965811966	377.44627378852533	HBA1;MIF;TP63
Pancreatic Neoplasm	4/665	1.335537898099638E-4	0.006251589303961639	0	0	23.394856278366113	208.70565887478057	NR4A1;TXNIP;MUC4;TP63
Chikungunya Fever	2/41	1.4626426509152532E-4	0.00653535329931679	0	0	146.16849816849816	1290.6818034038872	DSP;MIF
Arrhythmogenic Right Ventricular Dysplasia	2/42	1.5354169033610977E-4	0.006562238330451996	0	0	142.50714285714287	1251.4319514828514	DSP;TP63
Mammary adenocarcinoma	2/45	1.7642278783867052E-4	0.007225983351892214	0	0	132.54485049833886	1145.5357354354971	MIF;MUC4
Abnormality of dental enamel	2/46	1.8439901560229468E-4	0.0072505692934822265	0	0	129.52597402597402	1113.7172470762985	DSP;TP63
Malignant neoplasm of lung	6/2449	2.0225876116211476E-4	0.00729435556979011	0	0	14.365943512075317	122.19617944114916	DSP;NR4A1;PERP;TXNIP;MUC4;TP63
