Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Crumpled long bones	2/6	7.496663581039455E-7	8.768564592463234E-5	0	0	3331.8333333333335	46990.96982780607	COL1A1;COL1A2
Broad long bones	2/7	1.0494326119170083E-6	8.768564592463234E-5	0	0	2665.3333333333335	36694.33941065397	COL1A1;COL1A2
Pulmonary Valve Insufficiency	2/7	1.0494326119170083E-6	8.768564592463234E-5	0	0	2665.3333333333335	36694.33941065397	COL1A1;COL1A2
Ehlers-Danlos syndrome type 1	2/7	1.0494326119170083E-6	8.768564592463234E-5	0	0	2665.3333333333335	36694.33941065397	COL1A1;COL1A2
Cirrhosis	4/433	1.0649755552003611E-6	8.768564592463234E-5	0	0	182.43356643356643	2508.928333404371	COL1A1;ITGB1;COL1A2;RAC1
Beading of ribs	2/8	1.3991087462114677E-6	8.768564592463234E-5	0	0	2221.0	29938.358472423224	COL1A1;COL1A2
Ehlers-Danlos Syndrome, Type IV	2/8	1.3991087462114677E-6	8.768564592463234E-5	0	0	2221.0	29938.358472423224	COL1A1;COL1A2
Multiple prenatal fractures	2/8	1.3991087462114677E-6	8.768564592463234E-5	0	0	2221.0	29938.358472423224	COL1A1;COL1A2
Decreased calvarial ossification	2/9	1.7986799164027146E-6	8.768564592463234E-5	0	0	1903.6190476190477	25181.943747367222	COL1A1;COL1A2
Premature osteoarthritis	2/9	1.7986799164027146E-6	8.768564592463234E-5	0	0	1903.6190476190477	25181.943747367222	COL1A1;COL1A2
Osteogenesis imperfecta, dominant perinatal lethal	2/9	1.7986799164027146E-6	8.768564592463234E-5	0	0	1903.6190476190477	25181.943747367222	COL1A1;COL1A2
Protrusio acetabuli	2/9	1.7986799164027146E-6	8.768564592463234E-5	0	0	1903.6190476190477	25181.943747367222	COL1A1;COL1A2
Poor wound healing	2/10	2.2481312594056116E-6	9.393977048230591E-5	0	0	1665.5833333333333	21661.596201528788	COL1A1;COL1A2
Lobstein Disease	2/10	2.2481312594056116E-6	9.393977048230591E-5	0	0	1665.5833333333333	21661.596201528788	COL1A1;COL1A2
Hereditary Connective Tissue Disorder	2/12	3.2966149429844506E-6	1.1394681190688899E-4	0	0	1332.3333333333333	16817.52990669201	COL1A1;COL1A2
Osteogenesis imperfecta type III (disorder)	2/13	3.895617501090222E-6	1.1394681190688899E-4	0	0	1211.1515151515152	15085.689488070864	COL1A1;COL1A2
Osteogenesis imperfecta type IV (disorder)	2/13	3.895617501090222E-6	1.1394681190688899E-4	0	0	1211.1515151515152	15085.689488070864	COL1A1;COL1A2
Brain and/or spinal cord issue	2/13	3.895617501090222E-6	1.1394681190688899E-4	0	0	1211.1515151515152	15085.689488070864	COL1A1;COL1A2
Breech Presentation	2/13	3.895617501090222E-6	1.1394681190688899E-4	0	0	1211.1515151515152	15085.689488070864	COL1A1;COL1A2
