Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Congenital lamellar cataract	2/6	6.813965891716014E-6	0.005457986679264527	0	0	832.5833333333334	9904.857801447115	HSF4;CRYAB
Malignant neoplasm of ovary	8/2026	1.8742135546337973E-5	0.00697293673097514	0	0	11.87182028410968	129.2216335623233	ERBB3;ITGB4;FASN;HPN;LRIG1;CRYAB;ACTG2;HDAC7
Colorectal Carcinoma	9/2931	3.058304021401348E-5	0.00697293673097514	0	0	10.51170431211499	109.26984899683949	FAM83H;ERBB3;ITGB4;CNR1;FASN;LRIG1;HSF4;CRYAB;HDAC7
Ovarian Carcinoma	8/2203	3.482115720836524E-5	0.00697293673097514	0	0	10.80698557327259	110.93679111701239	ERBB3;ITGB4;FASN;HPN;LRIG1;CRYAB;ACTG2;HDAC7
Secondary malignant neoplasm of lung	5/683	7.088730163851099E-5	0.009211750806822632	0	0	15.821042281219272	151.16087081418954	ERBB3;ITGB4;CNR1;FASN;CRYAB
Polyhydramnios	3/121	7.488744281904703E-5	0.009211750806822632	0	0	45.919876733436055	436.21698644872527	ERBB3;ITGB4;ACTG2
Colorectal Cancer	9/3298	8.050219181992313E-5	0.009211750806822632	0	0	9.13791425965339	86.14518423156032	FAM83H;ERBB3;ITGB4;CNR1;FASN;LRIG1;HSF4;CRYAB;HDAC7
Nausea and vomiting	3/132	9.698637251896498E-5	0.009710760548461369	0	0	41.98097251585624	387.9436514698549	ITGB4;CNR1;ACTG2
Posterior subcapsular cataract	2/23	1.1415310511857051E-4	0.010159626355552774	0	0	158.45238095238096	1438.4259580631342	HSF4;CRYAB
Colonic Neoplasms	5/778	1.3131182756205432E-4	0.010518077387720549	0	0	13.808394422883426	123.41854147570409	ERBB3;ITGB4;FASN;CRYAB;ACTG2
Nuclear cataract	2/33	2.3728298476867357E-4	0.017278515527246137	0	0	107.28494623655914	895.4277443094898	HSF4;CRYAB
Neoplasm Metastasis	9/3920	3.236001689635337E-4	0.020590991826658293	0	0	7.398363589874712	59.45326349996352	ERBB3;ITGB4;CNR1;FASN;HPN;LRIG1;CRYAB;ACTG2;HDAC7
Glioma	7/2211	3.3889439996529316E-4	0.020590991826658293	0	0	8.068058076225045	64.46234794405694	KAT2A;ERBB3;CNR1;FASN;LRIG1;SERPING1;CRYAB
Prostatic Neoplasms	6/1554	3.7922586153621294E-4	0.020590991826658293	0	0	8.93313953488372	70.36972211049554	ERBB3;ITGB4;CNR1;FASN;HPN;CRYAB
CATARACT, ANTERIOR POLAR	2/43	4.041897176269234E-4	0.020590991826658293	0	0	81.07723577235772	633.5072130174765	ERBB3;HSF4
Amelogenesis Imperfecta	2/44	4.2326768610788395E-4	0.020590991826658293	0	0	79.14285714285714	614.7425980386419	FAM83H;ITGB4
Age-related cataract	2/45	4.427775949754095E-4	0.020590991826658293	0	0	77.2984496124031	596.9328677908948	HSF4;CRYAB
Drusen	2/46	4.6271891745299534E-4	0.020590991826658293	0	0	75.53787878787878	580.0093518719605	SERPING1;CRYAB
Patent ductus arteriosus	3/251	6.417521278967343E-4	0.025613676349388565	0	0	21.70601173020528	159.56758684997925	ERBB3;ITGB4;FASN
