Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Atrial Premature Complexes	4/106	3.71100922382165E-9	3.499481698063816E-6	0	0	780.1176470588235	15143.614096313533	CDH1;MYC;CTNNB1;RAC1
Pancreatic Neoplasm	5/665	4.0046983150845284E-8	1.8882152555623553E-5	0	0	96675.0	1646685.8177935767	CDH1;MYC;CTNNB1;RAC1;MUC4
synovial sarcoma	4/217	6.683017555363047E-8	2.100695184902451E-5	0	0	371.49295774647885	6137.476438406373	CDH1;CTNNB1;RAC1;MUC4
gallbladder neoplasm	3/45	1.0609283824093045E-7	2.4365412656267858E-5	0	0	712.6071428571429	11443.723398678585	CDH1;MYC;CTNNB1
Endometrial Carcinoma	5/840	1.291909472760756E-7	2.4365412656267858E-5	0	0	95800.0	1519577.1394321222	CDH1;MYC;CTNNB1;RAC1;MUC4
Noninfiltrating Intraductal Carcinoma	4/287	2.0530378274445922E-7	2.6036661940632674E-5	0	0	278.6148409893993	4290.327272475273	CDH1;MYC;CTNNB1;RAC1
ovarian neoplasm	5/938	2.2459258640353635E-7	2.6036661940632674E-5	0	0	95310.0	1459098.6744215954	CDH1;MYC;CTNNB1;RAC1;MUC4
Epithelioma	4/298	2.3871508048081333E-7	2.6036661940632674E-5	0	0	268.0408163265306	4087.085061465162	CDH1;MYC;CTNNB1;MUC4
Cutaneous Melanoma	4/301	2.4849412244506266E-7	2.6036661940632674E-5	0	0	265.2929292929293	4034.5341843771785	CDH1;MYC;CTNNB1;RAC1
Squamous cell carcinoma of esophagus	5/1023	3.4685502872030786E-7	3.270842920832503E-5	0	0	94885.0	1411353.5469747095	CDH1;MYC;CTNNB1;RAC1;MUC4
Mucoepidermoid Carcinoma	3/69	3.910300962858894E-7	3.3521943708872156E-5	0	0	452.9318181818182	6682.774044856407	CDH1;CTNNB1;MUC4
ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1	3/73	4.640464975888469E-7	3.6466320602190215E-5	0	0	426.9642857142857	6226.540189445254	CDH1;MYC;CTNNB1
Gastric Adenocarcinoma	4/383	6.520384167005157E-7	4.15844338642365E-5	0	0	207.02902374670185	2948.7479975116357	MYC;CTNNB1;RAC1;MUC4
