Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Aortic Valve Stenosis	3/130	1.0682314808401354E-6	6.217107218489588E-4	0	0	469.34645669291336	6453.281968632902	BSG;FN1;JUNB
Oropharyngeal disorders	2/32	1.48501189366924E-5	0.004321384610577489	0	0	665.5333333333333	7399.068619320494	BSG;JUNB
Idiopathic crescentic glomerulonephritis	2/52	3.964754288374715E-5	0.007691623319446946	0	0	398.92	4043.2463126709904	FN1;JUNB
Tumor Angiogenesis	3/511	6.506840798956803E-5	0.008036061347310114	0	0	115.08661417322834	1109.4431790659398	BSG;FN1;JUNB
Leukemia, Myeloid, Chronic-Phase	2/71	7.420797022969592E-5	0.008036061347310114	0	0	288.7971014492754	2746.067381368719	FN1;JUNB
Proliferative diabetic retinopathy	2/75	8.284599327123829E-5	0.008036061347310114	0	0	272.9178082191781	2565.025437499164	BSG;FN1
Arthritis	3/630	1.215161676364297E-4	0.00948140144431464	0	0	92.67464114832536	835.5048202813631	BSG;FN1;JUNB
Traditional Serrated Adenoma	2/94	1.3032854218989194E-4	0.00948140144431464	0	0	216.34782608695653	1935.3291039529583	FN1;JUNB
Interstitial lung fibrosis	2/127	2.3803813738874745E-4	0.015386049212702244	0	0	158.968	1326.2826867551423	BSG;FN1
Psoriasis	3/818	2.643651067474612E-4	0.015386049212702244	0	0	70.60490797546012	581.655900551078	BSG;FN1;JUNB
Virus Diseases	3/875	3.22934342978473E-4	0.015661857316583136	0	0	65.79357798165138	528.852827958302	BSG;FN1;JUNB
Squamous cell carcinoma of the head and neck	3/934	3.9195022077231304E-4	0.015661857316583136	0	0	61.433941997851775	481.91092262711453	BSG;FN1;JUNB
TARSAL-CARPAL COALITION SYNDROME	2/165	4.015104168308958E-4	0.015661857316583136	0	0	121.67484662576688	951.5310142957836	BSG;FN1
Degenerative polyarthritis	3/976	4.465713305848352E-4	0.015661857316583136	0	0	58.65262076053443	452.4411208312122	BSG;FN1;JUNB
Neoplasm Invasiveness	2/183	4.935922275472897E-4	0.015661857316583136	0	0	109.47513812154696	833.5218977084618	BSG;FN1
Adenoid Cystic Carcinoma	2/208	6.370188433556973E-4	0.015661857316583136	0	0	96.06796116504854	706.9363934513171	BSG;FN1
Cervix carcinoma	3/1105	6.450585714037033E-4	0.015661857316583136	0	0	51.43557168784029	377.8544247033855	BSG;FN1;JUNB
Glomerulonephritis	2/210	6.492709509148997E-4	0.015661857316583136	0	0	95.13461538461539	698.2557728733583	FN1;JUNB
Lupus Erythematosus, Systemic	3/1113	6.589772382127617E-4	0.015661857316583136	0	0	51.043243243243246	373.8826488019446	BSG;FN1;JUNB
Chronic Lymphocytic Leukemia	3/1120	6.71316594477921E-4	0.015661857316583136	0	0	50.70456580125336	370.46123314115647	BSG;FN1;JUNB
Aortic Valve Insufficiency	2/214	6.741202012763989E-4	0.015661857316583136	0	0	93.32075471698113	681.4376811182983	FN1;JUNB
Malignant neoplasm of urinary bladder	3/1144	7.147724522594592E-4	0.015661857316583136	0	0	49.5749342681858	359.0983324104059	BSG;FN1;JUNB
Pulmonary Emphysema	2/225	7.448249985604983E-4	0.015661857316583136	0	0	88.66816143497758	638.6201316630157	BSG;JUNB
Carcinoma of bladder	3/1162	7.485477544265374E-4	0.015661857316583136	0	0	48.75841242450388	350.93260573206135	BSG;FN1;JUNB
Ki-1+ Anaplastic Large Cell Lymphoma	2/228	7.647104908624607E-4	0.015661857316583136	0	0	87.47787610619469	627.7423970648741	BSG;JUNB
Lung Neoplasms	3/1177	7.774803675542646E-4	0.015661857316583136	0	0	48.09710391822828	344.34891477584614	BSG;FN1;JUNB
Anemia, Sickle Cell	2/231	7.848538389440871E-4	0.015661857316583136	0	0	86.31877729257641	617.1803840972816	FN1;JUNB
