Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Prostatic Neoplasms	11/1554	4.061323544372574E-11	5.876735168707114E-8	0	0	65.74335709656513	1573.036512972648	DDX5;JUN;MUC2;PTPRC;ESPL1;PRKDC;CCL5;APOE;CD68;CACNA1H;RUNX1
Mammary Neoplasms	11/2387	4.2469178546712066E-9	3.072645067854618E-6	0	0	40.7662037037037	785.853057324826	DDX5;JUN;KRT18;ESPL1;PRKDC;INCENP;CCL5;APOE;CD68;CACNA1H;RUNX1
Cerebral Amyloid Angiopathy, Hereditary	3/13	6.111840304298568E-8	2.9479443067733422E-5	0	0	599.31	9954.810479945485	PTPRC;APOE;CD68
Stomach Carcinoma	10/2378	1.1286968007028163E-7	4.083060676542438E-5	0	0	24.80152027027027	396.7507123576081	JUN;KRT18;MUC2;PTPRC;PRKDC;INCENP;CCL5;APOE;CD68;RUNX1
Nasal Polyps	5/219	1.8019591153488445E-7	5.2148696798195555E-5	0	0	57.7482476635514	896.785310754461	JUN;MUC2;PTPRC;CCL5;CD68
Stomach Neoplasms	7/835	2.968427173406894E-7	6.444102873044703E-5	0	0	26.99537037037037	405.7421284339115	JUN;KRT18;MUC2;PRKDC;CCL5;APOE;RUNX1
Lymphoma	8/1307	3.117395999399649E-7	6.444102873044703E-5	0	0	23.018321785989222	344.83972556794026	JUN;KRT18;PTPRC;PRKDC;CCL5;APOE;CD68;RUNX1
Malignant neoplasm of ovary	9/2026	5.403568795649977E-7	9.773705059131895E-5	0	0	20.045860188398613	289.28253058291506	JUN;KRT18;MUC2;PTPRC;ESPL1;CCL5;APOE;CD68;RUNX1
Malignant neoplasm of breast	12/5054	6.695809669338217E-7	1.0061027950724062E-4	0	0	35.56921856406188	505.67384145517184	DDX5;JUN;KRT18;MUC2;PTPRC;ESPL1;PRKDC;INCENP;CCL5;APOE;CD68;RUNX1
Systemic Scleroderma	6/562	6.953025536091267E-7	1.0061027950724062E-4	0	0	29.955292908530318	424.733664497455	JUN;MUC2;PTPRC;CCL5;APOE;CD68
Liver diseases	6/606	1.080387715855332E-6	1.338844454298253E-4	0	0	27.695714285714285	380.4890012473289	JUN;KRT18;MUC2;CCL5;APOE;CD68
Ovarian Carcinoma	9/2203	1.1103063891899816E-6	1.338844454298253E-4	0	0	18.247151321786692	250.18440274873717	JUN;KRT18;MUC2;PTPRC;ESPL1;CCL5;APOE;CD68;RUNX1
Malignant neoplasm of prostate	10/3239	2.180082281645357E-6	2.371040201452283E-4	0	0	17.299473521213997	225.5184960720861	DDX5;JUN;KRT18;MUC2;PTPRC;PRKDC;CCL5;APOE;CD68;RUNX1
Malignant neoplasm of stomach	9/2398	2.2940264561390437E-6	2.371040201452283E-4	0	0	16.574089577228968	215.21790123528794	JUN;KRT18;MUC2;PTPRC;PRKDC;CCL5;APOE;CD68;RUNX1
Hepatitis C, Chronic	5/386	2.9561306886760554E-6	2.562968483127018E-4	0	0	32.16207349081365	409.47559863660007	DDX5;KRT18;CCL5;APOE;CD68
Cerebral Amyloid Angiopathy	3/45	2.9963779678420867E-6	2.562968483127018E-4	0	0	142.46428571428572	1811.8759357618817	PTPRC;APOE;CD68
Lung Neoplasms	7/1177	3.011089441130567E-6	2.562968483127018E-4	0	0	18.763390313390314	238.54289517452875	JUN;MUC2;ESPL1;PRKDC;CCL5;APOE;CD68
Endometriosis	6/749	3.7032880777109868E-6	2.9770321380265545E-4	0	0	22.200346087290907	277.6439543530013	DDX5;JUN;CCL5;APOE;CD68;RUNX1
Multiple Myeloma	7/1312	6.214834911864378E-6	4.519281242830032E-4	0	0	16.701660280970625	200.229046713629	DDX5;JUN;PTPRC;PRKDC;CCL5;CD68;RUNX1
