Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Colorectal Cancer	10/3298	1.4695522237614698E-8	1.7179065495771583E-5	0	0	167020.0	3012326.45533486	EEF1A1;IFITM3;LGALS3;PLAU;KRT8;CTSH;APOE;MFGE8;CTSD;HSPA1A
Prostatic Neoplasms	8/1554	5.0987445415999385E-8	2.980216184565164E-5	0	0	47.720569210866756	801.3088331539068	EEF1A1;LGALS3;PLAU;KRT8;CTSH;APOE;CTSD;HSPA1A
Neoplasm Metastasis	10/3920	8.28883348905714E-8	3.229882116235932E-5	0	0	160800.0	2621968.0568345045	EEF1A1;IFITM3;LGALS3;PLAU;KRT8;CTSH;APOE;MFGE8;CTSD;HSPA1A
Colon Carcinoma	8/2091	5.226178473551155E-7	1.527350658895325E-4	0	0	34.386941910705715	497.38700984062916	EEF1A1;IFITM3;LGALS3;PLAU;KRT8;APOE;CTSD;HSPA1A
Inflammatory Bowel Diseases	6/911	1.576218672380713E-6	3.685199256026107E-4	0	0	31.632596685082873	422.6267330773148	EEF1A1;LGALS3;PLAU;KRT8;APOE;HSPA1A
Colorectal Carcinoma	8/2931	7.189827479150538E-6	8.958214241742268E-4	0	0	23.35545672254533	276.5950160585575	EEF1A1;IFITM3;LGALS3;PLAU;APOE;MFGE8;CTSD;HSPA1A
Dementia, Vascular	3/80	7.2468738579976E-6	8.958214241742268E-4	0	0	110.83302411873841	1311.702231925129	APOE;CTSD;HSPA1A
Aortic Aneurysm, Abdominal	4/288	8.259275916243407E-6	8.958214241742268E-4	0	0	46.25821596244131	541.4141917042328	LGALS3;PLAU;CTSH;APOE
Pancreatic Neoplasm	5/665	8.780696189786254E-6	8.958214241742268E-4	0	0	29.28787878787879	340.9974506951044	LGALS3;PLAU;KRT8;APOE;CTSD
Malignant tumor of colon	7/2001	9.073601772195103E-6	8.958214241742268E-4	0	0	21.058508859913072	244.4922626806481	EEF1A1;IFITM3;LGALS3;PLAU;KRT8;APOE;HSPA1A
