Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cerebral Amyloid Angiopathy, Hereditary	2/13	1.169525357204198E-6	4.8184444716812955E-4	0	0	3633.818181818182	49634.00483734158	APOE;CTSD
obsolete Combined hyperlipidemia	2/13	1.169525357204198E-6	4.8184444716812955E-4	0	0	3633.818181818182	49634.00483734158	TXNIP;APOE
Diabetic Retinopathy	3/247	1.8609609167776054E-6	5.11143931808249E-4	0	0	59259.0	781887.9914750792	TXNIP;APOE;CTSD
Amyloid angiopathy	2/19	2.5634718279486706E-6	5.280751965574262E-4	0	0	2350.5882352941176	30261.820911600404	APOE;CTSD
Acquired CJD	2/29	6.084403864684326E-6	0.001002709756899977	0	0	1479.2592592592594	17765.580935738268	APOE;CTSD
Cockayne Syndrome, Type I	2/51	1.9093637390518517E-5	0.0018892252804449572	0	0	814.204081632653	8847.26807778433	TXNIP;APOE
Lafora Disease	2/51	1.9093637390518517E-5	0.0018892252804449572	0	0	814.204081632653	8847.26807778433	APOE;CTSD
Mental deterioration	2/53	2.06347421407823E-5	0.0018892252804449572	0	0	782.1960784313726	8438.749292696724	APOE;CTSD
Nodular glomerulosclerosis	2/53	2.06347421407823E-5	0.0018892252804449572	0	0	782.1960784313726	8438.749292696724	TXNIP;APOE
Pancreatic Neoplasm	3/665	3.659795358952466E-5	0.003015671375776832	0	0	58005.0	592551.1350456896	TXNIP;APOE;CTSD
Dementia, Vascular	2/80	4.7276869704343406E-5	0.0030302060911489574	0	0	510.7435897435897	5086.745365444516	APOE;CTSD
Prion Diseases	2/80	4.7276869704343406E-5	0.0030302060911489574	0	0	510.7435897435897	5086.745365444516	APOE;CTSD
Hyperlipidemia, Familial Combined	2/82	4.96822982135004E-5	0.0030302060911489574	0	0	497.925	4934.367967174708	TXNIP;APOE
Neurodegenerative Disorders	3/745	5.148408407291918E-5	0.0030302060911489574	0	0	57765.0	570385.3491272428	TXNIP;APOE;CTSD
Creutzfeldt-Jakob disease	2/89	5.856990547929673E-5	0.0032174401409960332	0	0	457.7011494252874	4460.430229282221	APOE;CTSD
Cholera	2/112	9.289889847012991E-5	0.004665543254663199	0	0	361.58181818181816	3356.9251550271506	APOE;CTSD
Gingival Diseases	2/114	9.625513996271163E-5	0.004665543254663199	0	0	355.0892857142857	3284.046164983631	APOE;CTSD
Muscle Rigidity	2/119	1.049052595911315E-4	0.004802329661282909	0	0	339.8290598290598	3113.667756340163	APOE;CTSD
Amyotrophic Lateral Sclerosis, Sporadic	2/136	1.370865371467475E-4	0.005731447667789794	0	0	296.46268656716416	2637.005409269813	APOE;CTSD
Periodontal Diseases	2/137	1.3911280747062605E-4	0.005731447667789794	0	0	294.2518518518518	2613.0227657037094	APOE;CTSD
Disease Exacerbation	2/144	1.5371091793949318E-4	0.005837497596129306	0	0	279.6478873239437	2455.4306221136617	TXNIP;APOE
Frontotemporal dementia	2/145	1.5585551834325817E-4	0.005837497596129306	0	0	277.67832167832165	2434.289539016135	APOE;CTSD
Cervical Squamous Cell Carcinoma	2/153	1.7354443810066556E-4	0.006217418130215149	0	0	262.86092715231786	2276.1329727518646	APOE;CTSD
Hypertriglyceridemia	2/157	1.8274348644279723E-4	0.006274193034536039	0	0	256.0258064516129	2203.7234652295956	TXNIP;APOE
Epilepsy, Temporal Lobe	2/181	2.428959701678469E-4	0.008005851176732234	0	0	221.43016759776538	1842.9361182230073	APOE;CTSD
Familial Alzheimer Disease (FAD)	2/188	2.620396300289337E-4	0.008304640582455437	0	0	213.0215053763441	1756.7915088328489	APOE;CTSD
Asthma	3/1313	2.8233361030605104E-4	0.00861640351452541	0	0	56061.0	458154.10326561704	TXNIP;APOE;CTSD
Cardiac Arrest	2/201	2.995053571694106E-4	0.008681471752972047	0	0	198.9748743718593	1614.358418726638	APOE;CTSD
Renal Cell Carcinoma	3/1348	3.0553723402450164E-4	0.008681471752972047	0	0	55956.0	452876.4675255277	TXNIP;APOE;CTSD
Myxoid cyst	2/209	3.237962454418987E-4	0.008893603541470816	0	0	191.20772946859904	1536.4298459731253	TXNIP;APOE
Dyslipidemias	2/216	3.458219481279211E-4	0.00919217049217442	0	0	184.88785046728972	1473.4797200832065	TXNIP;APOE
Hyperlipidemia	2/232	3.9886634617831485E-4	0.009917809335468368	0	0	171.88695652173914	1345.3392988875394	TXNIP;APOE
Hypoglycemia	2/232	3.9886634617831485E-4	0.009917809335468368	0	0	171.88695652173914	1345.3392988875394	TXNIP;APOE
Plaque, Amyloid	2/235	4.0922999685185014E-4	0.009917809335468368	0	0	169.6480686695279	1323.4641490956715	APOE;CTSD
Diabetes Mellitus	3/1507	4.2700938264087976E-4	0.010053020894173856	0	0	55479.0	430445.17092664336	TXNIP;APOE;CTSD
Prostatic Neoplasms	3/1554	4.682493415817373E-4	0.01056010008810672	0	0	55338.0	424249.30950465583	TXNIP;APOE;CTSD
Alzheimer Disease, Late Onset	2/253	4.741792515290639E-4	0.01056010008810672	0	0	157.3386454183267	1204.2582136567505	APOE;CTSD
Endothelial dysfunction	2/262	5.084310678712794E-4	0.011024926313840375	0	0	151.8230769230769	1151.453681911007	TXNIP;APOE
Anoxia	2/288	6.140240211184469E-4	0.011074525204476784	0	0	137.83916083916083	1019.3862759014797	TXNIP;APOE
Senile Plaques	2/301	6.705156603068506E-4	0.011074525204476784	0	0	131.7591973244147	962.8255251522033	APOE;CTSD
Hepatitis	2/317	7.434192186859649E-4	0.011074525204476784	0	0	124.96507936507936	900.2797290026542	TXNIP;APOE
Rheumatoid Arthritis	3/1833	7.686715190839551E-4	0.011074525204476784	0	0	54501.0	390818.32324813784	TXNIP;APOE;CTSD
Impaired glucose tolerance	2/326	7.86062104631931E-4	0.011074525204476784	0	0	121.43827160493827	868.0984188745024	TXNIP;APOE
Secondary malignant neoplasm of bone	2/330	8.053919037275105E-4	0.011074525204476784	0	0	119.9329268292683	854.4239460038158	APOE;CTSD
Non-alcoholic Fatty Liver Disease	2/334	8.249538160572987E-4	0.011074525204476784	0	0	118.46385542168674	841.115070591342	TXNIP;APOE
Cerebral atrophy	2/338	8.447477457530737E-4	0.011074525204476784	0	0	117.0297619047619	828.1578919071841	APOE;CTSD
Sea-Blue Histiocyte Syndrome	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Mixed dementia	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Sleep-wake cycle disturbance	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Mydriasis	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Speech Sound Disorders	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Subcortical Vascular Dementia	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Tension Headache	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
Idiopathic normal pressure hydrocephalus (INPH)	1/6	8.997538788767587E-4	0.011074525204476784	0	0	1999.2	14021.167888467728	APOE
