Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Inflammatory pain	4/76	2.5453570818922986E-7	2.395181014060653E-4	0	0	100.57070707070707	1527.0479864758183	EDNRA;PTGER3;LPAR2;AVPR1A
Hypertensive disease	8/1310	1.4088740160580513E-6	6.320957547489832E-4	0	0	16.399385560675885	220.9443256126613	EDNRA;WT1;HTR2B;LPAR2;TXNIP;MIF;AVPR1A;PAX2
Schizophrenia	9/1923	2.0151830650870878E-6	6.320957547489832E-4	0	0	14.162225705329154	185.7347649813384	GNAO1;EDNRA;GNAL;PTGER3;P2RY1;LPAR2;TXNIP;MIF;AVPR1A
Glaucoma	5/381	6.270570749074623E-6	0.0013722016811165624	0	0	26.075797872340427	312.37875411580364	PTGFR;EDNRA;WT1;PTGER3;TXNIP
Lung diseases	5/393	7.291188528780885E-6	0.0013722016811165624	0	0	25.253865979381445	298.7240408077664	EDNRA;WT1;P2RY1;LPAR2;MIF
Acute Erythroblastic Leukemia	4/224	1.897806422350096E-5	0.0027118912017371414	0	0	32.66942148760331	355.18935854155467	EDNRA;WT1;LPAR2;PAX2
Pain	5/485	2.0173473339171086E-5	0.0027118912017371414	0	0	20.317708333333332	219.657630263686	EDNRA;PTGER3;P2RY1;LPAR2;AVPR1A
Squamous cell carcinoma of the head and neck	6/934	3.552090584654712E-5	0.0034402438732054584	0	0	13.69037356321839	140.26320459604875	EDNRA;WT1;PTGER3;LPAR2;TXNIP;MIF
ovarian neoplasm	6/938	3.638787739847098E-5	0.0034402438732054584	0	0	13.628755364806867	139.30325481909665	EDNRA;WNT2B;WT1;LPAR2;MIF;PAX2
POLYMICROGYRIA, BILATERAL FRONTOPARIETAL	2/13	4.07552681828681E-5	0.0034402438732054584	0	0	279.35664335664336	2823.716123913941	EDNRA;LPAR2
Essential Hypertension	4/278	4.4191817002337315E-5	0.0034402438732054584	0	0	26.15925680159257	262.29810728321985	PTGFR;EDNRA;LPAR2;AVPR1A
Autism Spectrum Disorders	5/572	4.450613916023875E-5	0.0034402438732054584	0	0	17.123456790123456	171.5750407784589	EDNRA;WT1;LPAR2;MIF;AVPR1A
Atresia of vagina	2/14	4.752727986362482E-5	0.0034402438732054584	0	0	256.06410256410254	2548.915005081115	WT1;PAX2
Bacterial sepsis	2/15	5.4815480888197884E-5	0.0036843833939853004	0	0	236.3550295857988	2319.006332041941	S1PR3;MIF
Blastoma	2/16	6.261919708622724E-5	0.0039283109638759885	0	0	219.46153846153845	2124.04503914007	EDNRA;LPAR2
Kidney Diseases	5/639	7.540348096840833E-5	0.0043405806207954135	0	0	15.261041009463723	144.86782955629354	EDNRA;WT1;LPAR2;MIF;PAX2
Acrodysostosis	2/18	7.977048122143578E-5	0.0043405806207954135	0	0	192.0096153846154	1811.8712842401887	EDNRA;LPAR2
Hypogonadism, Isolated Hypogonadotropic	3/117	8.433534984962132E-5	0.0043405806207954135	0	0	43.57675438596491	408.78087153498683	EDNRA;WT1;LPAR2
Taste sweet	2/19	8.911670367707504E-5	0.0043405806207954135	0	0	180.7058823529412	1685.1842294846974	EDNRA;LPAR2
Triglycerides measurement	4/336	9.225463593614057E-5	0.0043405806207954135	0	0	21.525739320920042	199.99474042869406	PTGFR;EDNRA;WNT2B;HTR2B
Polycystic Kidney Diseases	3/124	1.0022709722217297E-4	0.004491128499336417	0	0	41.04132231404959	377.9114497970153	EDNRA;MIF;PAX2
Clumsiness - motor delay	2/21	1.0934695002572602E-4	0.0046770672715549175	0	0	161.66801619433198	1474.5715026865741	EDNRA;LPAR2
Sleep Apnea, Obstructive	3/132	1.2064848389389243E-4	0.004936096667137077	0	0	38.48062015503876	347.19637212914006	EDNRA;PTGER3;MIF
Carcinogenesis	10/4065	1.297866124752923E-4	0.004954294461620103	0	0	7.856966707768187	70.31685773389971	GNAO1;EDNRA;WNT2B;WT1;PTGER3;P2RY1;LPAR2;TXNIP;MIF;PAX2
Renal sclerosis with hypertension	2/23	1.316231259729039E-4	0.004954294461620103	0	0	146.25641025641025	1306.8840737214405	EDNRA;LPAR2
Differentiated Thyroid Gland Carcinoma	3/139	1.405976372076192E-4	0.0050885529466296025	0	0	36.487132352941174	323.6265750183081	EDNRA;LPAR2;TXNIP
Parathyroid Diseases	2/25	1.559398729733465E-4	0.0053628370062342706	0	0	133.52508361204013	1170.4862312462878	EDNRA;LPAR2
Endometriosis	5/749	1.595743211206797E-4	0.0053628370062342706	0	0	12.930779569892474	113.0538158801565	PTGFR;WT1;TXNIP;MIF;PAX2
Coronary Arteriosclerosis	5/760	1.708711780737153E-4	0.0055444751230126245	0	0	12.735099337748345	110.47190073791657	EDNRA;P2RY1;TXNIP;S1PR3;MIF
Urogenital Abnormalities	2/27	1.8229184189191621E-4	0.0057178874406764385	0	0	122.83076923076923	1057.5608400035376	WT1;PAX2
Diabetes	6/1268	1.9532445377602107E-4	0.005929042290426963	0	0	9.890649762282091	84.47454135013182	GNAO1;EDNRA;P2RY1;TXNIP;MIF;AVPR1A
Polycystic Kidney, Autosomal Dominant	3/161	2.1697061355895742E-4	0.0060660666586290985	0	0	31.371835443037973	264.64491801546905	EDNRA;MIF;PAX2
Benign Prostatic Hyperplasia	4/420	2.177691961523472E-4	0.0060660666586290985	0	0	17.10576923076923	144.23712548192935	EDNRA;LPAR2;TXNIP;PAX2
genetic hypertension	2/30	2.256241583974691E-4	0.0060660666586290985	0	0	109.65384615384616	920.7238662710552	EDNRA;LPAR2
High grade serous carcinoma	2/30	2.256241583974691E-4	0.0060660666586290985	0	0	109.65384615384616	920.7238662710552	EDNRA;PAX2
Mycoplasma-Induced Stevens-Johnson Syndrome	2/31	2.4108009623731251E-4	0.006131253258359759	0	0	105.86737400530504	881.9155958865495	PTGER3;MIF
Drug-Induced Stevens Johnson Syndrome	2/31	2.4108009623731251E-4	0.006131253258359759	0	0	105.86737400530504	881.9155958865495	PTGER3;MIF
Cannabis Dependence	2/32	2.5704084175112637E-4	0.006243628897571528	0	0	102.33333333333333	845.9155331637611	EDNRA;LPAR2
Bipolar Disorder	5/837	2.6821033695517785E-4	0.006243628897571528	0	0	11.510216346153847	94.65701559255051	EDNRA;GNAL;P2RY1;LPAR2;AVPR1A
Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	2/33	2.735057307803723E-4	0.006243628897571528	0	0	99.0272952853598	812.4385459521706	PTGER3;MIF
Taste bitter	2/33	2.735057307803723E-4	0.006243628897571528	0	0	99.0272952853598	812.4385459521706	EDNRA;LPAR2
Myocardial Ischemia	4/448	2.7867419096493535E-4	0.006243628897571528	0	0	16.004095004095003	131.0009952473078	EDNRA;TXNIP;S1PR3;MIF
Nephrogenic Diabetes Insipidus	2/35	3.079452853975245E-4	0.006654361279566725	0	0	93.01631701631702	752.0916571878076	EDNRA;LPAR2
Nephrotic Syndrome	3/182	3.111497303941933E-4	0.006654361279566725	0	0	27.662011173184357	223.37727712823803	EDNRA;WT1;PAX2
Thyroid Neoplasm	4/476	3.5103345968859643E-4	0.007340499679265983	0	0	15.033127889060092	119.58295525183708	EDNRA;WT1;LPAR2;TXNIP
Left Ventricular Hypertrophy	3/203	4.284286446874797E-4	0.008764159883715617	0	0	24.73125	191.80039884838558	EDNRA;HTR2B;LPAR2
Pulmonary Cystic Fibrosis	2/43	4.6573681352710507E-4	0.009324645564446933	0	0	74.83677298311444	574.139479895918	EDNRA;LPAR2
Diabetes Mellitus, Insulin-Dependent	5/956	4.961931078303455E-4	0.009612839523504802	0	0	10.007360672975816	76.14145778139566	GNAO1;EDNRA;LPAR2;TXNIP;MIF
Diabetes Mellitus	6/1507	5.005623131261799E-4	0.009612839523504802	0	0	8.209638019098378	62.39143022469745	GNAO1;EDNRA;P2RY1;TXNIP;MIF;AVPR1A
Thrombus	2/46	5.331252155032125E-4	0.010033416555770459	0	0	69.72377622377623	525.490965769041	PTGER3;P2RY1
Hypertension, Renovascular	2/47	5.565787049524132E-4	0.01007193387231194	0	0	68.17094017094017	510.8527085713869	PTGER3;AVPR1A
Cholestasis of pregnancy	2/47	5.565787049524132E-4	0.01007193387231194	0	0	68.17094017094017	510.8527085713869	EDNRA;LPAR2
Endometrioma	3/229	6.088902527282513E-4	0.010810674109760084	0	0	21.85730088495575	161.82866928467382	PTGFR;TXNIP;PAX2
Pituitary Diseases	3/240	6.978693830776945E-4	0.01189114871138661	0	0	20.831223628691983	151.39047199528824	EDNRA;LPAR2;MIF
Stevens-Johnson Syndrome	2/53	7.076560338338472E-4	0.01189114871138661	0	0	60.132730015082956	436.1759087353045	PTGER3;MIF
Anxiety neurosis (finding)	2/53	7.076560338338472E-4	0.01189114871138661	0	0	60.132730015082956	436.1759087353045	EDNRA;MIF
Acute myocardial infarction	3/247	7.586034978459118E-4	0.012361896909638627	0	0	20.22643442622951	145.3073383654097	EDNRA;P2RY1;MIF
Common Migraine	2/55	7.61944761699299E-4	0.012361896909638627	0	0	57.8577648766328	415.3977202918273	EDNRA;HTR2B
Cystic Fibrosis	4/594	8.097135237628764E-4	0.012831940422929084	0	0	11.953775038520801	85.09689292195586	GNAO1;EDNRA;P2RY1;MIF
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	2/57	8.181896125140755E-4	0.012831940422929084	0	0	55.74825174825175	396.2817896791765	EDNRA;LPAR2
Narcolepsy	3/258	8.607050040907421E-4	0.013277432931957186	0	0	19.34313725490196	136.5191958717881	GNAO1;EDNRA;P2RY1
Marijuana Abuse	2/62	9.673256915685465E-4	0.014662570216139101	0	0	51.08974358974359	354.61264900622035	EDNRA;LPAR2
