Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adherens Junction (GO:0005912)	3/150	3.1064113801607774E-4	0.00811651957624249	0	0	26.98639455782313	217.96566022765248	CDH1;EZR;VEGFA
Membrane Raft (GO:0045121)	3/169	4.405431845776743E-4	0.00811651957624249	0	0	23.874698795180723	184.49178464758796	CAV1;EZR;EGFR
Nucleus (GO:0005634)	11/4487	4.621094225848491E-4	0.00811651957624249	0	0	5.443827396910507	41.807009435227215	NR4A1;JUN;CDKN1A;EPAS1;STAT1;PRKDC;NFIB;PIM1;PIK3R1;ESR1;EGFR
Nuclear Lumen (GO:0031981)	5/780	4.994781277687687E-4	0.00811651957624249	0	0	9.532009925558313	72.46183186584504	JUN;CDKN1A;STAT1;PRKDC;PIM1
Euchromatin (GO:0000791)	2/44	7.076805583778768E-4	0.009199847258912399	0	0	59.345238095238095	430.46173818774844	JUN;ESR1
Caveola (GO:0005901)	2/62	0.001401119074102026	0.013429809870298424	0	0	41.50416666666667	272.7024639719935	CDH1;CAV1
Cortical Cytoskeleton (GO:0030863)	2/63	0.0014462872168013686	0.013429809870298424	0	0	40.82172131147541	266.9232566421176	CDH1;EZR
Intracellular Membrane-Bounded Organelle (GO:0043231)	11/5175	0.001682063796630792	0.013666768347625185	0	0	4.509184463870754	28.803469961238928	NR4A1;JUN;CDKN1A;EPAS1;STAT1;PRKDC;NFIB;PIM1;PIK3R1;ESR1;EGFR
Cell-Cell Junction (GO:0005911)	3/299	0.00228529743284647	0.015824957814895305	0	0	13.301351351351352	80.88896388863593	CDH1;EZR;VEGFA
Plasma Membrane Raft (GO:0044853)	2/82	0.0024346088945992775	0.015824957814895305	0	0	31.096875	187.14003452280946	CAV1;EZR
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	5/1195	0.0033621088489086673	0.019742284393088578	0	0	6.073691014867485	34.590805309880835	CDKN1A;STAT1;PRKDC;CAV1;PIM1
Nucleolus (GO:0005730)	4/771	0.004352147915119321	0.019742284393088578	0	0	7.1577574967405475	38.91734151765542	CDKN1A;STAT1;PRKDC;PIM1
Multivesicular Body, Internal Vesicle (GO:0097487)	1/5	0.0044922927083929694	0.019742284393088578	0	0	293.79411764705884	1588.072397289777	EGFR
Focal Adhesion (GO:0005925)	3/387	0.00472656873090475	0.019742284393088578	0	0	10.207291666666666	54.65551245509484	CAV1;EZR;EGFR
Early Endosome Membrane (GO:0031901)	2/116	0.0048021134180562626	0.019742284393088578	0	0	21.785087719298247	116.30402956291051	CAV1;EGFR
Cell-Substrate Junction (GO:0030055)	3/395	0.005003999690103604	0.019742284393088578	0	0	9.994897959183673	52.94814933129502	CAV1;EZR;EGFR
