Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Catenin Complex (GO:0016342)	1/28	0.008371605061186147	0.10775452703363528	0	0	147.9037037037037	707.410051609059	CDH17
Extracellular Membrane-Bounded Organelle (GO:0065010)	1/57	0.01698059341210605	0.10775452703363528	0	0	71.20714285714286	290.2178235808619	SLC12A2
Extracellular Vesicle (GO:1903561)	1/60	0.017867613092024802	0.10775452703363528	0	0	67.57627118644068	271.9786468771055	SLC12A2
Vesicle Membrane (GO:0012506)	1/69	0.02052467181593053	0.10775452703363528	0	0	58.60588235294118	227.74993771071073	SLC12A2
Cell Projection Membrane (GO:0031253)	1/105	0.031093091576432783	0.11718417703614671	0	0	38.25	132.75693797566336	SLC12A2
Cytoplasmic Side Of Plasma Membrane (GO:0009898)	1/124	0.036632447786472476	0.11718417703614671	0	0	32.31056910569106	106.84526455648567	SOCS3
Adherens Junction (GO:0005912)	1/150	0.04416983459325144	0.11718417703614671	0	0	26.63758389261745	83.1016220368009	CDH17
Chromosome (GO:0005694)	1/164	0.048208029966533346	0.11718417703614671	0	0	24.332515337423313	73.78177507316862	NCL
Basolateral Plasma Membrane (GO:0016323)	1/171	0.050221790158348587	0.11718417703614671	0	0	23.322352941176472	69.76430080716925	CDH17
Vesicle (GO:0031982)	1/235	0.06846925989620635	0.14378544578203334	0	0	16.88888888888889	45.28536667240263	SLC12A2
Endoplasmic Reticulum Lumen (GO:0005788)	1/284	0.08224168400534694	0.15124138371669293	0	0	13.930035335689047	34.798523772510855	COL1A1
Cell-Cell Junction (GO:0005911)	1/299	0.08642364783811024	0.15124138371669293	0	0	13.218791946308725	32.366131958684925	CDH17
Collagen-Containing Extracellular Matrix (GO:0062023)	1/373	0.10682300850135501	0.16677508305659183	0	0	10.549462365591397	23.59473700626011	COL1A1
Cytoplasmic Vesicle Membrane (GO:0030659)	1/389	0.11118338870439455	0.16677508305659183	0	0	10.106185567010309	22.198987391304836	SLC12A2
Neuron Projection (GO:0043005)	1/557	0.15590652688477394	0.2182691376386835	0	0	6.992086330935252	12.994782922490975	SLC12A2
Nucleolus (GO:0005730)	1/771	0.21014496777774078	0.26232801731396216	0	0	4.993246753246753	7.789253539355934	NCL
Nuclear Lumen (GO:0031981)	1/780	0.2123607759208265	0.26232801731396216	0	0	4.933247753530167	7.643912872314008	NCL
Intracellular Organelle Lumen (GO:0070013)	1/856	0.23086634248002338	0.269344066226694	0	0	4.4769590643274855	6.562847445455738	COL1A1
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	1/1195	0.309061083377938	0.3415938289966683	0	0	3.1490787269681744	3.697699699627361	NCL
Nucleus (GO:0005634)	1/4487	0.7822780361111314	0.8213919379166881	0	0	0.6913954525189479	0.16976873561079306	NCL
Intracellular Membrane-Bounded Organelle (GO:0043231)	1/5175	0.8341647238817216	0.8341647238817216	0	0	0.5728643216080402	0.10387427107699249	NCL
