Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Organelle Lumen (GO:0070013)	5/856	5.285919969111011E-5	0.0014491001084925457	0	0	18.74069721895809	184.55611463483598	HSP90AB1;INSR;APOE;HBA1;EGFR
Endocytic Vesicle Lumen (GO:0071682)	2/21	5.74219267049387E-5	0.0014491001084925457	0	0	233.5672514619883	2280.8039070745754	APOE;HBA1
Endocytic Vesicle Membrane (GO:0030666)	3/159	7.76303629549578E-5	0.0014491001084925457	0	0	47.67548076923077	451.1793881479519	TAP1;APOE;EGFR
Vesicle (GO:0031982)	3/235	2.4647832520898274E-4	0.0034506965529257586	0	0	31.934806034482758	265.32192106930296	NOS2;APOE;EGFR
Dendrite (GO:0030425)	3/270	3.70516358834525E-4	0.00414978321894668	0	0	27.69943820224719	218.84254046764525	STAT1;INSR;APOE
Nucleus (GO:0005634)	8/4487	5.425512526556716E-4	0.004913437467858423	0	0	9.234204063407011	69.43408577040601	HSP90AB1;NOS2;STAT1;INSR;BHLHE40;BHLHE41;APOE;EGFR
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	2/68	6.141796834823028E-4	0.004913437467858423	0	0	67.08080808080808	496.077536690995	APOE;EGFR
Clathrin-Coated Endocytic Vesicle (GO:0045334)	2/85	9.576257501889189E-4	0.006674586469494857	0	0	53.295850066934406	370.4623058756709	APOE;EGFR
Clathrin-Coated Vesicle Membrane (GO:0030665)	2/90	0.001072701396883102	0.006674586469494857	0	0	50.255050505050505	343.6226841007994	APOE;EGFR
Multivesicular Body, Internal Vesicle (GO:0097487)	1/5	0.002747205358336921	0.015271332420642353	0	0	499.625	2946.3741195064317	EGFR
Neuron Projection (GO:0043005)	3/557	0.002999726011197605	0.015271332420642353	0	0	13.155460288808664	76.42315145889272	STAT1;INSR;APOE
Low-Density Lipoprotein Particle (GO:0034362)	1/6	0.0032958256764104633	0.015380519823248829	0	0	399.68	2284.210591570385	APOE
Chylomicron (GO:0042627)	1/8	0.004392244396163033	0.01892043739885614	0	0	285.45714285714286	1549.43708775113	APOE
Endocytic Vesicle (GO:0030139)	2/196	0.004958240758068908	0.019832963032275632	0	0	22.674684994272624	120.3278480662615	APOE;HBA1
Axon (GO:0030424)	2/205	0.005410636946465624	0.020199711266804997	0	0	21.659551176792554	113.04961141831744	STAT1;INSR
Intracellular Vesicle (GO:0097708)	1/11	0.006034818727760455	0.021121865547161594	0	0	199.79	1020.9687483548147	EGFR
Triglyceride-Rich Plasma Lipoprotein Particle (GO:0034385)	1/14	0.007674930787541144	0.023704757832327946	0	0	153.66153846153847	748.3003458854362	APOE
Very-Low-Density Lipoprotein Particle (GO:0034361)	1/14	0.007674930787541144	0.023704757832327946	0	0	153.66153846153847	748.3003458854362	APOE
Axonal Growth Cone (GO:0044295)	1/15	0.008221088123671455	0.023704757832327946	0	0	142.67857142857142	685.0073410932765	HSP90AB1
