Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Heterotrimeric G-protein Complex (GO:0005834)	1/24	0.004791660011821214	0.039120178640890325	0	0	289.463768115942	1545.9907779727164	GNAS
Endolysosome (GO:0036019)	1/28	0.005588596948698618	0.039120178640890325	0	0	246.53086419753086	1278.7622529681282	PRKCD
Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234)	1/77	0.015312304095757302	0.05006415073021649	0	0	87.36842105263158	365.1212447515326	GNAS
Azurophil Granule Lumen (GO:0035578)	1/89	0.017682713077126194	0.05006415073021649	0	0	75.4090909090909	304.2883338768032	PRKCD
Specific Granule Membrane (GO:0035579)	1/90	0.017880053832220178	0.05006415073021649	0	0	74.55805243445693	300.0267846683708	PTPRJ
Azurophil Granule (GO:0042582)	1/155	0.03064356755712743	0.055677009541664546	0	0	42.94805194805195	149.68824153490112	PRKCD
Specific Granule (GO:0042581)	1/159	0.031424929983051714	0.055677009541664546	0	0	41.85232067510549	144.81546443787522	PTPRJ
Vacuolar Lumen (GO:0005775)	1/161	0.03181543402380831	0.055677009541664546	0	0	41.325	142.48049039348678	PRKCD
Secretory Granule Membrane (GO:0030667)	1/279	0.054646974475143	0.07855544730084087	0	0	23.642685851318944	68.72601154931702	PTPRJ
Cell-Cell Junction (GO:0005911)	1/299	0.05847633645603283	0.07855544730084087	0	0	22.033557046979865	62.55620137848809	PTPRJ
Secretory Granule Lumen (GO:0034774)	1/316	0.0617221371649464	0.07855544730084087	0	0	20.826455026455026	58.00402283453284	PRKCD
Lysosome (GO:0005764)	1/503	0.09687477997740389	0.11302057664030454	0	0	12.944223107569721	30.2161668012037	PRKCD
Nucleus (GO:0005634)	2/4487	0.21924649053373424	0.23611160519017532	0	0	3.458416945373467	5.248350566478649	PRKCD;PPARGC1A
Intracellular Membrane-Bounded Organelle (GO:0043231)	2/5175	0.27655711210081346	0.27655711210081346	0	0	2.8654552484051807	3.683078304996597	PRKCD;PPARGC1A
