Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adherens Junction (GO:0005912)	2/150	0.0015188640882368835	0.035604166967789834	0	0	44.693693693693696	290.05279964440666	CDH1;VEGFA
Flotillin Complex (GO:0016600)	1/6	0.002397858969227747	0.035604166967789834	0	0	571.0571428571428	3445.2899826083253	CDH1
Axon (GO:0030424)	2/205	0.0028108552869307766	0.035604166967789834	0	0	32.49425287356322	190.87990010257073	NFASC;VIM
Secretory Granule Membrane (GO:0030667)	2/279	0.005136380506869412	0.03722071435398084	0	0	23.72442839951865	125.06110913707428	NFASC;CD68
Endoplasmic Reticulum Lumen (GO:0005788)	2/284	0.005317128857107703	0.03722071435398084	0	0	23.29787234042553	122.00680599489253	COL1A1;COL1A2
Cell-Cell Junction (GO:0005911)	2/299	0.005876954897996975	0.03722071435398084	0	0	22.104377104377104	113.54391916247398	CDH1;VEGFA
Collagen-Containing Extracellular Matrix (GO:0062023)	2/373	0.009017015159782172	0.04235899943098108	0	0	17.628930817610062	83.00832253307603	COL1A1;COL1A2
Focal Adhesion (GO:0005925)	2/387	0.009680273940316802	0.04235899943098108	0	0	16.975757575757576	78.7278780897411	NFASC;VIM
Cell-Substrate Junction (GO:0030055)	2/395	0.010068957745723368	0.04235899943098108	0	0	16.623409669211195	76.43939274054206	NFASC;VIM
Catenin Complex (GO:0016342)	1/28	0.011147105113416074	0.04235899943098108	0	0	105.63492063492063	474.9953903533844	CDH1
Cortical Actin Cytoskeleton (GO:0030864)	1/44	0.01746796731842876	0.05454711494766193	0	0	66.27574750830564	268.2435666902731	CDH1
Neuron Projection (GO:0043005)	2/557	0.01939408126435081	0.05454711494766193	0	0	11.673873873873873	46.02760222289763	NFASC;VIM
Cytoskeleton (GO:0005856)	2/599	0.02224303184298529	0.05454711494766193	0	0	10.829145728643216	41.21276681788437	CDH1;VIM
Azurophil Granule Membrane (GO:0035577)	1/58	0.0229696971452446	0.05454711494766193	0	0	49.962406015037594	188.53710846919242	CD68
Ficolin-1-Rich Granule Membrane (GO:0101003)	1/60	0.023753454121096102	0.05454711494766193	0	0	48.26392251815981	180.50838890404887	NFASC
Caveola (GO:0005901)	1/62	0.024536660972781548	0.05454711494766193	0	0	46.676814988290396	173.05834842078664	CDH1
Cortical Cytoskeleton (GO:0030863)	1/63	0.02492805820599394	0.05454711494766193	0	0	45.92165898617512	169.5318022982446	CDH1
Platelet Alpha Granule Lumen (GO:0031093)	1/66	0.026101425623281816	0.05454711494766193	0	0	43.79560439560439	159.66849674970803	VEGFA
Intermediate Filament (GO:0005882)	1/69	0.027273557473830964	0.05454711494766193	0	0	41.857142857142854	150.7626325151401	VIM
Intermediate Filament Cytoskeleton (GO:0045111)	1/81	0.03194975141989611	0.0607045276978026	0	0	35.55714285714286	122.44425280744703	VIM
Platelet Alpha Granule (GO:0031091)	1/89	0.035056276120956284	0.06343516631411138	0	0	32.311688311688314	108.27002521488092	VEGFA
Apical Junction Complex (GO:0043296)	1/106	0.041628694578224525	0.07129332102696109	0	0	27.057142857142857	86.01372572734715	CDH1
Intracellular Organelle Lumen (GO:0070013)	2/856	0.043151220621581714	0.07129332102696109	0	0	7.469945355191257	23.478371216583376	COL1A1;COL1A2
Cytoplasmic Side Of Plasma Membrane (GO:0009898)	1/124	0.048545001420476706	0.0766968137758967	0	0	23.076655052264808	69.81297485230687	CDH1
Peroxisome (GO:0005777)	1/129	0.050458430115721514	0.0766968137758967	0	0	22.169642857142858	66.21197613100185	VIM
Azurophil Granule (GO:0042582)	1/155	0.06035408561800151	0.08820981744169451	0	0	18.4025974025974	51.66578236108292	CD68
Tertiary Granule (GO:0070820)	1/162	0.06300283360189707	0.08867065469896625	0	0	17.596273291925467	48.646227367856696	NFASC
Ficolin-1-Rich Granule (GO:0101002)	1/184	0.07128498785471031	0.09674391208853543	0	0	15.463700234192038	40.84070739750899	NFASC
Lytic Vacuole (GO:0000323)	1/223	0.08580966090141956	0.11244024531910149	0	0	12.722007722007723	31.240463430859748	CD68
trans-Golgi Network (GO:0005802)	1/241	0.092446044133206	0.1170983225687276	0	0	11.757142857142858	27.99528688024924	CDH1
Polymeric Cytoskeletal Fiber (GO:0099513)	1/265	0.10122896371895237	0.12408711681678034	0	0	10.675324675324676	24.450447223161934	VIM
Secretory Granule Lumen (GO:0034774)	1/316	0.11964610416483853	0.14207974869574577	0	0	8.923809523809524	18.947184312542266	VEGFA
Actin Cytoskeleton (GO:0015629)	1/327	0.12357484815180213	0.1422983099929843	0	0	8.617879053461875	18.01919439818014	CDH1
Lysosomal Membrane (GO:0005765)	1/356	0.13385900343999554	0.14960712149175973	0	0	7.902213279678068	15.89109997958299	CD68
Lysosome (GO:0005764)	1/503	0.18438182977813009	0.2001859866162555	0	0	5.546385885031303	9.377532576619757	CD68
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	1/1195	0.3891867053017702	0.4108081889296463	0	0	2.2491026561378322	2.12246937876749	VIM
Nucleus (GO:0005634)	1/4487	0.8690353785018233	0.8925228211640347	0	0	0.4937902044455767	0.06931404344135594	MECOM
Intracellular Membrane-Bounded Organelle (GO:0043231)	1/5175	0.9089015669597674	0.9089015669597674	0	0	0.4091335799878513	0.03907981679412381	MECOM
