Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Collagen-Containing Extracellular Matrix (GO:0062023)	3/373	0.0030082817132662592	0.07592355847181356	0	0	12.233264033264033	71.03105574021626	SFRP1;TIMP3;CLU
Hemidesmosome (GO:0030056)	1/6	0.004790942275014269	0.07592355847181356	0	0	266.38666666666666	1422.7786907214238	ITGB4
Spherical High-Density Lipoprotein Particle (GO:0034366)	1/7	0.005587341707821481	0.07592355847181356	0	0	221.9777777777778	1151.4545938502376	CLU
Mitochondrial Membrane (GO:0031966)	3/540	0.008433244831715644	0.07592355847181356	0	0	8.357112161581435	39.910004764618925	TYMS;CLU;HK2
Intracellular Membrane-Bounded Organelle (GO:0043231)	9/5175	0.009469227186448163	0.07592355847181356	0	0	3.687904430064709	17.184557708201446	DYRK2;H2BC21;BDKRB2;S1PR1;TIMP3;TYMS;CLU;HK2;TBX2
Platelet Dense Granule Lumen (GO:0031089)	1/13	0.010353212518883667	0.07592355847181356	0	0	110.95555555555555	507.11775303850175	TIMP3
High-Density Lipoprotein Particle (GO:0034364)	1/18	0.014308410919694987	0.07766654067181596	0	0	78.30196078431372	332.5412031884909	CLU
Sodium Channel Complex (GO:0034706)	1/18	0.014308410919694987	0.07766654067181596	0	0	78.30196078431372	332.5412031884909	SCNN1G
Platelet Dense Granule (GO:0042827)	1/20	0.015886337864689626	0.07766654067181596	0	0	70.05263157894737	290.1787210723924	TIMP3
Secretory Granule Lumen (GO:0034774)	2/316	0.025804710950284797	0.11354072818125312	0	0	8.949044585987261	32.72842982990293	TIMP3;CLU
Mitochondrial Inner Membrane (GO:0005743)	2/370	0.034519790148434384	0.13807916059373754	0	0	7.614906832298137	25.63347065272171	TYMS;CLU
Organelle Inner Membrane (GO:0019866)	2/398	0.039435538795766834	0.14074144791962487	0	0	7.066378066378066	22.84622120659932	TYMS;CLU
Cation Channel Complex (GO:0034703)	1/53	0.04158270052170735	0.14074144791962487	0	0	25.553846153846155	81.26304639681278	SCNN1G
Ficolin-1-Rich Granule Membrane (GO:0101003)	1/60	0.046951957438519945	0.1451763074818445	0	0	22.51412429378531	68.86238459395226	CLU
Platelet Alpha Granule Lumen (GO:0031093)	1/66	0.051531720597775645	0.1451763074818445	0	0	20.42974358974359	60.58558396287635	CLU
Vesicle Membrane (GO:0012506)	1/69	0.05381385761215394	0.1451763074818445	0	0	19.525490196078433	57.05786130626521	CLU
Tertiary Granule Membrane (GO:0070821)	1/72	0.056090846072530835	0.1451763074818445	0	0	18.697652582159623	53.86387318021709	CLU
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	3/1195	0.06653009240487888	0.15321957687971027	0	0	3.6381001548786784	9.859618563360021	DYRK2;ITGB4;CLU
Platelet Alpha Granule (GO:0031091)	1/89	0.0688970518062023	0.15321957687971027	0	0	15.072727272727272	40.321684143986595	CLU
Specific Granule Membrane (GO:0035579)	1/90	0.06964526221805012	0.15321957687971027	0	0	14.902621722846442	39.70566015899566	CLU
Cytoskeleton (GO:0005856)	2/599	0.08148577910024953	0.17073210859099902	0	0	4.639148121560182	11.631860245157965	DYRK2;CLU
Mitochondrial Outer Membrane (GO:0005741)	1/151	0.11423501232672365	0.21649288534493566	0	0	8.815111111111111	19.124360997236487	HK2
Specific Granule (GO:0042581)	1/159	0.11993193759508466	0.21649288534493566	0	0	8.365400843881856	17.74160046522972	CLU
Tertiary Granule (GO:0070820)	1/162	0.12205941461598036	0.21649288534493566	0	0	8.208281573498965	17.264046449033206	CLU
Organelle Outer Membrane (GO:0031968)	1/170	0.12770913902979056	0.21649288534493566	0	0	7.816568047337278	16.086496667009623	HK2
Nucleus (GO:0005634)	6/4487	0.12792761406746198	0.21649288534493566	0	0	2.0758312876590046	4.268512551082254	DYRK2;H2BC21;TIMP3;TYMS;CLU;TBX2
Ficolin-1-Rich Granule (GO:0101002)	1/184	0.13751422310245054	0.21718811329189136	0	0	7.213479052823315	14.311743887880253	CLU
