Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Side Of Plasma Membrane (GO:0009898)	2/124	0.0024163697244848196	0.03624554586727229	0	0	32.5672131147541	196.23338369839547	ERRFI1;SOCS3
Nucleus (GO:0005634)	7/4487	0.007654827249770448	0.05741120437327836	0	0	4.84625	23.612959692403933	RCAN1;NPM1;JUN;DUSP1;HMGA1;PKN1;NME1
Intracellular Membrane-Bounded Organelle (GO:0043231)	7/5175	0.017253883292017016	0.06217444608675408	0	0	4.014705882352941	16.298573905767803	RCAN1;NPM1;JUN;DUSP1;HMGA1;PKN1;NME1
Focal Adhesion (GO:0005925)	2/387	0.021682331902459696	0.06217444608675408	0	0	10.183376623376624	39.01513855364321	NPM1;HMGA1
Cell-Substrate Junction (GO:0030055)	2/395	0.022529170402586854	0.06217444608675408	0	0	9.97201017811705	37.82327963447427	NPM1;HMGA1
Euchromatin (GO:0000791)	1/44	0.026089805695170006	0.06217444608675408	0	0	42.167019027484145	153.74983290143678	JUN
Heterochromatin (GO:0000792)	1/49	0.029014741507151904	0.06217444608675408	0	0	37.765151515151516	133.68679532449664	HMGA1
Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234)	1/77	0.04524611580465905	0.08483646713373572	0	0	23.818181818181817	73.7324794714548	ERRFI1
Nuclear Chromosome (GO:0000228)	1/95	0.05554883382373988	0.09258138970623314	0	0	19.239845261121857	55.612633361315446	JUN
Nuclear Lumen (GO:0031981)	2/780	0.07740113595362809	0.11610170393044214	0	0	4.938303341902314	12.63590255073577	NPM1;JUN
Chromosome (GO:0005694)	1/164	0.09410566595091076	0.1283259081148783	0	0	11.056887897378695	26.13115251802758	JUN
Endoplasmic Reticulum Lumen (GO:0005788)	1/284	0.1577416772987269	0.19717709662340863	0	0	6.329906842274333	11.690050040631785	RCAN1
Nucleolus (GO:0005730)	1/771	0.37617418051324697	0.4340471313614388	0	0	2.268949232585596	2.2183584643125376	NPM1
Intracellular Organelle Lumen (GO:0070013)	1/856	0.40848113785501344	0.4376583619875144	0	0	2.0343434343434343	1.8213670842202836	RCAN1
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	1/1195	0.5226580451707096	0.5226580451707096	0	0	1.4309425917466119	0.9284354225693842	NPM1
