Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Extracellular Membrane-Bounded Organelle (GO:0065010)	2/57	0.0028763159589075275	0.10658517299923818	0	0	27.855944055944057	162.99195294918349	FGA;MFGE8
Extracellular Vesicle (GO:1903561)	2/60	0.0031816469552011398	0.10658517299923818	0	0	26.411140583554378	151.87346879850782	FGA;MFGE8
Insulin-Responsive Compartment (GO:0032593)	1/5	0.006981040634233312	0.14022438477486796	0	0	184.88888888888889	917.8914803082985	RAB10
Chloride Channel Complex (GO:0034707)	1/6	0.008371605061186147	0.14022438477486796	0	0	147.9037037037037	707.410051609059	BEST1
Collagen-Containing Extracellular Matrix (GO:0062023)	3/373	0.014924748448746245	0.1467243505718173	0	0	6.357405405405405	26.731201674579054	FGA;GDF15;MFGE8
Postsynaptic Density (GO:0014069)	2/151	0.018823831632266252	0.1467243505718173	0	0	10.233866804336603	40.655382369622366	NSF;PTPRS
Secretory Vesicle (GO:0099503)	1/15	0.020802499021418883	0.1467243505718173	0	0	52.7989417989418	204.47351966705395	RAB10
Exocytic Vesicle (GO:0070382)	1/15	0.020802499021418883	0.1467243505718173	0	0	52.7989417989418	204.47351966705395	RAB10
Basolateral Plasma Membrane (GO:0016323)	2/171	0.023748789683237112	0.1467243505718173	0	0	9.013654984069186	33.71308608973465	LDLR;BEST1
Sodium Channel Complex (GO:0034706)	1/18	0.0249126411012733	0.1467243505718173	0	0	43.474945533769066	160.52601632867996	SCNN1A
Bounding Membrane Of Organelle (GO:0098588)	4/819	0.026150037259539474	0.1467243505718173	0	0	3.9175869120654396	14.275313219063777	RAB10;SCNN1A;B3GNT3;LDLR
Endolysosome Membrane (GO:0036020)	1/19	0.02627898816211653	0.1467243505718173	0	0	41.05761316872428	149.40806261137496	LDLR
Intracellular Organelle Lumen (GO:0070013)	4/856	0.030129485579255114	0.1485764129036069	0	0	3.740219092331768	13.09918605394138	PRDX3;FGA;KRT17;MFGE8
Late Endosome (GO:0005770)	2/205	0.03318587444796457	0.1485764129036069	0	0	7.491095111784767	25.51190545221981	CD79A;LDLR
Endoplasmic Reticulum Tubular Network (GO:0071782)	1/26	0.03579185869121641	0.1485764129036069	0	0	29.551111111111112	98.40622903757162	RAB10
Endolysosome (GO:0036019)	1/28	0.03849332073945392	0.1485764129036069	0	0	27.359396433470508	89.11695599563507	LDLR
Golgi Stack (GO:0005795)	1/31	0.04253183431893138	0.1485764129036069	0	0	24.619753086419752	77.73693045847051	NSF
Vesicle (GO:0031982)	2/235	0.04253431419549518	0.1485764129036069	0	0	6.516672169032684	20.57602832623485	FGA;MFGE8
Postsynaptic Density Membrane (GO:0098839)	1/34	0.04655398933456637	0.1485764129036069	0	0	22.378226711560046	68.63721198820747	PTPRS
Monoatomic Ion Channel Complex (GO:0034702)	1/36	0.04922636939208551	0.1485764129036069	0	0	21.097354497354498	63.53100866506492	BEST1
Cilium (GO:0005929)	2/257	0.04994544493241066	0.1485764129036069	0	0	5.947812971342383	17.824548485106167	RAB10;SCNN1A
Ciliary Membrane (GO:0060170)	1/38	0.05189152613184633	0.1485764129036069	0	0	19.954954954954953	59.03872524246405	SCNN1A
Postsynaptic Specialization Membrane (GO:0099634)	1/38	0.05189152613184633	0.1485764129036069	0	0	19.954954954954953	59.03872524246405	PTPRS
Keratin Filament (GO:0045095)	1/39	0.053221401637112926	0.1485764129036069	0	0	19.428849902534115	56.990542001630324	KRT17
Endoplasmic Reticulum Lumen (GO:0005788)	2/284	0.0596301864010967	0.15980889955493915	0	0	5.370976541189307	15.143969737954174	FGA;MFGE8
Multivesicular Body (GO:0005771)	1/50	0.0677318256109869	0.16293280020031117	0	0	15.058956916099774	40.541710435272364	CD79A
Early Endosome (GO:0005769)	2/307	0.06835228535185492	0.16293280020031117	0	0	4.96015132408575	13.308484205220253	PRDX3;LDLR
Cation Channel Complex (GO:0034703)	1/53	0.07165184698641218	0.16293280020031117	0	0	14.188034188034187	37.39875501073144	SCNN1A
Exocytic Vesicle Membrane (GO:0099501)	1/53	0.07165184698641218	0.16293280020031117	0	0	14.188034188034187	37.39875501073144	PTPRS
Synaptic Vesicle Membrane (GO:0030672)	1/54	0.07295498516431843	0.16293280020031117	0	0	13.919636617749825	36.44039305811433	PTPRS
Acrosomal Vesicle (GO:0001669)	1/64	0.0858897268017167	0.16712274152793397	0	0	11.704291593180482	28.730419843799346	SCNN1A
Mitochondrial Matrix (GO:0005759)	2/355	0.08780207274186397	0.16712274152793397	0	0	4.275223360209196	10.400208343091329	PRDX3;KRT17
Lysosomal Membrane (GO:0005765)	2/356	0.08822368285447695	0.16712274152793397	0	0	4.262929161234246	10.349879765318716	NSF;LDLR
Platelet Alpha Granule Lumen (GO:0031093)	1/66	0.08845570883663759	0.16712274152793397	0	0	11.343019943019943	27.509696745751697	FGA
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	1/68	0.09101474458249931	0.16712274152793397	0	0	11.003316749585407	26.372020695020453	LDLR
Intermediate Filament (GO:0005882)	1/69	0.09229166323184414	0.16712274152793397	0	0	10.840958605664488	25.83185203747669	KRT17
Vesicle Membrane (GO:0012506)	1/69	0.09229166323184414	0.16712274152793397	0	0	10.840958605664488	25.83185203747669	RAB10
Motile Cilium (GO:0031514)	1/73	0.09738206251623838	0.1716999523312624	0	0	10.236625514403292	23.842260104213242	SCNN1A
Cytoplasmic Vesicle Membrane (GO:0030659)	2/389	0.10247484306099139	0.1760465252586262	0	0	3.892864241701451	8.868481740167312	RAB10;LDLR
Intermediate Filament Cytoskeleton (GO:0045111)	1/81	0.10748040674068252	0.18002968129064323	0	0	9.209259259259259	20.540762024674148	KRT17
Clathrin-Coated Endocytic Vesicle (GO:0045334)	1/85	0.11248863777540374	0.18382289587687928	0	0	8.768959435626103	19.15932630382963	LDLR
Platelet Alpha Granule (GO:0031091)	1/89	0.11746976428394924	0.18496803342197682	0	0	8.368686868686869	17.922164754149428	FGA
