Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chronic myeloid leukemia	2/76	1.414500157223739E-4	0.004337121199359361	0	0	179.46846846846847	1590.7302830047636	MYC;ABL1
ErbB signaling pathway	2/85	1.7702535507589228E-4	0.004337121199359361	0	0	159.93574297188755	1381.7196834139886	MYC;ABL1
Cell cycle	2/124	3.7667628875319285E-4	0.005306539924766019	0	0	108.59562841530055	856.1814426244825	MYC;ABL1
Vascular smooth muscle contraction	2/133	4.3318693263396074E-4	0.005306539924766019	0	0	101.08905852417303	782.8681616101092	CALD1;MYLK
cGMP-PKG signaling pathway	2/167	6.817002382682741E-4	0.0066806623350290865	0	0	80.12121212121212	584.1573903490295	SRF;MYLK
Human T-cell leukemia virus 1 infection	2/219	0.0011678890366758742	0.009537760466186306	0	0	60.76190476190476	410.29824975567897	SRF;MYC
MAPK signaling pathway	2/294	0.0020914091737433992	0.014221663132324272	0	0	44.98401826484018	277.54766776529556	SRF;MYC
MicroRNAs in cancer	2/310	0.002321904184869269	0.014221663132324272	0	0	42.612554112554115	258.46080765030825	MYC;ABL1
Pathways in cancer	2/531	0.0066710895582619435	0.036320376483870584	0	0	24.53182104599874	122.90373852015072	MYC;ABL1
Thyroid cancer	1/37	0.009216658544821541	0.045161626869625555	0	0	138.60416666666666	649.6020692107373	MYC
Bladder cancer	1/41	0.010208973756811941	0.04547633764398046	0	0	124.71875	571.7716333774792	MYC
Endometrial cancer	1/58	0.014417450339007641	0.05620534764763566	0	0	87.44736842105263	370.71702609175657	MYC
Viral myocarditis	1/60	0.014911622845291095	0.05620534764763566	0	0	84.47457627118644	355.26748708331087	ABL1
Acute myeloid leukemia	1/67	0.016639666196472655	0.05677307767899166	0	0	75.48863636363636	309.1988806923386	MYC
Central carbon metabolism in cancer	1/70	0.017379513575201528	0.05677307767899166	0	0	72.19565217391305	292.57021981956115	MYC
Gastric acid secretion	1/76	0.01885787265075893	0.05775223499294922	0	0	66.4	263.6627670535498	MYLK
Colorectal cancer	1/86	0.0213178505521487	0.05858389973171219	0	0	58.55882352941177	225.34667975778618	MYC
Small cell lung cancer	1/92	0.022791467529210928	0.05858389973171219	0	0	54.68131868131868	206.77024575968775	MYC
TGF-beta signaling pathway	1/94	0.023282278577421368	0.05858389973171219	0	0	53.5	201.1633589371276	MYC
Neurotrophin signaling pathway	1/119	0.02940079634800306	0.05858389973171219	0	0	42.11228813559322	148.51881810168607	ABL1
Thyroid hormone signaling pathway	1/121	0.02988895006178911	0.05858389973171219	0	0	41.40625	145.34696936891217	MYC
Platelet activation	1/124	0.030620812373257762	0.05858389973171219	0	0	40.390243902439025	140.8034339839893	MYLK
Apelin signaling pathway	1/137	0.03378711383543003	0.05858389973171219	0	0	36.505514705882355	123.66884861369475	MYLK
Signaling pathways regulating pluripotency of stem cells	1/143	0.035245690579190664	0.05858389973171219	0	0	34.95246478873239	116.93039549276394	MYC
Breast cancer	1/147	0.03621709614688683	0.05858389973171219	0	0	33.988013698630134	112.77984284813093	MYC
Gastric cancer	1/149	0.036702505438878555	0.05858389973171219	0	0	33.52533783783784	110.79823292863162	MYC
Oxytocin signaling pathway	1/154	0.03791517307266349	0.05858389973171219	0	0	32.42156862745098	106.09646768819518	MYLK
Cellular senescence	1/156	0.038399898051902255	0.05858389973171219	0	0	32.0	104.31041517729149	MYC
Hepatitis C	1/157	0.03864218727302653	0.05858389973171219	0	0	31.79326923076923	103.4365611840871	MYC
JAK-STAT signaling pathway	1/162	0.03985290093159903	0.05858389973171219	0	0	30.79813664596273	99.24884569734257	MYC
Hepatitis B	1/162	0.03985290093159903	0.05858389973171219	0	0	30.79813664596273	99.24884569734257	MYC
Hippo signaling pathway	1/163	0.04009489722901885	0.05858389973171219	0	0	30.60648148148148	98.44593756514546	MYC
Wnt signaling pathway	1/166	0.04082059338391608	0.05858389973171219	0	0	30.045454545454547	96.1024470343946	MYC
Hepatocellular carcinoma	1/168	0.04130414695089004	0.05858389973171219	0	0	29.682634730538922	94.59239398831171	MYC
Axon guidance	1/182	0.04468356435447933	0.05858389973171219	0	0	27.367403314917127	85.06198182708867	ABL1
Transcriptional misregulation in cancer	1/192	0.0470915942002926	0.05858389973171219	0	0	25.921465968586386	79.2072064270803	MYC
Kaposi sarcoma-associated herpesvirus infection	1/193	0.047332129861881025	0.05858389973171219	0	0	25.78515625	78.65931930618633	MYC
Pathogenic Escherichia coli infection	1/197	0.04829378686343229	0.05858389973171219	0	0	25.253826530612244	76.53051828362327	ABL1
Focal adhesion	1/201	0.04925466715339655	0.05858389973171219	0	0	24.74375	74.49727380042336	MYLK
Epstein-Barr virus infection	1/202	0.04949476591627397	0.05858389973171219	0	0	24.619402985074625	74.00317671683035	MYC
Viral carcinogenesis	1/203	0.04973481617713605	0.05858389973171219	0	0	24.496287128712872	73.51458406594195	SRF
Proteoglycans in cancer	1/205	0.050214771198610446	0.05858389973171219	0	0	24.253676470588236	72.55356464153554	MYC
Regulation of actin cytoskeleton	1/218	0.05332975409876869	0.06077111513580618	0	0	22.785714285714285	66.79087257399802	MYLK
Human cytomegalovirus infection	1/225	0.05500366422199648	0.06107552010022708	0	0	22.065848214285715	63.9988036512559	MYC
Ras signaling pathway	1/232	0.05667520572104212	0.06107552010022708	0	0	21.38961038961039	61.397132359633346	ABL1
Chemical carcinogenesis	1/239	0.05834438110107419	0.06107552010022708	0	0	20.7531512605042	58.96784256019378	MYC
Calcium signaling pathway	1/240	0.058582641728789235	0.06107552010022708	0	0	20.665271966527197	58.63392420572137	MYLK
Salmonella infection	1/249	0.06072481786686428	0.06198991823909061	0	0	19.90625	55.765424555360234	MYC
