Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	11/531	1.1216205811148558E-13	1.6151336368053923E-11	0	0	58.81373626373627	1753.7568987097334	AR;JUN;CDKN1A;EPAS1;STAT1;CDH1;PIM1;PIK3R1;ESR1;EGFR;VEGFA
Proteoglycans in cancer	7/205	3.102083985899037E-10	2.233500469847307E-8	0	0	63.58494031221304	1392.114490451597	CDKN1A;CAV1;PIK3R1;EZR;ESR1;EGFR;VEGFA
Renal cell carcinoma	5/69	3.4888433413736626E-9	1.674644803859358E-7	0	0	119.69951923076923	2330.9919981502867	JUN;CDKN1A;EPAS1;PIK3R1;VEGFA
Pancreatic cancer	5/76	5.713557879292162E-9	2.056880836545178E-7	0	0	107.8602383531961	2047.2330470985423	CDKN1A;STAT1;PIK3R1;EGFR;VEGFA
AGE-RAGE signaling pathway in diabetic complications	5/100	2.2982533439147207E-8	6.618969630474396E-7	0	0	80.51417004048584	1416.1260018802632	JUN;STAT1;PIM1;PIK3R1;VEGFA
Chemical carcinogenesis	6/239	4.502011221173911E-8	9.367483589578472E-7	0	0	42.37982832618026	716.9038087895599	AR;JUN;PIK3R1;ESR1;EGFR;VEGFA
Bladder cancer	4/41	4.55363785604509E-8	9.367483589578472E-7	0	0	154.01544401544402	2603.5932397392685	CDKN1A;CDH1;EGFR;VEGFA
Breast cancer	5/147	1.589080047734647E-7	2.8603440859223643E-6	0	0	53.737811484290354	841.2622353951373	JUN;CDKN1A;PIK3R1;ESR1;EGFR
Endometrial cancer	4/58	1.889685878489652E-7	3.0191407475564127E-6	0	0	105.43915343915344	1632.375764171635	CDKN1A;CDH1;PIK3R1;EGFR
MicroRNAs in cancer	6/310	2.0966255191363976E-7	3.0191407475564127E-6	0	0	32.36513157894737	497.70343597898926	CDKN1A;PIM1;PIK3R1;EZR;EGFR;VEGFA
JAK-STAT signaling pathway	5/162	2.5785904316077154E-7	3.375609292286464E-6	0	0	48.56687898089172	736.8009693355604	CDKN1A;STAT1;PIM1;PIK3R1;EGFR
Melanoma	4/72	4.5464162611763733E-7	5.455699513411648E-6	0	0	83.67226890756302	1221.929429486313	CDKN1A;CDH1;PIK3R1;EGFR
Kaposi sarcoma-associated herpesvirus infection	5/193	6.146803094555419E-7	6.80876650473831E-6	0	0	40.49509001636661	579.167399427031	JUN;CDKN1A;STAT1;PIK3R1;VEGFA
Focal adhesion	5/201	7.513822958515328E-7	7.728503614472908E-6	0	0	38.826530612244895	547.506546589151	JUN;CAV1;PIK3R1;EGFR;VEGFA
ErbB signaling pathway	4/85	8.882963173680829E-7	8.379952536718708E-6	0	0	70.19753086419753	978.1296193732132	JUN;CDKN1A;PIK3R1;EGFR
Colorectal cancer	4/86	9.311058374131898E-7	8.379952536718708E-6	0	0	69.33797909407666	962.8890885209128	JUN;CDKN1A;PIK3R1;EGFR
PD-L1 expression and PD-1 checkpoint pathway in cancer	4/89	1.0687703394931213E-6	9.053113463941733E-6	0	0	66.88067226890756	919.5424824588323	JUN;STAT1;PIK3R1;EGFR
Prostate cancer	4/97	1.5098738363947304E-6	1.2078990691157843E-5	0	0	61.102918586789556	818.9920199027146	AR;CDKN1A;PIK3R1;EGFR
