Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Type II diabetes mellitus	1/46	0.013722475176735492	0.06495275027844935	0	0	88.66222222222223	380.24746931631483	SOCS3
Vibrio cholerae infection	1/50	0.014908284799373634	0.06495275027844935	0	0	81.40816326530613	342.3895623444841	SLC12A2
Adipocytokine signaling pathway	1/69	0.02052467181593053	0.06495275027844935	0	0	58.60588235294118	227.74993771071073	SOCS3
Prolactin signaling pathway	1/70	0.020819530478468958	0.06495275027844935	0	0	57.7536231884058	223.6141610659621	SOCS3
ECM-receptor interaction	1/88	0.026114352916579615	0.06495275027844935	0	0	45.763218390804596	166.81929605604782	COL1A1
Salivary secretion	1/93	0.02758089556145968	0.06495275027844935	0	0	43.26521739130435	155.34947127174277	SLC12A2
AGE-RAGE signaling pathway in diabetic complications	1/100	0.029630963394411815	0.06495275027844935	0	0	40.19191919191919	141.432767389918	COL1A1
Pancreatic secretion	1/102	0.03021603513748301	0.06495275027844935	0	0	39.392079207920794	137.84795382798865	SLC12A2
Amoebiasis	1/102	0.03021603513748301	0.06495275027844935	0	0	39.392079207920794	137.84795382798865	COL1A1
Protein digestion and absorption	1/103	0.030508460755968123	0.06495275027844935	0	0	39.003921568627455	136.11398334704754	COL1A1
Insulin resistance	1/108	0.0319694869760854	0.06495275027844935	0	0	37.17196261682243	127.98207714314651	SOCS3
TNF signaling pathway	1/112	0.03313698656003556	0.06495275027844935	0	0	35.825225225225225	122.06031121746017	SOCS3
Growth hormone synthesis, secretion and action	1/119	0.03517728754969164	0.06495275027844935	0	0	33.68813559322034	112.7661371492705	SOCS3
Platelet activation	1/124	0.036632447786472476	0.06495275027844935	0	0	32.31056910569106	106.84526455648567	COL1A1
Osteoclast differentiation	1/127	0.03750466576200578	0.06495275027844935	0	0	31.536507936507938	103.54349904331993	SOCS3
Relaxin signaling pathway	1/129	0.038085778751605945	0.06495275027844935	0	0	31.040625	101.43810317644555	COL1A1
Insulin signaling pathway	1/137	0.040407308005575016	0.06495275027844935	0	0	29.20294117647059	93.70478036325976	SOCS3
Ubiquitin mediated proteolysis	1/140	0.04127667689935802	0.06495275027844935	0	0	28.568345323741006	91.06039120762675	SOCS3
Gastric cancer	1/149	0.043880846617344746	0.06495275027844935	0	0	26.818918918918918	83.84337876336214	CDH17
Non-alcoholic fatty liver disease	1/155	0.04561368290852198	0.06495275027844935	0	0	25.766233766233768	79.55447177504013	SOCS3
Hepatitis C	1/157	0.046190713120766676	0.06495275027844935	0	0	25.433333333333334	78.20690271858014	SOCS3
JAK-STAT signaling pathway	1/162	0.04763201687086286	0.06495275027844935	0	0	24.637267080745342	75.00200327976852	SOCS3
Influenza A	1/172	0.050509180130790456	0.06588153930103104	0	0	23.184795321637427	69.2205289569504	SOCS3
Pathogenic Escherichia coli infection	1/197	0.057670415374589494	0.06661386895801236	0	0	20.20204081632653	57.63664404050928	NCL
Focal adhesion	1/201	0.05881202508353407	0.06661386895801236	0	0	19.794	56.08449649428966	COL1A1
Diabetic cardiomyopathy	1/203	0.05938239760975016	0.06661386895801236	0	0	19.596039603960396	55.334462490340414	COL1A1
Proteoglycans in cancer	1/205	0.05995248206221112	0.06661386895801236	0	0	19.401960784313726	54.60105617060042	COL1A1
Human papillomavirus infection	1/331	0.0952921174447928	0.102098697262278	0	0	11.917575757575758	28.015934633991336	COL1A1
PI3K-Akt signaling pathway	1/354	0.10162191839381594	0.10512612247636133	0	0	11.128045325779038	25.444231513381027	COL1A1
Herpes simplex virus 1 infection	1/498	0.14041901280984878	0.14041901280984878	0	0	7.845875251509054	15.402428970514169	SOCS3
