Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HIF-1 signaling pathway	3/109	2.516752113057351E-5	0.0015552555590947208	0	0	70.34080188679245	744.9060137794023	NOS2;INSR;EGFR
Alzheimer disease	4/369	3.395316509324066E-5	0.0015552555590947208	0	0	30.722504892367905	316.1508115788331	NOS2;INSR;IRS2;APOE
FoxO signaling pathway	3/131	4.36052960493847E-5	0.0015552555590947208	0	0	58.1865234375	584.2120100940831	INSR;IRS2;EGFR
Circadian rhythm	2/31	1.2676847134630674E-4	0.002990665646246764	0	0	152.95019157088123	1372.4447355060008	BHLHE40;BHLHE41
Pathways in cancer	4/531	1.3975073113302636E-4	0.002990665646246764	0	0	21.102737869341286	187.30051989068195	HSP90AB1;NOS2;STAT1;EGFR
Type II diabetes mellitus	2/46	2.808966966300349E-4	0.005009324423235622	0	0	100.73232323232324	823.7409488906677	INSR;IRS2
Regulation of lipolysis in adipocytes	2/55	4.0193981025798004E-4	0.006143937099657696	0	0	83.58909853249476	653.6005652009715	INSR;IRS2
Adherens junction	2/71	6.693872237504711E-4	0.007278940247126421	0	0	64.15458937198068	468.91537932807887	INSR;EGFR
Pancreatic cancer	2/76	7.66557415655506E-4	0.007278940247126421	0	0	59.8048048048048	429.0158049324039	STAT1;EGFR
Leishmaniasis	2/77	7.86762964181551E-4	0.007278940247126421	0	0	59.004444444444445	421.73919613452125	NOS2;STAT1
Antigen processing and presentation	2/78	8.072251304274173E-4	0.007278940247126421	0	0	58.22514619883041	414.67413198594653	HSP90AB1;TAP1
PI3K-Akt signaling pathway	3/354	8.16329747341281E-4	0.007278940247126421	0	0	20.98076923076923	149.1877917519314	HSP90AB1;INSR;EGFR
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.001049178217319043	0.008635543788702892	0	0	50.83524904214559	348.7170015767893	STAT1;EGFR
Prostate cancer	2/97	0.0012444500801154995	0.00951115418373989	0	0	46.53567251461988	311.2799776913074	HSP90AB1;EGFR
Longevity regulating pathway	2/102	0.001374689891784233	0.00968821974711693	0	0	44.19777777777778	291.24245471584624	INSR;IRS2
Th17 cell differentiation	2/107	0.0015111984615165264	0.00968821974711693	0	0	42.08253968253968	273.3198779565988	HSP90AB1;STAT1
Insulin resistance	2/108	0.001539249866364372	0.00968821974711693	0	0	41.683438155136265	269.96112325022307	INSR;IRS2
Toxoplasmosis	2/112	0.0016539467166369409	0.009831794371119593	0	0	40.15959595959596	257.20578274015594	NOS2;STAT1
Growth hormone synthesis, secretion and action	2/119	0.0018642217762422065	0.010139588350794987	0	0	37.743589743589745	237.21512467016996	STAT1;IRS2
AMPK signaling pathway	2/120	0.0018952501590271003	0.010139588350794987	0	0	37.421845574387945	234.5752629185423	INSR;IRS2
Relaxin signaling pathway	2/129	0.002185574097671191	0.011136020402419877	0	0	34.75415573053368	212.8996742085833	NOS2;EGFR
Estrogen signaling pathway	2/137	0.0024602719008962578	0.011445612756343461	0	0	32.681481481481484	196.33345769415402	HSP90AB1;EGFR
Insulin signaling pathway	2/137	0.0024602719008962578	0.011445612756343461	0	0	32.681481481481484	196.33345769415402	INSR;IRS2
Phospholipase D signaling pathway	2/148	0.002863318100961287	0.012765626533452404	0	0	30.202435312024352	176.85864001166365	INSR;EGFR
Non-alcoholic fatty liver disease	2/155	0.0031349527155465568	0.01305965397129874	0	0	28.81045751633987	166.0963552659853	INSR;IRS2
Hepatitis C	2/157	0.0032147134072934183	0.01305965397129874	0	0	28.43584229390681	163.2222200995152	STAT1;EGFR
Necroptosis	2/159	0.003295426703038	0.01305965397129874	0	0	28.070771408351025	160.43062348045635	HSP90AB1;STAT1
JAK-STAT signaling pathway	2/162	0.003418278839589801	0.013062708422718169	0	0	27.540277777777778	156.39072035992172	STAT1;EGFR
cGMP-PKG signaling pathway	2/167	0.0036277699397877553	0.013385220122665166	0	0	26.6989898989899	150.02528630649724	INSR;IRS2
Tuberculosis	2/180	0.004199978047897054	0.014654275893240643	0	0	24.73283395755306	135.354786326664	NOS2;STAT1
NOD-like receptor signaling pathway	2/181	0.0042456313335557	0.014654275893240643	0	0	24.593420235878337	134.32593497570505	HSP90AB1;STAT1
Epstein-Barr virus infection	2/202	0.0052577828611460094	0.01758071144195697	0	0	21.98777777777778	115.39286592575218	STAT1;TAP1
Rap1 signaling pathway	2/210	0.005669940781811908	0.01838435344405679	0	0	21.13354700854701	109.31489084599424	INSR;EGFR
Human cytomegalovirus infection	2/225	0.006481704325062646	0.02039830478769715	0	0	19.69706028898854	99.24899173152043	TAP1;EGFR
Coronavirus disease	2/232	0.006877754345955015	0.020442214306032963	0	0	19.090821256038648	95.0620396785657	STAT1;EGFR
Ras signaling pathway	2/232	0.006877754345955015	0.020442214306032963	0	0	19.090821256038648	95.0620396785657	INSR;EGFR
Chemical carcinogenesis	2/239	0.007284664803173953	0.020678248786282084	0	0	18.52039381153305	91.15707927882511	HSP90AB1;EGFR
Calcium signaling pathway	2/240	0.00734367713905345	0.020678248786282084	0	0	18.441643323996264	90.62067861983672	NOS2;EGFR
MAPK signaling pathway	2/294	0.010851363517033395	0.02977168964929675	0	0	14.990106544901066	67.80721536349225	INSR;EGFR
MicroRNAs in cancer	2/310	0.012008953383788778	0.03141245307202299	0	0	14.1998556998557	62.7932215375227	IRS2;EGFR
Arginine biosynthesis	1/22	0.012036547438812547	0.03141245307202299	0	0	95.08571428571429	420.26056624547704	NOS2
Human papillomavirus infection	2/331	0.013607904519241473	0.034667756751400894	0	0	13.279297534616683	57.06252840179037	STAT1;EGFR
African trypanosomiasis	1/37	0.020167646885642113	0.04904405038099332	0	0	55.425	216.36122001333428	HBA1
Aldosterone-regulated sodium reabsorption	1/37	0.020167646885642113	0.04904405038099332	0	0	55.425	216.36122001333428	INSR
Primary immunodeficiency	1/38	0.020707551273270317	0.04923795524977609	0	0	53.924324324324324	209.07845583696505	TAP1
Bladder cancer	1/41	0.022325642342211446	0.0519313854481875	0	0	49.8725	189.61621154431046	EGFR
ABC transporters	1/45	0.02447931669919003	0.05572950823007092	0	0	45.32954545454545	168.16929253740548	TAP1
Arginine and proline metabolism	1/50	0.027165344857992397	0.05811934328119646	0	0	40.69387755102041	146.73452100035948	NOS2
Cholesterol metabolism	1/50	0.027165344857992397	0.05811934328119646	0	0	40.69387755102041	146.73452100035948	APOE
Malaria	1/50	0.027165344857992397	0.05811934328119646	0	0	40.69387755102041	146.73452100035948	HBA1
Ovarian steroidogenesis	1/51	0.027701743059261864	0.05811934328119646	0	0	39.878	143.01287394480332	INSR
Herpes simplex virus 1 infection	2/498	0.029328125127883475	0.060348257474683295	0	0	8.7334229390681	30.82206891081991	STAT1;TAP1
Endometrial cancer	1/58	0.03144900907971979	0.06349139568924562	0	0	34.96842105263158	120.96932931919562	EGFR
Inflammatory bowel disease	1/65	0.035183142220876845	0.06937912770209542	0	0	31.1328125	104.20738341965524	STAT1
Adipocytokine signaling pathway	1/69	0.03731105207809084	0.06937912770209542	0	0	29.29558823529412	96.33753689320037	IRS2
Central carbon metabolism in cancer	1/70	0.037842362503763806	0.06937912770209542	0	0	28.869565217391305	94.52837096535384	EGFR
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.037842362503763806	0.06937912770209542	0	0	28.869565217391305	94.52837096535384	EGFR
Prolactin signaling pathway	1/70	0.037842362503763806	0.06937912770209542	0	0	28.869565217391305	94.52837096535384	STAT1
Melanoma	1/72	0.03890418375818435	0.06937912770209542	0	0	28.053521126760565	91.0800620630536	EGFR
Non-small cell lung cancer	1/72	0.03890418375818435	0.06937912770209542	0	0	28.053521126760565	91.0800620630536	EGFR
Glioma	1/75	0.04049491842710541	0.07080057321423232	0	0	26.91216216216216	86.2959682120762	EGFR
Pertussis	1/76	0.041024631208246766	0.07080057321423232	0	0	26.552	84.79600603121183	NOS2
Peroxisome	1/82	0.04419732915189926	0.07506530506751144	0	0	24.57777777777778	76.6603234550211	NOS2
ErbB signaling pathway	1/85	0.0457800971719973	0.0762287042717787	0	0	23.696428571428573	73.07755450297252	EGFR
