Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GnRH signaling pathway	2/93	1.2756409906586723E-4	0.002969065713596104	0	0	218.73626373626374	1961.384361958338	PRKCD;GNAS
Inflammatory mediator regulation of TRP channels	2/98	1.416807041241792E-4	0.002969065713596104	0	0	207.29166666666666	1837.005192022513	PRKCD;GNAS
Glucagon signaling pathway	2/107	1.6894362153708182E-4	0.002969065713596104	0	0	189.43809523809523	1645.448970685818	GNAS;PPARGC1A
Insulin resistance	2/108	1.7211975151281762E-4	0.002969065713596104	0	0	187.64150943396226	1626.3490251255419	PRKCD;PPARGC1A
Vascular smooth muscle contraction	2/133	2.6105004591926126E-4	0.0031852200482701243	0	0	151.6412213740458	1251.161150054301	PRKCD;GNAS
Estrogen signaling pathway	2/137	2.7697565637131515E-4	0.0031852200482701243	0	0	147.11851851851853	1205.1332520371031	PRKCD;GNAS
Thermogenesis	2/232	7.916255621933881E-4	0.007803166255906255	0	0	85.93913043478261	613.7276012984353	GNAS;PPARGC1A
Vasopressin-regulated water reabsorption	1/44	0.008771563165193935	0.03721305297903733	0	0	154.67441860465115	732.5752067987863	GNAS
Type II diabetes mellitus	1/46	0.009168896311972097	0.03721305297903733	0	0	147.78518518518518	693.3989791915002	PRKCD
Cocaine addiction	1/49	0.009764672150221917	0.03721305297903733	0	0	138.52777777777777	641.2429069487843	GNAS
Vibrio cholerae infection	1/50	0.009963204403296228	0.03721305297903733	0	0	135.69387755102042	625.3936138885244	GNAS
Ovarian steroidogenesis	1/51	0.010161706815005046	0.03721305297903733	0	0	132.97333333333333	610.2317612564632	GNAS
Endocrine and other factor-regulated calcium reabsorption	1/53	0.010558622126276096	0.03721305297903733	0	0	127.84615384615384	581.8038736810901	GNAS
Regulation of lipolysis in adipocytes	1/55	0.010955418103578725	0.03721305297903733	0	0	123.09876543209876	555.6581197291017	GNAS
Long-term depression	1/60	0.011946886102556297	0.03721305297903733	0	0	112.63841807909604	498.6823350537484	GNAS
Cortisol synthesis and secretion	1/65	0.0129376087422444	0.03721305297903733	0	0	103.8125	451.3369693400768	GNAS
Adipocytokine signaling pathway	1/69	0.013729650427898048	0.03721305297903733	0	0	97.68627450980392	418.8980400895514	PPARGC1A
Amphetamine addiction	1/69	0.013729650427898048	0.03721305297903733	0	0	97.68627450980392	418.8980400895514	GNAS
Renin secretion	1/69	0.013729650427898048	0.03721305297903733	0	0	97.68627450980392	418.8980400895514	GNAS
Adherens junction	1/71	0.014125492523803207	0.03721305297903733	0	0	94.88571428571429	404.19171136393726	PTPRJ
Thyroid hormone synthesis	1/75	0.0149168193344818	0.03721305297903733	0	0	89.73873873873873	377.3752568742025	GNAS
Gastric acid secretion	1/76	0.01511457659975212	0.03721305297903733	0	0	88.53777777777778	371.1588342399145	GNAS
Insulin secretion	1/86	0.017090512409021402	0.03721305297903733	0	0	78.08235294117647	317.73519355477225	GNAS
Gap junction	1/88	0.01748534258913372	0.03721305297903733	0	0	76.27969348659003	308.6575655408228	GNAS
Bile secretion	1/90	0.017880053832220178	0.03721305297903733	0	0	74.55805243445693	300.0267846683708	GNAS
Morphine addiction	1/91	0.018077364860211664	0.03721305297903733	0	0	73.72592592592592	295.8691213711147	GNAS
Salivary secretion	1/93	0.018471897734518974	0.03721305297903733	0	0	72.1159420289855	287.8511246681871	GNAS
Dilated cardiomyopathy	1/96	0.01906347415271624	0.03721305297903733	0	0	69.8280701754386	276.5178397381699	GNAS
Circadian entrainment	1/97	0.019260606863600038	0.03721305297903733	0	0	69.09722222222223	272.9128400885125	GNAS
Fc gamma R-mediated phagocytosis	1/97	0.019260606863600038	0.03721305297903733	0	0	69.09722222222223	272.9128400885125	PRKCD
Aldosterone synthesis and secretion	1/98	0.01945770986826378	0.03721305297903733	0	0	68.38144329896907	269.3895091508751	GNAS
AGE-RAGE signaling pathway in diabetic complications	1/100	0.01985182675975813	0.03721305297903733	0	0	66.993265993266	262.5773759432504	PRKCD
Melanogenesis	1/101	0.020048840655282372	0.03721305297903733	0	0	66.32	259.28360753618125	GNAS
Amoebiasis	1/102	0.020245824851614903	0.03721305297903733	0	0	65.66006600660066	256.06156447186925	GNAS
Longevity regulating pathway	1/102	0.020245824851614903	0.03721305297903733	0	0	65.66006600660066	256.06156447186925	PPARGC1A
Chagas disease	1/102	0.020245824851614903	0.03721305297903733	0	0	65.66006600660066	256.06156447186925	GNAS
Pancreatic secretion	1/102	0.020245824851614903	0.03721305297903733	0	0	65.66006600660066	256.06156447186925	GNAS
C-type lectin receptor signaling pathway	1/104	0.020639704165072065	0.03721305297903733	0	0	64.37864077669903	249.82380515639142	PRKCD
Parathyroid hormone synthesis, secretion and action	1/106	0.02103346472728197	0.03721305297903733	0	0	63.146031746031746	243.84727683680757	GNAS
Serotonergic synapse	1/113	0.022410691845982666	0.037301502753614976	0	0	59.17857142857143	224.7730631043994	GNAS
Glutamatergic synapse	1/114	0.022607319907896505	0.037301502753614976	0	0	58.65191740412979	222.26035801963073	GNAS
Neurotrophin signaling pathway	1/119	0.023590015375655984	0.037301502753614976	0	0	56.152542372881356	210.39974294913594	PRKCD
Growth hormone synthesis, secretion and action	1/119	0.023590015375655984	0.037301502753614976	0	0	56.152542372881356	210.39974294913594	GNAS
AMPK signaling pathway	1/120	0.023786465524044335	0.037301502753614976	0	0	55.67787114845938	208.15943465147257	PPARGC1A
Platelet activation	1/124	0.024571969733761977	0.03742778770596055	0	0	53.856368563685635	199.5997225869358	GNAS
Relaxin signaling pathway	1/129	0.02555318334636167	0.03742778770596055	0	0	51.739583333333336	189.7287094266052	GNAS
Dopaminergic synapse	1/132	0.02614155610795585	0.03742778770596055	0	0	50.5470737913486	184.20511433882353	GNAS
Insulin signaling pathway	1/137	0.027121585294174314	0.03742778770596055	0	0	48.6764705882353	175.59673457248485	PPARGC1A
Apelin signaling pathway	1/137	0.027121585294174314	0.03742778770596055	0	0	48.6764705882353	175.59673457248485	PPARGC1A
Autophagy	1/137	0.027121585294174314	0.03742778770596055	0	0	48.6764705882353	175.59673457248485	PRKCD
Phospholipase D signaling pathway	1/148	0.029275045963164405	0.039155669656329495	0	0	45.00907029478458	158.92791836577854	GNAS
Adrenergic signaling in cardiomyocytes	1/150	0.029666199887420187	0.039155669656329495	0	0	44.40044742729307	156.189537724504	GNAS
Oxytocin signaling pathway	1/154	0.030448153109277298	0.039155669656329495	0	0	43.230936819172115	150.9507564210575	GNAS
Cushing syndrome	1/155	0.03064356755712743	0.039155669656329495	0	0	42.94805194805195	149.68824153490112	GNAS
NOD-like receptor signaling pathway	1/181	0.03571398376740333	0.044804815999106004	0	0	36.696296296296296	122.27987427585897	PRKCD
Alcoholism	1/186	0.036686778924747046	0.045203352603706184	0	0	35.69549549549549	117.98570753539191	GNAS
Chemokine signaling pathway	1/192	0.03785316139800214	0.04582224800810786	0	0	34.56369982547993	113.16296267411514	PRKCD
Diabetic cardiomyopathy	1/203	0.039988778101626654	0.04757285670710757	0	0	32.663366336633665	105.14848516989917	PRKCD
Rap1 signaling pathway	1/210	0.04134595467730846	0.04835374360566582	0	0	31.558213716108455	100.53754798003185	GNAS
cAMP signaling pathway	1/216	0.042508103179153926	0.048884318656027013	0	0	30.668217054263565	96.85208666897961	GNAS
Human cytomegalovirus infection	1/225	0.044249344462234025	0.05005253717859258	0	0	29.422619047619047	91.73721708986146	GNAS
