Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AGE-RAGE signaling pathway in diabetic complications	3/100	6.669353467633975E-6	2.66774138705359E-4	0	0	123.0618556701031	1466.6496741086537	COL1A1;COL1A2;VEGFA
Relaxin signaling pathway	3/129	1.4337063815759014E-5	2.867412763151803E-4	0	0	94.6	1055.0418723662783	COL1A1;COL1A2;VEGFA
Focal adhesion	3/201	5.395741752002366E-5	5.7216954412389E-4	0	0	59.981818181818184	589.4602447538894	COL1A1;COL1A2;VEGFA
Proteoglycans in cancer	3/205	5.721695441238901E-5	5.7216954412389E-4	0	0	58.78217821782178	574.2231305680001	COL1A1;COL1A2;VEGFA
Bladder cancer	2/41	1.139088404438859E-4	9.112707235510871E-4	0	0	170.53846153846155	1548.5083438136971	CDH1;VEGFA
Human papillomavirus infection	3/331	2.365104111419415E-4	0.00157673607427961	0	0	35.97073170731707	300.33828370711586	COL1A1;COL1A2;VEGFA
PI3K-Akt signaling pathway	3/354	2.882324516994637E-4	0.0016470425811397928	0	0	33.57435897435897	273.68955513010684	COL1A1;COL1A2;VEGFA
ECM-receptor interaction	2/88	5.267861861025673E-4	0.0026339309305128365	0	0	77.15503875968992	582.4214609619535	COL1A1;COL1A2
Amoebiasis	2/102	7.068662099163871E-4	0.002882877159104725	0	0	66.30666666666667	481.03292886084796	COL1A1;COL1A2
Protein digestion and absorption	2/103	7.207192897761812E-4	0.002882877159104725	0	0	65.64686468646865	474.9721887477784	COL1A1;COL1A2
Pathways in cancer	3/531	9.433238650896315E-4	0.0034302686003259324	0	0	22.118181818181817	154.0774861163434	MECOM;CDH1;VEGFA
Platelet activation	2/124	0.0010419087722074684	0.003473029240691561	0	0	54.2896174863388	372.79056471925674	COL1A1;COL1A2
Cell adhesion molecules	2/148	0.0014790894278400844	0.004551044393354106	0	0	45.31050228310502	295.2581233581681	NFASC;CDH1
Diabetic cardiomyopathy	2/203	0.0027572490877721023	0.007858748884105793	0	0	32.82089552238806	193.4306633756946	COL1A1;COL1A2
Rap1 signaling pathway	2/210	0.0029470308315396724	0.007858748884105793	0	0	31.705128205128204	184.74442232209134	CDH1;VEGFA
MAPK signaling pathway	2/294	0.005687425463822789	0.014218563659556972	0	0	22.488584474885844	116.25468347150861	MECOM;VEGFA
MicroRNAs in cancer	2/310	0.0063041434540528525	0.014833278715418476	0	0	21.303030303030305	107.93282921110205	VIM;VEGFA
Thyroid cancer	1/37	0.014706952762456068	0.03268211724990237	0	0	79.19047619047619	334.1390605677817	CDH1
Endometrial cancer	1/58	0.0229696971452446	0.04502697824217932	0	0	49.962406015037594	188.53710846919242	CDH1
VEGF signaling pathway	1/59	0.023361644422266112	0.04502697824217932	0	0	49.09852216748769	184.44644096582132	VEGFA
Lysine degradation	1/63	0.02492805820599394	0.04502697824217932	0	0	45.92165898617512	169.5318022982446	MECOM
Renal cell carcinoma	1/69	0.027273557473830964	0.04502697824217932	0	0	41.857142857142854	150.7626325151401	VEGFA
Adherens junction	1/71	0.028054292838003377	0.04502697824217932	0	0	40.65714285714286	145.29291931699237	CDH1
Melanoma	1/72	0.02844445487658815	0.04502697824217932	0	0	40.08249496981891	142.68574756562285	CDH1
Pancreatic cancer	1/76	0.030003733059445183	0.04502697824217932	0	0	37.93714285714286	133.0240674608429	VEGFA
Chronic myeloid leukemia	1/76	0.030003733059445183	0.04502697824217932	0	0	37.93714285714286	133.0240674608429	MECOM
Bacterial invasion of epithelial cells	1/77	0.03039321031347104	0.04502697824217932	0	0	37.43609022556391	130.78433041717327	CDH1
Rheumatoid arthritis	1/93	0.03660626495698383	0.05229466422426262	0	0	30.900621118012424	102.2049130477516	VEGFA
HIF-1 signaling pathway	1/109	0.042784458007287904	0.05901304552729367	0	0	26.3015873015873	82.89156631877408	VEGFA
Lysosome	1/128	0.05007601395994044	0.06676801861325392	0	0	22.34533183352081	66.90668639044372	CD68
Apelin signaling pathway	1/137	0.05351291321651436	0.06784398665445929	0	0	20.857142857142858	61.06621624401382	CDH1
Fluid shear stress and atherosclerosis	1/139	0.05427518932356743	0.06784398665445929	0	0	20.5527950310559	59.884433789824605	VEGFA
Gastric cancer	1/149	0.0580785181093375	0.07039820376889394	0	0	19.154440154440156	54.51275945819848	CDH1
Hippo signaling pathway	1/163	0.06338069234730123	0.07456552040858969	0	0	17.486772486772487	48.23894065290774	CDH1
Kaposi sarcoma-associated herpesvirus infection	1/193	0.07465463522901987	0.08531958311887984	0	0	14.732142857142858	38.2281821051113	VEGFA
Epstein-Barr virus infection	1/202	0.07801358011308765	0.0866817556812085	0	0	14.066098081023455	35.88082085621993	VIM
Human cytomegalovirus infection	1/225	0.08654912752993957	0.09207846518591313	0	0	12.607142857142858	30.85022166120884	VEGFA
Ras signaling pathway	1/232	0.08913314087389414	0.09207846518591313	0	0	12.220779220779221	29.545249903179535	VEGFA
Chemical carcinogenesis	1/239	0.0917107559627223	0.09207846518591313	0	0	11.857142857142858	28.328085107499632	VEGFA
Calcium signaling pathway	1/240	0.09207846518591313	0.09207846518591313	0	0	11.806933652121936	28.160884911121965	VEGFA
