Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Endocrine and other factor-regulated calcium reabsorption	2/53	8.073785986279099E-4	0.03499525211444735	0	0	55.83473389355742	397.6392213785671	BDKRB2;DNM1
Complement and coagulation cascades	2/85	0.0020607262735191276	0.03499525211444735	0	0	34.25301204819277	211.8444939484582	BDKRB2;CLU
Neuroactive ligand-receptor interaction	3/341	0.0023330168076298235	0.03499525211444735	0	0	13.413290851160674	81.29249773496767	CYSLTR2;BDKRB2;S1PR1
Sphingolipid signaling pathway	2/119	0.003989093971530899	0.035945509037900746	0	0	24.257631257631257	134.00379188110824	BDKRB2;S1PR1
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.003993945448655638	0.035945509037900746	0	0	333.0	1839.1509089009865	HK2
Regulation of actin cytoskeleton	2/218	0.012834116004161912	0.08936065048887915	0	0	13.074074074074074	56.946069049268175	ITGB4;BDKRB2
Calcium signaling pathway	2/240	0.015403574694812131	0.08936065048887915	0	0	11.85234093637455	49.46166382240405	CYSLTR2;BDKRB2
One carbon pool by folate	1/20	0.015886337864689626	0.08936065048887915	0	0	70.05263157894737	290.1787210723924	TYMS
Galactose metabolism	1/31	0.024522696784534302	0.10951290525542078	0	0	44.34222222222222	164.42788585185278	HK2
Fructose and mannose metabolism	1/33	0.026085290572661173	0.10951290525542078	0	0	41.56666666666667	151.56801592617538	HK2
Starch and sucrose metabolism	1/36	0.028424782266975358	0.10951290525542078	0	0	37.99809523809524	135.29198627979454	HK2
Aldosterone-regulated sodium reabsorption	1/37	0.02920344140144554	0.10951290525542078	0	0	36.94074074074074	130.52895191723596	SCNN1G
Type II diabetes mellitus	1/46	0.036185096144207514	0.11319050860842889	0	0	29.53925925925926	98.04399035231516	HK2
Carbohydrate digestion and absorption	1/47	0.036957923317090566	0.11319050860842889	0	0	28.895652173913042	95.29714486695593	HK2
Amino sugar and nucleotide sugar metabolism	1/48	0.037730169536142964	0.11319050860842889	0	0	28.279432624113475	92.68005025728142	HK2
Pyrimidine metabolism	1/56	0.04388727364133556	0.12343295711625626	0	0	24.156363636363636	75.5159546794018	TYMS
Glycolysis / Gluconeogenesis	1/67	0.052293005672950206	0.1299201870259288	0	0	20.11919191919192	59.3695755904207	HK2
Central carbon metabolism in cancer	1/70	0.05457342529634374	0.1299201870259288	0	0	19.241545893719806	55.958422143360416	HK2
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.0598744149956941	0.1299201870259288	0	0	17.46315789473684	49.16762572200828	ITGB4
Bacterial invasion of epithelial cells	1/77	0.0598744149956941	0.1299201870259288	0	0	17.46315789473684	49.16762572200828	DNM1
Synaptic vesicle cycle	1/78	0.06062942061210012	0.1299201870259288	0	0	17.235497835497835	48.31066980519067	DNM1
Taste transduction	1/86	0.06664903451940749	0.13058486665884397	0	0	15.607058823529412	42.26882712102443	SCNN1G
ECM-receptor interaction	1/88	0.06814827732621923	0.13058486665884397	0	0	15.246743295019158	40.953810596681016	ITGB4
Hypertrophic cardiomyopathy	1/90	0.06964526221805012	0.13058486665884397	0	0	14.902621722846442	39.70566015899566	ITGB4
Dilated cardiomyopathy	1/96	0.0741227011346479	0.13086464896997152	0	0	13.95719298245614	36.31708280615695	ITGB4
Inflammatory mediator regulation of TRP channels	1/98	0.07561068607153909	0.13086464896997152	0	0	13.668041237113401	35.29303731792002	BDKRB2
Chagas disease	1/102	0.07857993284130045	0.13096655473550076	0	0	13.124092409240925	33.38295223533899	BDKRB2
HIF-1 signaling pathway	1/109	0.083754610332196	0.13460562374817214	0	0	12.269135802469135	30.425788936678295	HK2
FoxO signaling pathway	1/131	0.09984107647289782	0.1512321074509732	0	0	10.181538461538462	23.460052416555833	S1PR1
Systemic lupus erythematosus	1/135	0.10273728992333839	0.1512321074509732	0	0	9.875621890547263	22.47276896823717	H2BC21
Insulin signaling pathway	1/137	0.10418211846622599	0.1512321074509732	0	0	9.729411764705882	22.004181371864657	HK2
Phospholipase D signaling pathway	1/148	0.11208976613663611	0.15762623362964454	0	0	8.996371882086168	19.688157234385223	DNM1
Wnt signaling pathway	1/166	0.12488855116916608	0.16622801290530487	0	0	8.007676767676768	16.658638477439094	SFRP1
cGMP-PKG signaling pathway	1/167	0.12559449863956368	0.16622801290530487	0	0	7.959036144578313	16.51258703153532	BDKRB2
Alcoholism	1/186	0.13890648480576015	0.17541726285334483	0	0	7.134774774774775	14.083719656169295	H2BC21
Neutrophil extracellular trap formation	1/189	0.1409909273153888	0.17541726285334483	0	0	7.019858156028369	13.752321465591514	H2BC21
Focal adhesion	1/201	0.1492814860795021	0.17541726285334483	0	0	6.594666666666667	12.542538892086561	ITGB4
Viral carcinogenesis	1/203	0.1506559312870363	0.17541726285334483	0	0	6.528712871287128	12.3572646565605	H2BC21
Proteoglycans in cancer	1/205	0.15202829447289887	0.17541726285334483	0	0	6.4640522875816995	12.176261782401825	TIMP3
Shigellosis	1/246	0.17970775081250215	0.2016072662405125	0	0	5.371156462585034	9.219178391264514	HK2
Endocytosis	1/252	0.18368662035246694	0.2016072662405125	0	0	5.241168658698539	8.881286728234658	DNM1
MicroRNAs in cancer	1/310	0.22122728540032535	0.23702923435749143	0	0	4.24487594390507	6.403669857225148	TIMP3
Human papillomavirus infection	1/331	0.23441584391825507	0.2453189064260809	0	0	3.9705050505050505	5.759847417194909	ITGB4
PI3K-Akt signaling pathway	1/354	0.24862006219102842	0.2542705181499154	0	0	3.707459867799811	5.16015165249498	ITGB4
Pathways in cancer	1/531	0.3499486771911411	0.3499486771911411	0	0	2.4470440251572327	2.569319809751382	BDKRB2
