Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TNF signaling pathway	2/112	0.001977487810093705	0.04491436310096226	0	0	36.14181818181818	225.01635860745026	SOCS3;JUN
Osteoclast differentiation	2/127	0.002532659498839046	0.04491436310096226	0	0	31.7808	190.00104699006127	SOCS3;JUN
Yersinia infection	2/137	0.0029391057022227834	0.04491436310096226	0	0	29.411851851851853	171.4607999958469	JUN;PKN1
Fluid shear stress and atherosclerosis	2/139	0.0030238501075019234	0.04491436310096226	0	0	28.97956204379562	168.1169421260286	JUN;DUSP1
Oxytocin signaling pathway	2/154	0.003695799506657015	0.04491436310096226	0	0	26.1	146.17457352768994	RCAN1;JUN
Non-alcoholic fatty liver disease	2/155	0.003742863591746855	0.04491436310096226	0	0	25.9281045751634	144.88376689825418	SOCS3;JUN
NOD-like receptor signaling pathway	2/181	0.0050645563969705576	0.051636352264152065	0	0	22.132960893854747	116.98351530306265	JUN;PKN1
Kaposi sarcoma-associated herpesvirus infection	2/193	0.005737372473794674	0.051636352264152065	0	0	20.729842931937174	106.98161839238067	RCAN1;JUN
Salmonella infection	2/249	0.009384396459515254	0.07507517167612203	0	0	15.984615384615385	74.62748446076266	JUN;PKN1
MAPK signaling pathway	2/294	0.012896259412582592	0.09285306777059465	0	0	13.490410958904109	58.69432252629422	JUN;DUSP1
Type II diabetes mellitus	1/46	0.02726074776388067	0.11617144065628804	0	0	40.28888888888889	145.1329634798573	SOCS3
Cocaine addiction	1/49	0.029014741507151904	0.11617144065628804	0	0	37.765151515151516	133.68679532449664	JUN
Pyrimidine metabolism	1/56	0.03309612573679984	0.11617144065628804	0	0	32.94710743801653	112.2949128878184	NME1
Inflammatory bowel disease	1/65	0.038320513395665175	0.11617144065628804	0	0	28.301136363636363	92.31179552985674	JUN
Mitophagy	1/68	0.040056217631282115	0.11617144065628804	0	0	27.029850746268657	86.96777093294467	JUN
Adipocytokine signaling pathway	1/69	0.04063414727978552	0.11617144065628804	0	0	26.63101604278075	85.30304582535365	SOCS3
Amphetamine addiction	1/69	0.04063414727978552	0.11617144065628804	0	0	26.63101604278075	85.30304582535365	JUN
Renal cell carcinoma	1/69	0.04063414727978552	0.11617144065628804	0	0	26.63101604278075	85.30304582535365	JUN
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.04121175798431784	0.11617144065628804	0	0	26.243741765480895	83.69212377043256	JUN
Prolactin signaling pathway	1/70	0.04121175798431784	0.11617144065628804	0	0	26.243741765480895	83.69212377043256	SOCS3
Pertussis	1/76	0.04467073326473782	0.11617144065628804	0	0	24.136969696969697	75.02824312324114	JUN
Leishmaniasis	1/77	0.04524611580465905	0.11617144065628804	0	0	23.818181818181817	73.7324794714548	JUN
B cell receptor signaling pathway	1/81	0.047544470857634545	0.11617144065628804	0	0	22.62272727272727	68.91085828119516	JUN
ErbB signaling pathway	1/85	0.04983775335079681	0.11617144065628804	0	0	21.541125541125542	64.60145815655738	JUN
Colorectal cancer	1/86	0.05041028257884421	0.11617144065628804	0	0	21.28663101604278	63.595089599609956	JUN
PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	0.05212597345862037	0.11617144065628804	0	0	20.55785123966942	60.72978231311063	JUN
Th1 and Th2 cell differentiation	1/92	0.05383882244884977	0.11617144065628804	0	0	19.877122877122876	58.07619178413111	JUN
GnRH signaling pathway	1/93	0.05440914131550411	0.11617144065628804	0	0	19.6600790513834	57.23487628907971	JUN
Rheumatoid arthritis	1/93	0.05440914131550411	0.11617144065628804	0	0	19.6600790513834	57.23487628907971	JUN
IL-17 signaling pathway	1/94	0.05497914506376962	0.11617144065628804	0	0	19.44770283479961	56.41392256593172	JUN
Choline metabolism in cancer	1/98	0.05725601186319688	0.11617144065628804	0	0	18.64198687910028	53.32023276493544	JUN
AGE-RAGE signaling pathway in diabetic complications	1/100	0.05839255858007915	0.11617144065628804	0	0	18.26354453627181	51.878818604154176	JUN
Chagas disease	1/102	0.059527849199832554	0.11617144065628804	0	0	17.900090009000902	50.50172123995827	JUN
T cell receptor signaling pathway	1/104	0.06066188496155178	0.11617144065628804	0	0	17.550750220653132	49.1849192357055	JUN
Toll-like receptor signaling pathway	1/104	0.06066188496155178	0.11617144065628804	0	0	17.550750220653132	49.1849192357055	JUN
C-type lectin receptor signaling pathway	1/104	0.06066188496155178	0.11617144065628804	0	0	17.550750220653132	49.1849192357055	JUN
Th17 cell differentiation	1/107	0.06236058854306352	0.11617144065628804	0	0	17.051457975986278	47.314757262521425	JUN
Insulin resistance	1/108	0.06292619702215602	0.11617144065628804	0	0	16.89124893797791	46.71769326233609	SOCS3
Drug metabolism	1/108	0.06292619702215602	0.11617144065628804	0	0	16.89124893797791	46.71769326233609	NME1
Serotonergic synapse	1/113	0.06574955100746059	0.11762908320010873	0	0	16.133116883116884	43.91277015622912	DUSP1
Neurotrophin signaling pathway	1/119	0.0691272821079329	0.11762908320010873	0	0	15.308166409861325	40.90044788489106	JUN
Growth hormone synthesis, secretion and action	1/119	0.0691272821079329	0.11762908320010873	0	0	15.308166409861325	40.90044788489106	SOCS3
Thyroid hormone signaling pathway	1/121	0.0702507024667316	0.11762908320010873	0	0	15.05151515151515	39.97208258305033	RCAN1
Purine metabolism	1/129	0.07473196722890896	0.11803941155001606	0	0	14.105113636363637	36.58651144234639	NME1
Relaxin signaling pathway	1/129	0.07473196722890896	0.11803941155001606	0	0	14.105113636363637	36.58651144234639	JUN
Insulin signaling pathway	1/137	0.07919342514991488	0.11803941155001606	0	0	13.270053475935828	33.65102433952089	SOCS3
Estrogen signaling pathway	1/137	0.07919342514991488	0.11803941155001606	0	0	13.270053475935828	33.65102433952089	JUN
Measles	1/139	0.08030570414317773	0.11803941155001606	0	0	13.076416337285902	32.97760560549118	JUN
Ubiquitin mediated proteolysis	1/140	0.08086138167246056	0.11803941155001606	0	0	12.98168737737083	32.64918946753722	SOCS3
Apoptosis	1/142	0.08197181357640004	0.11803941155001606	0	0	12.796260477111542	32.008307827212725	JUN
Breast cancer	1/147	0.08474251540480872	0.11963649233620055	0	0	12.35491905354919	30.493643355051663	JUN
Hepatitis C	1/157	0.09026093661991268	0.12401159271448547	0	0	11.557109557109557	27.795432208182255	SOCS3
JAK-STAT signaling pathway	1/162	0.0930086945358641	0.12401159271448547	0	0	11.19536984754376	26.589700865792462	SOCS3
Hepatitis B	1/162	0.0930086945358641	0.12401159271448547	0	0	11.19536984754376	26.589700865792462	JUN
Wnt signaling pathway	1/166	0.09520142108649829	0.12439755909849175	0	0	10.92176308539945	25.685370030735868	JUN
Tight junction	1/169	0.09684277590961063	0.12439755909849175	0	0	10.725108225108226	25.039550693443655	JUN
Influenza A	1/172	0.09848140095297264	0.12439755909849175	0	0	10.535353535353535	24.419765020383803	SOCS3
Pathogenic Escherichia coli infection	1/197	0.1120310032789794	0.13603869648692726	0	0	9.17996289424861	20.094751788867637	JUN
Focal adhesion	1/201	0.11418153310963532	0.13603869648692726	0	0	8.994545454545454	19.51785513610774	JUN
Epstein-Barr virus infection	1/202	0.11471841908045387	0.13603869648692726	0	0	8.949344188150159	19.37778839920658	JUN
Viral carcinogenesis	1/203	0.11525500674586894	0.13603869648692726	0	0	8.904590459045904	19.239330767812493	JUN
Human immunodeficiency virus 1 infection	1/212	0.12007089711947924	0.1371322672902752	0	0	8.520896165445928	18.061512696944295	JUN
Lipid and atherosclerosis	1/215	0.1216708462021688	0.1371322672902752	0	0	8.40016992353441	17.694419176440732	JUN
cAMP signaling pathway	1/216	0.12220356968327935	0.1371322672902752	0	0	8.360676532769556	17.574702411617213	JUN
Human T-cell leukemia virus 1 infection	1/219	0.12379996352594287	0.1371322672902752	0	0	8.244370308590492	17.223216838189725	JUN
Coronavirus disease	1/232	0.13068696431348722	0.14256759743289515	0	0	7.775285320739866	15.822319979694852	JUN
Chemical carcinogenesis	1/239	0.13437476197082424	0.14440272928207978	0	0	7.54392666157372	15.14158608356127	JUN
Shigellosis	1/246	0.1380482138948374	0.14568852677091335	0	0	7.325788497217069	14.506176786719825	JUN
Parkinson disease	1/249	0.13961817148879196	0.14568852677091335	0	0	7.236070381231672	14.24669323894371	DUSP1
PI3K-Akt signaling pathway	1/354	0.19294316959658422	0.19845583158505803	0	0	5.056657223796034	8.320019464036454	PKN1
Herpes simplex virus 1 infection	1/498	0.2611546544729327	0.264832889042974	0	0	3.5652094384488753	4.786801717997988	SOCS3
Pathways in cancer	1/531	0.27602265183294583	0.27602265183294583	0	0	3.3375643224699827	4.296354251220643	JUN
