Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Prolactin signaling pathway	4/70	2.6435869026754665E-6	2.9608173309965223E-4	0	0	50.26767676767677	645.606567194039	SOCS3;IRF1;FOS;MAPK13
TNF signaling pathway	4/112	1.7199181774159563E-5	9.631541793529355E-4	0	0	30.65432098765432	336.297788119435	SOCS3;IRF1;FOS;MAPK13
Pertussis	3/76	1.6132202983797444E-4	0.006022689113951046	0	0	32.71068493150685	285.63323375115556	IRF1;FOS;MAPK13
IL-17 signaling pathway	3/94	3.024604907066452E-4	0.008468893739786066	0	0	26.216703296703297	212.44862549968624	MMP13;FOS;MAPK13
Growth hormone synthesis, secretion and action	3/119	6.035688712622483E-4	0.012211634296486636	0	0	20.540689655172415	152.26095147494505	SOCS3;FOS;MAPK13
Osteoclast differentiation	3/127	7.293683749566047E-4	0.012211634296486636	0	0	19.20774193548387	138.74389001987268	SOCS3;FOS;MAPK13
Relaxin signaling pathway	3/129	7.632271435304148E-4	0.012211634296486636	0	0	18.900952380952383	135.67018324795757	MMP13;FOS;MAPK13
Estrogen signaling pathway	3/137	9.086467222529108E-4	0.012721054111540751	0	0	17.765373134328357	124.4207533401805	KRT17;FOS;FKBP5
Non-alcoholic fatty liver disease	3/155	0.0012972947375142054	0.016144112289065666	0	0	15.647368421052631	104.01547715528797	SOCS3;FOS;MAPK13
Lipid and atherosclerosis	3/215	0.00329150178929679	0.03686482004012404	0	0	11.184905660377359	63.937521637084416	FOS;LDLR;MAPK13
Coronavirus disease	3/232	0.004074767980983127	0.041488546715464564	0	0	10.345676855895196	56.931654216825976	FGA;FOS;MAPK13
Leishmaniasis	2/77	0.0051830162366697675	0.04575572314494504	0	0	20.407179487179487	107.39009048922996	FOS;MAPK13
Synaptic vesicle cycle	2/78	0.0053148264076905045	0.04575572314494504	0	0	20.13765182186235	105.46601625349733	NSF;SLC1A3
B cell receptor signaling pathway	2/81	0.00571946539311813	0.04575572314494504	0	0	19.370009737098346	100.02440473256448	CD79A;FOS
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.0068652879933939134	0.04983565399485866	0	0	17.581786030061892	87.57975146346061	FOS;MAPK13
Th1 and Th2 cell differentiation	2/92	0.00731969302231779	0.04983565399485866	0	0	16.993162393162393	83.55855531771991	FOS;MAPK13
Chagas disease	2/102	0.008929877998214632	0.04983565399485866	0	0	15.286153846153846	72.12546292162165	FOS;MAPK13
