Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phenylalanine metabolism	1/17	0.0076254739654265415	0.0720895171070875	0	0	156.0546875	760.9633551596094	MIF
Tyrosine metabolism	1/36	0.016086908285246115	0.0720895171070875	0	0	71.27142857142857	294.3331456349383	MIF
African trypanosomiasis	1/37	0.016530465500484762	0.0720895171070875	0	0	69.28819444444444	284.25829643277825	HBA1
Malaria	1/50	0.022280559123686802	0.0720895171070875	0	0	50.87244897959184	193.52086993316271	HBA1
Cortisol synthesis and secretion	1/65	0.028878137576565443	0.0720895171070875	0	0	38.919921875	137.95829719612883	NR4A1
p53 signaling pathway	1/73	0.03238064093072697	0.0720895171070875	0	0	34.58159722222222	118.62160586885466	PERP
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.03412767845192772	0.0720895171070875	0	0	32.754934210526315	110.63459017539783	DSP
Staphylococcus aureus infection	1/95	0.041954702006136844	0.0720895171070875	0	0	26.45877659574468	83.90514010213967	KRT15
Aldosterone synthesis and secretion	1/98	0.043253710264252496	0.0720895171070875	0	0	25.63659793814433	80.51615205757753	NR4A1
Estrogen signaling pathway	1/137	0.059998929586478865	0.0899983943797183	0	0	18.249080882352942	51.34248529605202	KRT15
Cushing syndrome	1/155	0.06763924023571578	0.09223532759415788	0	0	16.101461038961038	43.370363904822035	NR4A1
NOD-like receptor signaling pathway	1/181	0.0785777973195466	0.09822224664943326	0	0	13.75763888888889	34.99483960682748	TXNIP
MAPK signaling pathway	1/294	0.12480495277039681	0.14055098485604556	0	0	8.40358361774744	17.487883880440325	NR4A1
MicroRNAs in cancer	1/310	0.13118091919897587	0.14055098485604556	0	0	7.961974110032362	16.172185422589365	TP63
PI3K-Akt signaling pathway	1/354	0.14850246322339244	0.14850246322339244	0	0	6.953966005665722	13.262282230435094	NR4A1
