Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Focal adhesion	4/201	4.9116723220167186E-8	1.7279467445635771E-6	0	0	401.98984771573606	6765.113785073367	COL1A1;ITGB1;COL1A2;RAC1
Proteoglycans in cancer	4/205	5.316759214041776E-8	1.7279467445635771E-6	0	0	393.910447761194	6597.927834231743	COL1A1;ITGB1;COL1A2;RAC1
PI3K-Akt signaling pathway	4/354	4.758167107197374E-7	1.030936206559431E-5	0	0	224.5142857142857	3268.5313098359	COL1A1;ITGB1;COL1A2;RAC1
ECM-receptor interaction	3/88	8.178271421907209E-7	1.3289691060599215E-5	0	0	351.3529411764706	4924.778849473528	COL1A1;ITGB1;COL1A2
AGE-RAGE signaling pathway in diabetic complications	3/100	1.2040164998000132E-6	1.565221449740017E-5	0	0	307.70103092783506	4193.9181292988405	COL1A1;COL1A2;RAC1
Platelet activation	3/124	2.3050295637403967E-6	2.4971153607187634E-5	0	0	246.37190082644628	3198.010023527947	COL1A1;ITGB1;COL1A2
Diabetic cardiomyopathy	3/203	1.0149686660858252E-5	9.424709042225521E-5	0	0	148.4625	1707.0318794453103	COL1A1;COL1A2;RAC1
Human papillomavirus infection	3/331	4.382729397565553E-5	3.560967635522012E-4	0	0	89.9405487804878	902.5762325321107	COL1A1;ITGB1;COL1A2
Bacterial invasion of epithelial cells	2/77	1.4520749739458026E-4	0.001048720814516413	0	0	177.06666666666666	1564.799543941313	ITGB1;RAC1
Amoebiasis	2/102	2.5498813828150007E-4	0.0015364308604945596	0	0	132.63333333333333	1097.4471319194868	COL1A1;COL1A2
Protein digestion and absorption	2/103	2.60011376391387E-4	0.0015364308604945596	0	0	131.31353135313532	1083.9649915696311	COL1A1;COL1A2
Leukocyte transendothelial migration	2/114	3.1846364469203213E-4	0.0017250114087485075	0	0	118.35119047619048	952.964050212754	ITGB1;RAC1
Relaxin signaling pathway	2/129	4.0759004177445227E-4	0.0020379502088722612	0	0	104.29396325459318	814.0403198886481	COL1A1;COL1A2
Yersinia infection	2/137	4.595524823877063E-4	0.0021336365253714937	0	0	98.07407407407408	753.7245041531471	ITGB1;RAC1
Phagosome	2/152	5.652531091443609E-4	0.002449430139625564	0	0	88.2	659.5804986676103	ITGB1;RAC1
Tight junction	2/169	6.980358230036179E-4	0.0028357705309521976	0	0	79.15369261477046	575.228891737348	ITGB1;RAC1
Axon guidance	2/182	8.088444396722006E-4	0.0030926405046290024	0	0	73.38888888888889	522.5218396347041	ITGB1;RAC1
Pathogenic Escherichia coli infection	2/197	9.466363946528918E-4	0.0034184092029132204	0	0	67.6923076923077	471.31415648089467	ITGB1;RAC1
Rap1 signaling pathway	2/210	0.0010746309017825753	0.0036763688745193365	0	0	63.419871794871796	433.52416587102323	ITGB1;RAC1
Regulation of actin cytoskeleton	2/218	0.0011573396892369731	0.0037613539900201625	0	0	61.0462962962963	412.7725465050546	ITGB1;RAC1
Shigellosis	2/246	0.0014703585566770649	0.0045511098182861535	0	0	53.96448087431694	351.9697809769996	ITGB1;RAC1
