Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Viral carcinogenesis	3/203	3.45319308699078E-4	0.010704898569671417	0	0	26.98090909090909	215.06593356606024	KAT2A;HPN;HDAC7
Fatty acid biosynthesis	1/18	0.01253048655713669	0.17719045232073966	0	0	90.35746606334841	395.7287161899813	FASN
PI3K-Akt signaling pathway	2/354	0.02470346748364804	0.17719045232073966	0	0	9.296401515151516	34.404231134913964	ERBB3;ITGB4
Notch signaling pathway	1/59	0.04053004806447805	0.17719045232073966	0	0	26.42970822281167	84.7260236205579	KAT2A
Pertussis	1/76	0.05192194616352185	0.17719045232073966	0	0	20.42153846153846	60.40719102216577	SERPING1
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.05258813073915288	0.17719045232073966	0	0	20.15182186234818	59.35245231348692	ITGB4
Complement and coagulation cascades	1/85	0.057901980842456284	0.17719045232073966	0	0	18.225274725274726	51.92387482596371	SERPING1
ErbB signaling pathway	1/85	0.057901980842456284	0.17719045232073966	0	0	18.225274725274726	51.92387482596371	ERBB3
ECM-receptor interaction	1/88	0.05988752968928858	0.17719045232073966	0	0	17.594164456233422	49.53262213559414	ITGB4
Hypertrophic cardiomyopathy	1/90	0.06120906942384395	0.17719045232073966	0	0	17.197061365600693	48.03930144720859	ITGB4
Dilated cardiomyopathy	1/96	0.0651633459609098	0.17719045232073966	0	0	16.106072874493925	43.98340031976613	ITGB4
Longevity regulating pathway	1/102	0.06910215203883725	0.17719045232073966	0	0	15.144706778370145	40.46922209874876	CRYAB
AMPK signaling pathway	1/120	0.08082630514243107	0.17719045232073966	0	0	12.842275371687137	32.30413764153673	FASN
Thyroid hormone signaling pathway	1/121	0.08147360937992953	0.17719045232073966	0	0	12.734615384615385	31.931744005669536	KAT2A
Vascular smooth muscle contraction	1/133	0.08920831552654583	0.17719045232073966	0	0	11.56993006993007	27.961987399777197	ACTG2
Insulin signaling pathway	1/137	0.09177308130260607	0.17719045232073966	0	0	11.22737556561086	26.815870864611973	FASN
Retrograde endocannabinoid signaling	1/148	0.09879164917820933	0.17719045232073966	0	0	10.381475667189953	24.030439828110733	CNR1
Protein processing in endoplasmic reticulum	1/171	0.11330439472463219	0.17719045232073966	0	0	8.966515837104073	19.52617820756177	CRYAB
Alcoholism	1/186	0.12265198880640278	0.17719045232073966	0	0	8.233264033264033	17.276716593711583	HDAC7
Neutrophil extracellular trap formation	1/189	0.12451049227630905	0.17719045232073966	0	0	8.100654664484452	16.87662276492899	HDAC7
Focal adhesion	1/201	0.13190801019021928	0.17719045232073966	0	0	7.61	15.41520024287621	ITGB4
Proteoglycans in cancer	1/205	0.13436092282677173	0.17719045232073966	0	0	7.459276018099548	14.972450123725842	ERBB3
Rap1 signaling pathway	1/210	0.13741801309765478	0.17719045232073966	0	0	7.278984173721016	14.446802304266713	CNR1
Regulation of actin cytoskeleton	1/218	0.1422885124519781	0.17719045232073966	0	0	7.007798652959943	13.664496115479663	ITGB4
Human T-cell leukemia virus 1 infection	1/219	0.14289552606511263	0.17719045232073966	0	0	6.9752999294283695	13.57143303639385	KAT2A
Thermogenesis	1/232	0.15075048884589604	0.17859562928755476	0	0	6.578421578421579	12.44722356252843	CNR1
Calcium signaling pathway	1/240	0.15555103196012834	0.17859562928755476	0	0	6.355648535564853	11.8264727158901	ERBB3
MAPK signaling pathway	1/294	0.1873014512119106	0.2073694638417582	0	0	5.170123391966396	8.660142400134523	ERBB3
MicroRNAs in cancer	1/310	0.196493881366796	0.21004518353002327	0	0	4.898431665421957	7.97035565776603	ERBB3
Human papillomavirus infection	1/331	0.20841245570198486	0.21403007797562662	0	0	4.581818181818182	7.185373146665675	ITGB4
Neuroactive ligand-receptor interaction	1/341	0.21403007797562662	0.21403007797562662	0	0	4.444796380090498	6.852270213391879	CNR1
