Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Thyroid cancer	3/37	5.8127492875340695E-8	4.940836894403959E-6	0	0	880.6323529411765	14671.887232026516	CDH1;MYC;CTNNB1
Endometrial cancer	3/58	2.3047514199520806E-7	9.795193534796342E-6	0	0	543.8181818181819	8311.240066740742	CDH1;MYC;CTNNB1
Adherens junction	3/71	4.2649905869932304E-7	1.1594249410973714E-5	0	0	439.56617647058823	6447.405323749172	CDH1;CTNNB1;RAC1
Bacterial invasion of epithelial cells	3/77	5.456117369869983E-7	1.1594249410973714E-5	0	0	403.80405405405406	5823.402913626577	CDH1;CTNNB1;RAC1
Colorectal cancer	3/86	7.628211937495278E-7	1.2967960293741974E-5	0	0	359.855421686747	5069.010619469867	MYC;CTNNB1;RAC1
Pathways in cancer	4/531	2.405197588196637E-6	3.407363249945235E-5	0	0	147.76470588235293	1911.7618113719825	CDH1;MYC;CTNNB1;RAC1
Gastric cancer	3/149	4.008111756689661E-6	4.8669928474088735E-5	0	0	203.92808219178082	2534.253087188126	CDH1;MYC;CTNNB1
Hippo signaling pathway	3/163	5.25104600997822E-6	5.238797487500555E-5	0	0	185.953125	2260.6476233072917	CDH1;MYC;CTNNB1
Wnt signaling pathway	3/166	5.5469620455888224E-6	5.238797487500555E-5	0	0	182.50306748466258	2208.6996025597773	MYC;CTNNB1;RAC1
Kaposi sarcoma-associated herpesvirus infection	3/193	8.722246741819697E-6	7.413909730546742E-5	0	0	156.35526315789474	1821.4815427552671	MYC;CTNNB1;RAC1
Proteoglycans in cancer	3/205	1.0452586223690968E-5	7.958781200983109E-5	0	0	146.97772277227722	1685.6376953483355	MYC;CTNNB1;RAC1
Rap1 signaling pathway	3/210	1.1235926401387919E-5	7.958781200983109E-5	0	0	143.3913043478261	1634.143829055749	CDH1;CTNNB1;RAC1
Human cytomegalovirus infection	3/225	1.3817324905840335E-5	9.034404746126373E-5	0	0	133.60135135135135	1494.9439877150032	MYC;CTNNB1;RAC1
Salmonella infection	3/249	1.8717576265371238E-5	1.1364242732546822E-4	0	0	120.42073170731707	1310.9058135754487	MYC;CTNNB1;RAC1
Bladder cancer	2/41	4.084035796971542E-5	2.3142869516172074E-4	0	0	341.12820512820514	3447.38699212753	CDH1;MYC
Leukocyte transendothelial migration	2/114	3.1846364469203213E-4	0.0016918381124264208	0	0	118.35119047619048	952.964050212754	CTNNB1;RAC1
Thyroid hormone signaling pathway	2/121	3.587060025145741E-4	0.0017935300125728705	0	0	111.35014005602241	883.3414894522152	MYC;CTNNB1
Fluid shear stress and atherosclerosis	2/139	4.7302321038342524E-4	0.002233720715699508	0	0	96.63260340632604	739.8545888844283	CTNNB1;RAC1
Signaling pathways regulating pluripotency of stem cells	2/143	5.005399846166023E-4	0.002239257825916379	0	0	93.87234042553192	713.4131786877364	MYC;CTNNB1
Breast cancer	2/147	5.288230668011627E-4	0.0022474980339049415	0	0	91.26436781609195	688.5765723657122	MYC;CTNNB1
Hepatitis C	2/157	6.028772063270436E-4	0.0024402172637047	0	0	85.33333333333333	632.6440123653156	MYC;CTNNB1
Hepatocellular carcinoma	2/168	6.898442667143013E-4	0.0026653073941234366	0	0	79.63453815261045	579.6633617826236	MYC;CTNNB1
Focal adhesion	2/201	9.851729216045707E-4	0.003523691666143213	0	0	66.31825795644892	459.10096514730185	CTNNB1;RAC1
Epstein-Barr virus infection	2/202	9.949247057345542E-4	0.003523691666143213	0	0	65.98333333333333	456.13245669736915	MYC;RAC1
MAPK signaling pathway	2/294	0.0020914091737433992	0.007110791190727557	0	0	44.98401826484018	277.54766776529556	MYC;RAC1
PI3K-Akt signaling pathway	2/354	0.0030156138904512977	0.009858737718783088	0	0	37.202651515151516	215.92239836302443	MYC;RAC1
Pathways of neurodegeneration	2/475	0.005367361985267825	0.01689725069436167	0	0	27.515151515151516	143.83321870771792	CTNNB1;RAC1
VEGF signaling pathway	1/59	0.014664561368472842	0.04163712527256973	0	0	85.9353448275862	362.8466529663449	RAC1
Viral myocarditis	1/60	0.014911622845291095	0.04163712527256973	0	0	84.47457627118644	355.26748708331087	RAC1
Basal cell carcinoma	1/63	0.01565251000400841	0.04163712527256973	0	0	80.375	334.1288407937727	CTNNB1
Acute myeloid leukemia	1/67	0.016639666196472655	0.04163712527256973	0	0	75.48863636363636	309.1988806923386	MYC
Fc epsilon RI signaling pathway	1/68	0.016886331477543003	0.04163712527256973	0	0	74.35820895522389	303.4744977483959	RAC1
Renal cell carcinoma	1/69	0.017132947269309973	0.04163712527256973	0	0	73.26102941176471	297.9344326341269	RAC1
Central carbon metabolism in cancer	1/70	0.017379513575201528	0.04163712527256973	0	0	72.19565217391305	292.57021981956115	MYC
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.017379513575201528	0.04163712527256973	0	0	72.19565217391305	292.57021981956115	RAC1
Melanoma	1/72	0.017872497764870265	0.04163712527256973	0	0	70.15492957746478	282.3379658506009	CDH1
Chronic myeloid leukemia	1/76	0.01885787265075893	0.04163712527256973	0	0	66.4	263.6627670535498	MYC
Pancreatic cancer	1/76	0.01885787265075893	0.04163712527256973	0	0	66.4	263.6627670535498	RAC1
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.01910409277212023	0.04163712527256973	0	0	65.52302631578948	259.33048567400635	CTNNB1
B cell receptor signaling pathway	1/81	0.020088479062587667	0.04268801800799879	0	0	62.234375	243.18759198592142	RAC1
ErbB signaling pathway	1/85	0.021072075004587548	0.04368600915585224	0	0	59.25892857142857	228.72800210045258	MYC
Small cell lung cancer	1/92	0.022791467529210928	0.04374674071560672	0	0	54.68131868131868	206.77024575968775	MYC
TGF-beta signaling pathway	1/94	0.023282278577421368	0.04374674071560672	0	0	53.5	201.1633589371276	MYC
