Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Bacterial invasion of epithelial cells	1/77	0.015312304095757302	0.04520264215695719	0	0	87.36842105263158	365.1212447515326	FN1
ECM-receptor interaction	1/88	0.01748534258913372	0.04520264215695719	0	0	76.27969348659003	308.6575655408228	FN1
Small cell lung cancer	1/92	0.018274646157715797	0.04520264215695719	0	0	72.91208791208791	291.8117210702858	FN1
AGE-RAGE signaling pathway in diabetic complications	1/100	0.01985182675975813	0.04520264215695719	0	0	66.993265993266	262.5773759432504	FN1
Amoebiasis	1/102	0.020245824851614903	0.04520264215695719	0	0	65.66006600660066	256.06156447186925	FN1
TNF signaling pathway	1/112	0.022214034124409053	0.04520264215695719	0	0	59.71471471471472	227.33577139307434	JUNB
Growth hormone synthesis, secretion and action	1/119	0.023590015375655984	0.04520264215695719	0	0	56.152542372881356	210.39974294913594	JUNB
Osteoclast differentiation	1/127	0.025160786767501147	0.04520264215695719	0	0	52.56613756613756	193.57314980526166	JUNB
Yersinia infection	1/137	0.027121585294174314	0.04520264215695719	0	0	48.6764705882353	175.59673457248485	FN1
Focal adhesion	1/201	0.03960074884002518	0.0536190638925018	0	0	32.99333333333333	106.53241322802339	FN1
Proteoglycans in cancer	1/205	0.04037668977225679	0.0536190638925018	0	0	32.33986928104575	103.79489604079704	FN1
Regulation of actin cytoskeleton	1/218	0.04289525111400144	0.0536190638925018	0	0	30.382488479262673	95.67427866043062	FN1
Human papillomavirus infection	1/331	0.06457910339200756	0.07387190059130795	0	0	19.864646464646466	54.42643761596747	FN1
PI3K-Akt signaling pathway	1/354	0.06894710721855409	0.07387190059130795	0	0	18.548630783758263	49.60674809048561	FN1
Pathways in cancer	1/531	0.10205198341001741	0.10205198341001741	0	0	12.242767295597485	27.941336683871945	FN1
