Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epithelial cell signaling in Helicobacter pylori infection	2/70	9.186809437246815E-4	0.02827463802116777	0	0	53.25935828877005	372.4198801217698	JUN;CCL5
Rheumatoid arthritis	2/93	0.0016137223207165793	0.02827463802116777	0	0	39.752247752247754	255.57561905723225	JUN;CCL5
Chagas disease	2/102	0.001936634462582429	0.02827463802116777	0	0	36.158181818181816	225.87306127473852	JUN;CCL5
T cell receptor signaling pathway	2/104	0.0020122339799297684	0.02827463802116777	0	0	35.445632798573975	220.06455651629238	JUN;PTPRC
Toll-like receptor signaling pathway	2/104	0.0020122339799297684	0.02827463802116777	0	0	35.445632798573975	220.06455651629238	JUN;CCL5
Th17 cell differentiation	2/107	0.002128238376804534	0.02827463802116777	0	0	34.42770562770563	211.81510567976477	JUN;RUNX1
TNF signaling pathway	2/112	0.002328499601743228	0.02827463802116777	0	0	32.85454545454545	199.18170578192286	JUN;CCL5
Cell cycle	2/124	0.0028441530169396405	0.03021912580498368	0	0	29.605067064083457	173.55940857823208	ESPL1;PRKDC
Estrogen signaling pathway	2/137	0.0034579421578374717	0.03265834260179835	0	0	26.736700336700338	151.51906302862704	JUN;KRT18
Tight junction	2/169	0.005207926794830719	0.04426737775606111	0	0	21.578660860097987	113.45139400310427	JUN;RUNX1
NOD-like receptor signaling pathway	2/181	0.0059499292759737235	0.04597672622343332	0	0	20.11985779583545	103.10171532363039	JUN;CCL5
Transcriptional misregulation in cancer	2/192	0.0066703150901165345	0.04724806522165878	0	0	18.944497607655503	94.91360354532198	DDX5;RUNX1
Lipid and atherosclerosis	2/215	0.008298653259884334	0.048724551636589876	0	0	16.879214682031584	80.87949217571365	JUN;CCL5
Non-homologous end-joining	1/13	0.008419546757221652	0.048724551636589876	0	0	138.71527777777777	662.6705253310397	PRKDC
Human T-cell leukemia virus 1 infection	2/219	0.008598450288809978	0.048724551636589876	0	0	16.56472559698366	78.78470545605832	JUN;ESPL1
Shigellosis	2/246	0.010748050535374152	0.05500128369589423	0	0	14.711624441132638	66.68824798077357	JUN;CCL5
Salmonella infection	2/249	0.011000256739178847	0.05500128369589423	0	0	14.530732425469267	65.53122988392916	JUN;PTPRC
MAPK signaling pathway	2/294	0.015094466829632698	0.07127942669548774	0	0	12.263387297633873	51.4256198644799	JUN;CACNA1H
Primary immunodeficiency	1/38	0.024427449699506693	0.10928069602410889	0	0	44.932432432432435	166.7913365695687	PTPRC
Cocaine addiction	1/49	0.03139507576319159	0.1137080826270263	0	0	34.61631944444444	119.81068935137382	JUN
Cholesterol metabolism	1/50	0.03202621324876303	0.1137080826270263	0	0	33.90816326530612	116.6847899929619	APOE
Cytosolic DNA-sensing pathway	1/63	0.04019653222373102	0.1137080826270263	0	0	26.780913978494624	86.07317595715509	CCL5
