Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Legionellosis	2/57	3.538767443157693E-4	0.009908548840841542	0	0	90.61363636363636	720.0668690209761	EEF1A1;HSPA1A
Lysosome	2/128	0.0017683979926759528	0.015189719814201783	0	0	39.41269841269841	249.7851189979635	CTSH;CTSD
Estrogen signaling pathway	2/137	0.002022008909273467	0.015189719814201783	0	0	36.76851851851852	228.09952555633555	CTSD;HSPA1A
Apoptosis	2/142	0.0021699599734573975	0.015189719814201783	0	0	35.44642857142857	217.3945967083443	CTSH;CTSD
Cholesterol metabolism	1/50	0.02472594881725805	0.12462524439059959	0	0	45.21768707482993	167.3010120823387	APOE
Leishmaniasis	1/77	0.037847950012518214	0.12462524439059959	0	0	29.114035087719298	95.32454660857232	EEF1A1
Antigen processing and presentation	1/78	0.03833088396798601	0.12462524439059959	0	0	28.734487734487736	93.71751271850756	HSPA1A
Complement and coagulation cascades	1/85	0.041705318095063774	0.12462524439059959	0	0	26.33068783068783	83.65592938917332	PLAU
Prostate cancer	1/97	0.047465278302624564	0.12462524439059959	0	0	23.025462962962962	70.17601174086535	PLAU
Longevity regulating pathway	1/102	0.049856051675230315	0.12462524439059959	0	0	21.88008800880088	65.60996868685889	HSPA1A
NF-kappa B signaling pathway	1/104	0.050810847928028736	0.12462524439059959	0	0	21.45307443365696	63.922554665894864	PLAU
Toxoplasmosis	1/112	0.05462140403176767	0.12462524439059959	0	0	19.8988988988989	57.85265494685789	HSPA1A
Sphingolipid signaling pathway	1/119	0.05794434091963676	0.12462524439059959	0	0	18.71186440677966	53.29648635296648	CTSD
Autophagy	1/137	0.06644082214506918	0.12462524439059959	0	0	16.220588235294116	43.98121048429159	CTSD
Measles	1/139	0.0673806054536277	0.12462524439059959	0	0	15.98389694041868	43.114932524579174	HSPA1A
Spliceosome	1/150	0.07253421117312703	0.12462524439059959	0	0	14.795674869500372	38.81936703082998	HSPA1A
Protein processing in endoplasmic reticulum	1/171	0.08230179734419607	0.12462524439059959	0	0	12.954248366013072	32.35145191648386	HSPA1A
Tuberculosis	1/180	0.08645948944357858	0.12462524439059959	0	0	12.297330850403476	30.10484116010009	CTSD
RNA transport	1/186	0.08922185787739563	0.12462524439059959	0	0	11.894894894894895	28.745550642557202	EEF1A1
Transcriptional misregulation in cancer	1/192	0.09197670651846954	0.12462524439059959	0	0	11.517742873763817	27.483867524973334	PLAU
Diabetic cardiomyopathy	1/203	0.09700779219633389	0.12462524439059959	0	0	10.884488448844884	25.39311940245665	CTSD
Proteoglycans in cancer	1/205	0.09791983487832825	0.12462524439059959	0	0	10.776688453159041	25.04077952879582	PLAU
Lipid and atherosclerosis	1/215	0.10246762456232947	0.12474319511935762	0	0	10.26791277258567	23.39244500807539	HSPA1A
Endocytosis	1/252	0.11911558957010449	0.13896818783178858	0	0	8.73793714032758	18.59136734336237	HSPA1A
Prion disease	1/273	0.12844030660279196	0.143853143395127	0	0	8.054738562091503	16.53066764065327	HSPA1A
MAPK signaling pathway	1/294	0.13767609254055066	0.14826656119751608	0	0	7.469472885855138	14.810855577292921	HSPA1A
MicroRNAs in cancer	1/310	0.14465365763408627	0.1500112005094228	0	0	7.076950737144912	13.682668285085878	PLAU
Alzheimer disease	1/369	0.16994646036619104	0.16994646036619104	0	0	5.924516908212561	10.499854426089637	APOE
