Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cholesterol metabolism	1/50	0.007481552373416279	0.033492538841145975	0	0	203.55102040816325	996.4463577649728	APOE
Sphingolipid signaling pathway	1/119	0.017744743788540594	0.033492538841145975	0	0	84.23305084745763	339.5995214082985	CTSD
Lysosome	1/128	0.019078183095597404	0.033492538841145975	0	0	78.22834645669292	309.72243930029543	CTSD
Estrogen signaling pathway	1/137	0.020410415306419013	0.033492538841145975	0	0	73.01838235294117	284.1663654413698	CTSD
Autophagy	1/137	0.020410415306419013	0.033492538841145975	0	0	73.01838235294117	284.1663654413698	CTSD
Apoptosis	1/142	0.021150022923212962	0.033492538841145975	0	0	70.41134751773049	271.5142033166735	CTSD
Tuberculosis	1/180	0.026758880297526048	0.033492538841145975	0	0	55.357541899441344	200.44350827487673	CTSD
NOD-like receptor signaling pathway	1/181	0.026906191772978462	0.033492538841145975	0	0	55.047222222222224	199.0176634459947	TXNIP
Diabetic cardiomyopathy	1/203	0.030143284957031374	0.033492538841145975	0	0	48.99752475247525	171.5791941822581	CTSD
Alzheimer disease	1/369	0.05433749778878654	0.05433749778878654	0	0	26.66983695652174	77.6769862212754	APOE
