Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuroactive ligand-receptor interaction	8/341	3.8157431950091526E-11	2.1368161892051256E-9	0	0	67.44573144573144	1617.9759237152218	PTGFR;EDNRA;PTGER3;P2RY1;HTR2B;LPAR2;S1PR3;AVPR1A
Calcium signaling pathway	6/240	1.2823715651908778E-8	3.590640382534458E-7	0	0	56.27065527065527	1022.5486366693561	PTGFR;EDNRA;GNAL;PTGER3;HTR2B;AVPR1A
Phospholipase D signaling pathway	3/148	1.6925216038209579E-4	0.003159373660465788	0	0	34.206896551724135	297.0568246467303	PTGFR;LPAR2;AVPR1A
Rap1 signaling pathway	3/210	4.730348160633082E-4	0.005949137462450914	0	0	23.886473429951693	182.88299936974383	GNAO1;P2RY1;LPAR2
Pathways in cancer	4/531	5.311729877188316E-4	0.005949137462450914	0	0	13.42625495946179	101.23963918314222	EDNRA;WNT2B;PTGER3;LPAR2
Melanogenesis	2/101	0.0025400550495659814	0.020717884228552485	0	0	30.902874902874903	184.66227750849544	GNAO1;WNT2B
Chagas disease	2/102	0.0025897355285690606	0.020717884228552485	0	0	30.592307692307692	182.21388842339513	GNAO1;GNAL
Serotonergic synapse	2/113	0.0031663854030102106	0.022164697821071475	0	0	27.545391545391546	158.52826212485263	GNAO1;HTR2B
Dopaminergic synapse	2/132	0.0042908551466779975	0.024385093818314364	0	0	23.497041420118343	128.0886989134183	GNAO1;GNAL
Vascular smooth muscle contraction	2/133	0.004354481038984708	0.024385093818314364	0	0	23.316500293599532	126.76131594497146	EDNRA;AVPR1A
cAMP signaling pathway	2/216	0.011112899963597765	0.05461598125257319	0	0	14.21351545650611	63.95582615533973	EDNRA;PTGER3
Human cytomegalovirus infection	2/225	0.012013739621005383	0.05461598125257319	0	0	13.633666781648845	60.28404324796122	GNAO1;PTGER3
Phenylalanine metabolism	1/17	0.012678709933633063	0.05461598125257319	0	0	89.14732142857143	389.38044082427126	MIF
Tyrosine metabolism	1/36	0.02667148204996858	0.10668592819987432	0	0	40.714285714285715	147.55510087647235	MIF
Regulation of lipolysis in adipocytes	1/55	0.04047900435479814	0.15112161625791307	0	0	26.363756613756614	84.5478253280487	PTGER3
Long-term depression	1/60	0.044082058563485634	0.1523128381770931	0	0	24.123486682808718	75.30634662640054	GNAO1
Basal cell carcinoma	1/63	0.04623782587518898	0.1523128381770931	0	0	22.952764976958527	70.5558142686329	WNT2B
