"","FROM","TO","default_sign_conn_score"
"1","APP","PRKCD",-6811.78536
"2","APP","GNAS",15782.7902148
"3","APP","PTPRJ",-4973.3044679904
"4","APP","PPARGC1A",26929.4742
"5","APP","SRF",-543.146381400001
"6","APP","ABL1",-50353.2472518
"7","APP","CALD1",-22108.8
"8","APP","MYC",-17388.5
"9","APP","MYLK",-13171.2
"10","APP","EZR",-15012.36
"11","APP","H3.3A",20216.34
"12","APP","PIK3R1",2367.1936562
"13","APP","CDH1",39200
"14","APP","ESR1",-34683.4044
"15","APP","JUN",-14120.3
"16","APP","CAV1",10862.5605588
"17","APP","AR",30728.3796
"18","APP","HBB",1045.4690215
"19","APP","EGFR",-105310.5352112
"20","APP","PIM1",-5816.1605274
"21","APP","STAT1",-5962.789
"22","APP","PRKDC",-19719.0138670587
"23","APP","NR4A1",33694.6482
"24","APP","CDKN1A",6718.2969
"25","APP","EPAS1",3869.4780680778
"26","APP","VEGFA",-8224.7605
"27","APP","NFIB",-5790.6867318003
"28","APP","SOCS3",-3965.254685
"29","APP","ADGRG1",1179.45881378276
"30","APP","CDH17",39200
"31","APP","COL1A1",480.7351038
"32","APP","SLC12A2",-11518.719299
"33","APP","NCL",-2280.637043685
"34","APP","BHLHE40",5505.653254938
"35","APP","BHLHE41",-692.188
"36","APP","NOS2",-7810.755391
"37","APP","TAP1",-1645.729764
"38","APP","INSR",8401.6623
"39","APP","IRS2",-6284.4434004
"40","APP","HSP90AB1",-2884.084016838
"41","APP","HBA1",1525.48862
"42","APP","APOE",-9287.48401659576
"43","APP","COL1A2",-2983.5064276
"44","APP","MECOM",-7118.70795
"45","APP","CD68",2684.8762029
"46","APP","VIM",-31456.9368
"47","APP","CLU",-4690.231919937
"48","APP","DYRK2",24652.6630512
"49","APP","BDKRB2",-72.2077559215996
"50","APP","TIMP3",3603.9491624612
"51","APP","TBX2",-3917.314210788
"52","APP","HK2",-33450.2874
"53","APP","ITGB4",-15706.91708
"54","APP","SCNN1G",-9011.8550178883
"55","APP","CDR2",-1567.41272576
"56","APP","HLA.A",4729.672
"57","APP","TYMS",-5981.644
"58","APP","S1PR1",-33018.1308
"59","APP","H2BC21",4138.69268529408
"60","APP","SFRP1",6312.0255
"61","APP","DNM1",-1170.2505414474
"62","APP","NPM1",14284.9251
"63","APP","PKN1",-6195.9704191
"64","APP","HMGA1",6335.6500755
"65","APP","DUSP1",16068.9308003
"66","APP","RCAN1",-3953.684
"67","APP","ERRFI1",-8793.7291188
"68","APP","NME1",-15688.0524497742
"69","APP","DLK1",5074.17768
"70","APP","MMP13",-3561.9609
