disease	GeneID
KICH	GNAS
KICH	PPARGC1A
KICH	PRKCD
KICH	PTPRJ
BLCA	CALD1
BLCA	MYLK
BLCA	SRF
BLCA	ABL1
BLCA	MYC
BRCA	H3.3A
BRCA	JUN
BRCA	CAV1
BRCA	ESR1
BRCA	EPAS1
BRCA	CDH1
BRCA	STAT1
BRCA	EZR
BRCA	NR4A1
BRCA	HBB
BRCA	PRKDC
BRCA	PIK3R1
BRCA	AR
BRCA	EGFR
BRCA	PIM1
BRCA	VEGFA
BRCA	NFIB
BRCA	CDKN1A
COAD	COL1A1
COAD	NCL
COAD	SLC12A2
COAD	CDH17
COAD	SOCS3
COAD	ADGRG1
ESCA	HSP90AB1
ESCA	BHLHE40
ESCA	STAT1
ESCA	EGFR
ESCA	APOE
ESCA	TAP1
ESCA	IRS2
ESCA	BHLHE41
ESCA	NOS2
ESCA	INSR
ESCA	HBA1
KIRC	VIM
KIRC	VEGFA
KIRC	CDH1
KIRC	COL1A1
KIRC	COL1A2
KIRC	MECOM
KIRC	NFASC
KIRC	CD68
KIRP	CLU
KIRP	TIMP3
KIRP	HLA.A
KIRP	ITGB4
KIRP	TBX2
KIRP	DYRK2
KIRP	BDKRB2
KIRP	CYSLTR2
KIRP	HK2
KIRP	SCNN1G
KIRP	CDR2
KIRP	TYMS
KIRP	S1PR1
KIRP	H2BC21
KIRP	SFRP1
KIRP	DNM1
LIHC	CRP
LIHC	ERRFI1
LIHC	DUSP1
LIHC	H3.3A
LIHC	NPM1
LIHC	JUN
LIHC	DLK1
LIHC	PKN1
LIHC	HMGA1
LIHC	SOCS3
LIHC	RCAN1
LIHC	NME1
LUAD	SOCS3
LUAD	SCNN1A
LUAD	FOS
LUAD	FGA
LUAD	MIF
LUAD	FKBP5
LUAD	KRT17
LUAD	LDLR
LUAD	IRF1
LUAD	ADM
LUAD	MAPK13
LUAD	RAB10
LUAD	GDF15
LUAD	LRIG3
LUAD	MFGE8
LUAD	CD79A
LUAD	DOK2
LUAD	MMP13
LUAD	PTPRS
LUAD	CD300LF
LUAD	NSF
LUAD	SLC1A3
LUAD	B3GNT3
LUAD	BRCC3
LUAD	BEST1
LUAD	PRDX3
LUAD	HLTF
LUAD	H1.2
LUSC	PERP
LUSC	DSP
LUSC	KRT15
LUSC	TXNIP
LUSC	NR4A1
LUSC	HBA1
LUSC	TP63
LUSC	MIF
LUSC	MUC4
PAAD	COL1A1
PAAD	COL1A2
PAAD	ITGB1
PAAD	H3.3A
PAAD	RAC1
PRAD	NKX3.1
PRAD	ACTG2
PRAD	FASN
PRAD	HPN
PRAD	KAT2A
PRAD	LRIG1
PRAD	ITGB4
PRAD	ERBB3
PRAD	HSF4
PRAD	CRYAB
PRAD	SERPING1
PRAD	HDAC7
PRAD	FAM83H
PRAD	CNR1
READ	CDH1
READ	CTNNB1
READ	MUC4
READ	MYC
READ	RAC1
SKCM	TXNIP
SKCM	FN1
SKCM	LORICRIN
SKCM	BSG
SKCM	JUNB
STAD	DDX5
STAD	KRT18
STAD	JUN
STAD	APOE
STAD	MUC2
STAD	CD68
STAD	PRKDC
STAD	ESPL1
STAD	RUNX1
STAD	PTPRC
STAD	INCENP
STAD	CACNA1H
STAD	CCL5
THCA	EEF1A1
THCA	CTSD
THCA	KRT8
THCA	APOE
THCA	HSPA1A
THCA	LGALS3
THCA	CTSH
THCA	IFITM3
THCA	MFGE8
THCA	PLAU
THYM	TXNIP
THYM	CTSD
THYM	APOE
UCEC	TXNIP
UCEC	MIF
UCEC	PTGER3
UCEC	WT1
UCEC	GNAL
UCEC	GNAO1
UCEC	LPAR2
UCEC	WNT2B
UCEC	S1PR3
UCEC	PTGFR
UCEC	AVPR1A
UCEC	EDNRA
UCEC	HTR2B
UCEC	P2RY1
UCEC	PAX2
