"","drug_size","diz_size","sim_mean","sim_sd"
"1",2,5,-43716.7773461767,1915008.60304817
"2",2,18,104258.700120624,3449468.37647822
"3",2,6,48756.417852064,1659449.14770795
"4",2,11,125737.601588593,2101187.573876
"5",2,4,28140.4454125065,1220239.06194376
"6",2,8,34395.9820378576,2775824.74379573
"7",2,16,62291.6179595257,2152600.94497694
"8",2,12,-215568.298364364,2626285.16599359
"9",2,28,-38440.892742192,4356795.13710996
"10",2,9,-46181.4344572298,1621455.26114477
"11",2,14,14625.5885748014,2449272.2467258
"12",2,13,27105.5299200671,3530223.57902439
"13",2,10,-177405.152532984,3147818.90134665
"14",2,3,48090.7831491317,938514.814561931
"15",2,15,149036.411223848,3740112.20273318
"16",1,5,20837.713131885,797238.842137381
"17",1,18,-117987.132936513,2456587.79553218
"18",1,6,26340.6079489514,1176310.6284087
"19",1,11,-34155.2026438269,2188627.48888401
"20",1,4,-8086.79756071667,933252.475143707
"21",1,8,3823.25123643178,2242983.73143697
"22",1,16,-89617.4904884349,3721081.12786427
"23",1,12,130633.662635119,2563251.22742498
"24",1,28,-145050.868252558,2398031.32998231
"25",1,9,62971.8597947163,1532870.6499146
"26",1,14,-37011.8718094963,2584043.23946764
"27",1,13,-86317.6621633514,2326081.18934744
"28",1,10,-7901.13175496983,2137952.52667677
"29",1,3,-36665.9792622066,1629092.54868919
"30",1,15,-46826.3054491047,2790222.84848934
"31",13,5,-25212.308639074,4664351.7075454
"32",13,18,-97499.5590629034,9469597.17620316
"33",13,6,-232803.693667227,4661203.18956742
"34",13,11,-172497.385069652,6876416.88201708
"35",13,4,-278700.69517379,4888186.7208683
"36",13,8,-175438.553868428,6185466.65041208
"37",13,16,-420776.22480451,8119622.33294233
"38",13,12,-122448.743113805,7448756.77964239
"39",13,28,-562901.288382582,10030371.9580046
"40",13,9,-38163.2814437258,6749958.06774055
"41",13,14,-140812.614430336,7669994.05193681
"42",13,13,-117553.741562332,7324488.707583
"43",13,10,-44803.8500093915,6507597.88647685
"44",13,3,-83025.3141947218,3643046.17476888
"45",13,15,-958760.366212266,9633896.84702424
"46",3,5,-47022.157189543,2221297.01635299
"47",3,18,-220772.083844259,4003223.63995853
"48",3,6,21123.0901319144,2277886.32484875
"49",3,11,76337.3595720836,3400645.95044268
"50",3,4,-25036.5311693884,1782214.92248216
"51",3,8,-107014.514709462,3328183.35678477
"52",3,16,59210.9109556106,3836585.46097179
"53",3,12,-127683.182758654,4223283.53362956
"54",3,28,-404439.417036849,5530937.51239399
"55",3,9,162289.385444607,2698281.27978977
"56",3,14,-64447.0291225725,3359927.85446552
"57",3,13,6213.50721751469,3200906.96864822
"58",3,10,20227.1004243912,3274437.56180344
"59",3,3,-103830.89076977,2736386.11996713
"60",3,15,-82715.3136001414,3794200.69301134
"61",7,5,128642.731270726,2802312.66931668
"62",7,18,-658400.828418609,5980680.42726432
"63",7,6,128581.598432274,3025061.62197122
"64",7,11,-263671.808740562,4992060.76632827
"65",7,4,-19435.5356186287,2556631.60271981
"66",7,8,-289422.052967758,4136060.13512099
"67",7,16,-781375.469056716,6481138.45706475
"68",7,12,-238760.586672003,4466310.00877537
"69",7,28,-322837.044583185,7610863.92119853
"70",7,9,-230802.305057491,4726071.80745619
"71",7,14,-260444.467855193,5236739.35436331
"72",7,13,-77781.0566635356,5593133.43975521
"73",7,10,10789.8152305336,4518516.12673026
"74",7,3,45449.7927980821,2282063.81669583
"75",7,15,-285352.321637551,5573870.6417458
"76",4,5,34630.695433129,3036867.11783536
"77",4,18,113082.482029309,4021797.59381508
"78",4,6,12404.3250444294,2306247.2514997
"79",4,11,1083.25754009532,3715356.25173679
"80",4,4,31234.8326792123,2753339.20379025
"81",4,8,-70793.6204865167,3043409.32398601
"82",4,16,-96547.6910528332,4242258.64508226
"83",4,12,93442.1835983702,3615617.72186195
"84",4,28,19043.7639709326,5647870.21845611
"85",4,9,-205591.20709611,2909293.42311928
"86",4,14,-59149.8843900987,4590698.29671783
"87",4,13,-85650.631825603,3415576.69418835
"88",4,10,-118278.642325847,3108343.18726718
"89",4,3,25536.351228206,1661121.5744961
"90",4,15,-86200.0363006033,4704618.36484256
"91",5,5,-63599.360261565,2580801.39648876
"92",5,18,-60337.494641667,4841164.11210626
"93",5,6,-51796.0350682765,3141072.34154321
"94",5,11,-148101.057243595,4092631.30642256
"95",5,4,-107969.432462112,2685713.70815928
"96",5,8,-54032.860278421,3615545.49490658
"97",5,16,-350438.545922485,4797438.63153707
"98",5,12,79587.1907768756,5065196.80850868
"99",5,28,-193702.636941337,5967078.63484455
"100",5,9,-234248.209582418,3960684.18346751
"101",5,14,-99668.7977495262,4341828.87457292
"102",5,13,-296382.009712012,4130627.36036697
"103",5,10,-40348.7341194779,3763966.85750782
