"TTD_id" "gene_name"
"T47101" "FGFR1"
"T59328" "EGFR"
"T89515" "PDF"
"T08391" "JAK2"
"T07663" "PDE5A"
"T63505" "ABL1"
"T13201" "CA1"
"T20401" "CA2"
"T89534" "ESR1"
"T52450" "MMP1"
"T53585" "HMGCR"
"T14597" "ERBB2"
"T07173" "NTRK1"
"T85435" "INSR"
"T12499" "LCK"
"T60631" "RET"
"T68251" "MMP2"
"T00140" "ALOX5"
"T57700" "KIT"
"T85943" "SRC"
"T51408" "ADRB3"
"T99089" "BRAF"
"T26623" "AKR1B1"
"T53524" "PDGFRA"
"T83875" "MAOA"
"T58454" "FGFR2"
"T30082" "ACHE"
"T53378" "CA4"
"T80975" "KDR"
"T74312" "FLT3"
"T75243" "MTOR"
"T25005" "BTK"
"T01318" "Malaria DHOdehase"
"T68547" "HDAC1"
"T93344" "SQLE"
"T92057" "ERBB4"
"T67849" "PIK3CD"
"T10897" "SCD"
"T16987" "CA12"
"T19433" "HPGDS"
"T94033" "F2"
"T83369" "F9"
"T84631" "F10"
"T89034" "PLG"
"T17758" "PLAU"
"T61622" "REN"
"T56915" "HIV PR"
"T31595" "Influ NA"
"T31479" "PLA2G1B"
"T40016" "NR3C1"
"T30081" "TK1"
"T89041" "CYP17A1"
"T47107" "PRKCG"
"T17980" "FYN"
"T27602" "PRSS1"
"T18477" "HSP90AA1"
"T48069" "IGF1R"
"T40474" "MET"
"T43332" "F7"
"T33489" "STS"
"T69128" "ROS1"
"T73475" "MMP7"
"T59102" "PDGFRB"
"T76024" "C1S"
"T06273" "PARP1"
"T03691" "LTA4H"
"T11211" "AR"
"T63484" "G6PD"
"T34234" "VDR"
"T13260" "CYP19A1"
"T85799" "CDK4"
"T60366" "ODC1"
"T52227" "Candi TMP1"
"T82577" "SLC33A1"
"T97587" "ITGA4"
"T84621" "CYP11B1"
"T55922" "AMD1"
"T59929" "TYMP"
"T67684" "CHRM3"
"T62193" "DDC"
"T13852" "S1PR1"
"T76904" "COMT"
"T76369" "CES1"
"T60529" "PTGS1"
"T06569" "CA6"
"T68334" "FSHR"
"T83011" "MAOB"
"T31391" "DPP4"
"T61744" "PDE4A"
"T92072" "ADORA1"
"T74456" "AGTR1"
"T38301" "RRM2"
"T05849" "CCKBR"
"T72458" "MC4R"
"T11288" "ABCC1"
"T37693" "CNR2"
"T77913" "HRH1"
"T58921" "PPARG"
"T60857" "AKR1C3"
"T80276" "PIK3CA"
