"","TargetID","DrugID","Highest_status","MOA","Gene_name"
"1","T87024","D00RRU","Approved","Modulator","APP"
"2","T38529","D00SOZ","Approved","Agonist","PTGER2"
"3","T73189","D02URM","Approved","Inhibitor","Fung GSC2"
"4","T87024","D06XVR","Approved","Modulator","APP"
"5","T73189","D07INL","Approved","Inhibitor","Fung GSC2"
"6","T89534","D07KUN","Approved","Modulator","ESR1"
"7","T21678","D07URD","Approved","Modulator","GLA"
"8","T17234","D07WXI","Approved","Inhibitor","CMV UL97"
"9","T73215","D0A8GM","Approved",".","MS4A1"
"10","T53904","D0F6JC","Approved","Inhibitor","EGLN2"
"11","T15000","D0J6DQ","Approved","Modulator","CTLA4"
"12","T88505","D0JB3H","Approved","Activator","NFE2L2"
"13","T60693","D0K3OK","Approved","Agonist","OPRK1"
"14","T15439","D0MR4Q","Approved","Antagonist","C5AR1"
"15","T72168","D0NV5O","Approved","Antagonist","NR3C2"
"16","T81100","D0OR3G","Approved","Inhibitor","SLC5A2"
"17","T26851","D0P5LH","Approved","Inhibitor","C3"
"18","T59631","D0PG5O","Approved","Inhibitor","PDCD1"
"19","T59480","D0R7LD","Approved","Inhibitor","KRAS"
"20","T83386","D0RP2W","Approved","Antagonist","FOLR1"
"21","T78932","D0S1XX","Approved","Inhibitor","TYK2"
"22","T06093","D0U5UC","Approved","Inhibitor","ROCK2"
"23","T10988","D0W9YW","Approved","Antagonist","IL1RL2"
"24","T23343","D24GYL","Approved","Inhibitor","HIV p24"
"25","T31514","D34SXJ","Approved","Replacement","GAA"
"26","T24982","DEWC27","Approved","Inhibitor","SLC10A2"
"27","T67849","DGO2C1","Approved","Inhibitor","PIK3CD"
"28","T20563","DI4HA7","Approved","Inhibitor","EGFR"
"29","T76024","DJ0L4K","Approved","Inhibitor","C1S"
"30","T85857","DMOF95","Approved","Blocker","TSLP"
"31","T38284","DSHT18","Approved","Inhibitor","BCR-ABL1"
"32","T59480","DUQV41","Approved","Inhibitor","KRAS"
