"","source","target","correlation","pval","pval_adj","comb"
"6544","CHEK2","TTK",0.285350601756169,1.35447386639953e-09,8.89808390898159e-09,"CHEK2_TTK"
"10935","LRIG1","ERBB3",-0.247781068939269,1.6510358546995e-07,8.55047640969575e-07,"LRIG1_ERBB3"
"16384","KLF4","SRF",0.388100304397103,0,0,"KLF4_SRF"
"27758","NLGN3","NRXN1",0.32249873509061,5.50581802372108e-12,4.48089109820356e-11,"NLGN3_NRXN1"
"30577","CHEK1","ERRFI1",-0.111607867583751,0.0198936660747138,0.0426077174962669,"CHEK1_ERRFI1"
"32295","FYN","DLG2",0.319418300211416,8.95550300583636e-12,7.16758051649967e-11,"FYN_DLG2"
"33763","ENO1","MYC",0.22813876580099,1.5239348853946e-06,6.93344357086751e-06,"ENO1_MYC"
"40874","PTX3","CFH",0.164225550442666,0.000584482230212569,0.00175248310547662,"PTX3_CFH"
"43920","FOXO1","FBXO32",0.388661347930534,0,0,"FOXO1_FBXO32"
"48588","NEK2","NDC80",0.592952085416793,0,0,"NEK2_NDC80"
"51621","MYC","HLA.B",0.11957254301499,0.0125720559377727,0.0283443105822133,"MYC_HLA.B"
"53261","RPS6KA5","EIF4EBP1",-0.114068225322107,0.017312217278967,0.0376791040531418,"RPS6KA5_EIF4EBP1"
"54566","PRKD1","CACNA1C",0.785451658041676,0,0,"PRKD1_CACNA1C"
"56484","THRA","RARB",0.281916636256538,2.16742357395106e-09,1.39404595630496e-08,"THRA_RARB"
"69773","PPP4C","PLK1",0.218916237298823,4.05110241796791e-06,1.73464014656665e-05,"PPP4C_PLK1"
"69947","CHEK1","PLK1",0.641707859425363,0,0,"CHEK1_PLK1"
"70096","MAP3K8","PLK1",-0.226071056132108,1.90429123714253e-06,8.54671149308028e-06,"MAP3K8_PLK1"
"75066","PLK1","NEK9",-0.263523756105166,2.41446378446142e-08,1.38292822488725e-07,"PLK1_NEK9"
"82996","PLK1","GTSE1",0.592488859662381,0,0,"PLK1_GTSE1"
"86438","BCL2L2","BAX",-0.318687017851895,1.00437436145739e-11,8.00482771170656e-11,"BCL2L2_BAX"
"95448","SRF","ACTA2",0.766658747561785,0,0,"SRF_ACTA2"
"96629","PPARA","LPL",0.122549541690033,0.0105194864900633,0.0241795518325328,"PPARA_LPL"
"101850","PLK1","CEP68",-0.235976619615895,6.42463462208198e-07,3.07934566596197e-06,"PLK1_CEP68"
"108231","CNKSR1","EPHB1",-0.217336989167367,4.76959234374519e-06,2.02080656648556e-05,"CNKSR1_EPHB1"
"110612","DLX5","MSX1",0.13846703478047,0.00380852821382938,0.00969178001661595,"DLX5_MSX1"
"110648","DLX2","MSX1",0.315114408686491,1.75088832321535e-11,1.36809443076296e-10,"DLX2_MSX1"
"115124","FYN","MAG",0.113262568791655,0.0181232822395216,0.039243899308629,"FYN_MAG"
"117630","FOXO1","PPARGC1A",0.149397342259271,0.00178098049651787,0.00485910905852565,"FOXO1_PPARGC1A"
"125322","NEK2","LRRC45",0.12421220757354,0.00950745625673211,0.0220823678713591,"NEK2_LRRC45"
"139917","MYC","CCND2",0.250420829222975,1.20673459003129e-07,6.3580392589608e-07,"MYC_CCND2"
"148949","FYN","CD300LF",0.174642014205306,0.000252083863623298,0.000807784261083932,"FYN_CD300LF"
"156336","PLK1","CDC20",0.647420872666543,0,0,"PLK1_CDC20"
"158484","PRKD1","KCNH2",0.205156253661157,1.61406244796325e-05,6.30963111367955e-05,"PRKD1_KCNH2"
"160122","NFIX","FOXO6",-0.194268725098971,4.52175426284285e-05,0.000164611283866632,"NFIX_FOXO6"
"163470","FYN","SLAMF1",0.143594774092906,0.0026833529248742,0.00705510917909165,"FYN_SLAMF1"
"169631","CDC20","FBXO31",-0.137896803505846,0.00395701332318721,0.0100337699531138,"CDC20_FBXO31"
"170184","CDK5","TLN1",-0.244209471271118,2.50907379761856e-07,1.26946885117327e-06,"CDK5_TLN1"
"171274","TCF3","BBC3",0.16011329113645,0.000803850643869009,0.00234807716598947,"TCF3_BBC3"
"178420","HNF4A","PCSK9",0.141002452460775,0.00320754382206845,0.00829501784400549,"HNF4A_PCSK9"
"182367","MYC","SIRT1",0.18669648088767,8.96006316728482e-05,0.000310582959984206,"MYC_SIRT1"
"183891","TFAP4","NFIA",-0.212452022932829,7.84351038607412e-06,3.21764965839701e-05,"TFAP4_NFIA"
"194869","FZD5","CEBPA",0.26521298562108,1.94946732090528e-08,1.12866957522622e-07,"FZD5_CEBPA"
"196082","TWIST2","RAP1A",0.268237235884092,1.32422952603406e-08,7.81506491056648e-08,"TWIST2_RAP1A"
"203097","CDK5","STMN1",0.169976253892968,0.000369613271762326,0.00114948623749584,"CDK5_STMN1"
"209731","CHEK2","CDC25C",0.421234601328474,0,0,"CHEK2_CDC25C"
"209824","CHEK1","CDC25C",0.629196575802829,0,0,"CHEK1_CDC25C"
"210003","PLK1","CDC25C",0.633139592098085,0,0,"PLK1_CDC25C"
"210053","PPP1CA","CDC25C",0.211104338309786,8.97912536768075e-06,3.65080487485458e-05,"PPP1CA_CDC25C"
"211644","CENPE","MAD2L1",0.649493177441926,0,0,"CENPE_MAD2L1"
"211690","TTK","MAD2L1",0.691726645265385,0,0,"TTK_MAD2L1"
"213139","MYC","PPAT",0.176598209837807,0.000214088795421841,0.000694748760508669,"MYC_PPAT"
"228346","CHEK1","CDC7",0.552986392369527,0,0,"CHEK1_CDC7"
"243140","TLN1","ITGB3",0.748044645426246,0,0,"TLN1_ITGB3"
"244464","ZEB2","MEOX2",0.371983958897797,8.88178419700125e-16,9.348637388779e-15,"ZEB2_MEOX2"
"256038","CDON","ABL1",0.575928279006424,0,0,"CDON_ABL1"
"256085","TTK","ABL1",-0.20160221191009,2.27311425617938e-05,8.68010539124408e-05,"TTK_ABL1"
"257778","PLK1","BORA",0.413716267018529,0,0,"PLK1_BORA"
"261378","PLK1","KIF2C",0.695096600000508,0,0,"PLK1_KIF2C"
"261957","CDKN1A","CDK2",-0.108341810593618,0.0238335883391381,0.0499794526756758,"CDKN1A_CDK2"
"262411","CCNE1","CDK2",0.425364800138892,0,0,"CCNE1_CDK2"
"267460","UBR1","RECQL4",-0.335321389528309,6.84341472378946e-13,5.96066762657413e-12,"UBR1_RECQL4"
"267540","CDK2","RECQL4",0.259607007909955,3.94227148703408e-08,2.20296510117208e-07,"CDK2_RECQL4"
"285651","MYC","CCNA2",0.163639673082872,0.000611911562906631,0.00182781014662847,"MYC_CCNA2"
"286115","CDK2","CCNA2",0.330182524211345,1.5967227540159e-12,1.3539728980055e-11,"CDK2_CCNA2"
"287628","CDK2","UHRF1",0.427849380365398,0,0,"CDK2_UHRF1"
"297867","MYC","ITGA7",0.227887875259717,1.56587270128128e-06,7.11260704182062e-06,"MYC_ITGA7"
"301962","PPARGC1A","PCK2",-0.11741764548014,0.014270779192133,0.0317321787204583,"PPARGC1A_PCK2"
"305623","TPX2","KIF11",0.679288134976138,0,0,"TPX2_KIF11"
"306746","FCN2","MASP1",0.17442499007687,0.000256667113316844,0.000821280069042601,"FCN2_MASP1"
"306864","COLEC11","MASP1",0.138726016919141,0.00374277196568551,0.00953988114609702,"COLEC11_MASP1"
"313953","ABL1","JAK2",0.279916108322044,2.84191603583395e-09,1.80483344254474e-08,"ABL1_JAK2"
"328564","DLGAP5","SHANK3",-0.182694324737256,0.000127248147578474,0.000429616463080873,"DLGAP5_SHANK3"
"352266","CDK2","PGR",-0.19121607316064,5.97622529219244e-05,0.000213298299425094,"CDK2_PGR"
"364836","SIRT1","ABCB1",0.348357102326134,7.41628980449605e-14,6.91454613251926e-13,"SIRT1_ABCB1"
"364990","UHRF1","ABCB1",-0.31925270833424,9.19131437626675e-12,7.34924902937045e-11,"UHRF1_ABCB1"
