"","source","target","correlation","pval","pval_adj","comb"
"3544","FGFR4","STAT1",0.0667575939968576,0.0127943853962784,0.0206482158684071,"FGFR4_STAT1"
"6891","MUC1","KLF4",-0.183035935269979,6.15107964563322e-12,1.9283784674052e-11,"MUC1_KLF4"
"10712","CHEK2","TTK",0.628816691067124,0,0,"CHEK2_TTK"
"14704","OXTR","DRD2",0.218780701531068,0,0,"OXTR_DRD2"
"16540","F2RL2","GNAI1",-0.254979765155799,0,0,"F2RL2_GNAI1"
"16582","P2RY12","GNAI1",0.40530900223321,0,0,"P2RY12_GNAI1"
"16592","HTR1D","GNAI1",-0.113613668308072,2.17846048267134e-05,4.61515019117309e-05,"HTR1D_GNAI1"
"16610","LPAR2","GNAI1",-0.308308173362649,0,0,"LPAR2_GNAI1"
"16616","F2RL3","GNAI1",0.393139535497432,0,0,"F2RL3_GNAI1"
"16640","OXTR","GNAI1",0.108517990529994,5.03100624016373e-05,0.000103586634548002,"OXTR_GNAI1"
"17404","KDM5B","SOX2",0.103283528721274,0.000114531451628208,0.000228924485686832,"KDM5B_SOX2"
"27936","FYN","FYB1",0.113250924494064,2.31494649021169e-05,4.89459122484447e-05,"FYN_FYB1"
"30096","FYN","PTPRT",-0.261700801669955,0,0,"FYN_PTPRT"
"34728","PTPRB","CDH5",0.881273967883056,0,0,"PTPRB_CDH5"
"40434","IFNG","NOD2",0.18957500699266,1.0316192344817e-12,3.35818512110743e-12,"IFNG_NOD2"
"45657","FYN","JUP",-0.358346640954171,0,0,"FYN_JUP"
"51566","FYN","CLIC5",0.176956200694508,3.05349079354755e-11,9.24748030538734e-11,"FYN_CLIC5"
"52244","PTPRG","LIMK1",-0.297095979428922,0,0,"PTPRG_LIMK1"
"53546","CHEK1","ERRFI1",-0.155493794537516,5.62665025682918e-09,1.50874265373332e-08,"CHEK1_ERRFI1"
"57698","IGF1R","SIRPA",-0.118817742448219,8.92909326788427e-06,1.9479767585523e-05,"IGF1R_SIRPA"
"58640","EZH2","ALDH1A1",-0.29569021372246,0,0,"EZH2_ALDH1A1"
"65490","PTX3","CFH",0.19059769104542,7.75823849608059e-13,2.54002329045686e-12,"PTX3_CFH"
"76273","PPP4C","BANF1",0.647820377777037,0,0,"PPP4C_BANF1"
"78695","NEK2","NDC80",0.69512164332054,0,0,"NEK2_NDC80"
"79861","PPARA","AQP3",-0.0781525607177326,0.00355030806263601,0.00613673447680559,"PPARA_AQP3"
"86043","RNF125","IFIH1",-0.185747136813434,2.95719004839157e-12,9.41652725519378e-12,"RNF125_IFIH1"
"91734","PRKD1","PTRH2",-0.206674198957249,7.105427357601e-15,2.54980747817769e-14,"PRKD1_PTRH2"
"107194","PTPRG","BLNK",-0.266761674832245,0,0,"PTPRG_BLNK"
"108373","PPP4C","PLK1",0.344302519771781,0,0,"PPP4C_PLK1"
"108590","CHEK1","PLK1",0.718904629818405,0,0,"CHEK1_PLK1"
