"","source","target","correlation","pval","pval_adj","comb"
"3335","PAX3","FGFR4",0.0814751970087768,0.0399659935790069,0.0478462101884598,"PAX3_FGFR4"
"6638","FGFR4","STAT1",0.189029038375332,1.57794260724486e-06,2.40704397510553e-06,"FGFR4_STAT1"
"12035","ULK1","ENO1",-0.502208216040734,0,0,"ULK1_ENO1"
"17641","HMGB2","POU2F2",-0.364490978361392,0,0,"HMGB2_POU2F2"
"18893","CHEK2","TTK",0.838710872139113,0,0,"CHEK2_TTK"
"23753","ULK1","FBP1",-0.324403446410782,0,0,"ULK1_FBP1"
"25876","OXTR","DRD2",0.0920953761786057,0.0201831009290303,0.0247424641434549,"OXTR_DRD2"
"28991","GPR35","GNAI1",-0.666114012798793,0,0,"GPR35_GNAI1"
"29066","P2RY12","GNAI1",0.509355474671202,0,0,"P2RY12_GNAI1"
"29082","HTR1D","GNAI1",-0.355243893436758,0,0,"HTR1D_GNAI1"
"29106","LPAR2","GNAI1",-0.586748654324013,0,0,"LPAR2_GNAI1"
"29145","OXTR","GNAI1",-0.184417159188144,2.84242478620911e-06,4.28987691894415e-06,"OXTR_GNAI1"
"29148","DRD2","GNAI1",-0.200094784888778,3.62217065230652e-07,5.66816606177774e-07,"DRD2_GNAI1"
"30724","LRIG1","ERBB3",-0.622780511196534,0,0,"LRIG1_ERBB3"
"40193","PKP2","DSP",0.766240007836952,0,0,"PKP2_DSP"
"45609","KLF4","SRF",-0.278544372470525,8.4998674765302e-13,1.60947895246272e-12,"KLF4_SRF"
"45702","PRKDC","SRF",-0.319650900626216,0,0,"PRKDC_SRF"
"65663","IFNG","NOD2",0.133848363882807,0.000714052388002262,0.000961409628911347,"IFNG_NOD2"
"65875","CHEK2","PSME3",0.729545653702164,0,0,"CHEK2_PSME3"
"76651","NLGN2","NRXN1",0.653912237432922,0,0,"NLGN2_NRXN1"
"76687","NLGN3","NRXN1",0.884156598894173,0,0,"NLGN3_NRXN1"
"84524","RNF6","LIMK1",0.425677206875384,0,0,"RNF6_LIMK1"
"90776","PRKDC","PNPT1",0.6856453062836,0,0,"PRKDC_PNPT1"
"93252","ENO1","MYC",0.471405086240572,0,0,"ENO1_MYC"
"93346","SATB1","MYC",-0.327765153456392,0,0,"SATB1_MYC"
"93393","NDN","MYC",-0.414008445196109,0,0,"NDN_MYC"
"94814","EZH2","ALDH1A1",-0.455330210460946,0,0,"EZH2_ALDH1A1"
"99223","MYC","SHMT2",0.466781823250565,0,0,"MYC_SHMT2"
"108078","PTX3","CFH",0.215756626075905,3.89994792016068e-08,6.32932368035365e-08,"PTX3_CFH"
"113696","PROC","F5",0.116292616065784,0.00331415276259683,0.004290372375658,"PROC_F5"
"119030","CADPS2","SNAP25",-0.304541950032299,3.99680288865056e-15,8.1052619754547e-15,"CADPS2_SNAP25"
"121512","LONP1","STAR",-0.296210474585326,2.39808173319034e-14,4.75646866735799e-14,"LONP1_STAR"
"130228","MYC","CDK4",0.617995977473119,0,0,"MYC_CDK4"
"131448","NEK2","NDC80",0.836224796295695,0,0,"NEK2_NDC80"
"141710","RPS6KA5","EIF4EBP1",-0.447700907654287,0,0,"RPS6KA5_EIF4EBP1"
"146529","PRKD1","CACNA1C",0.825988078781035,0,0,"PRKD1_CACNA1C"
"147612","PRKD1","PTRH2",-0.433132844195911,0,0,"PRKD1_PTRH2"
"171572","IRF2BPL","PENK",0.470928662045634,0,0,"IRF2BPL_PENK"
"178022","STAT1","NOS2",0.263144605800298,1.55808699275894e-11,2.83704633531714e-11,"STAT1_NOS2"
"180726","MKNK1","EIF4E",-0.45619218203766,0,0,"MKNK1_EIF4E"
"180833","EIF4EBP1","EIF4E",0.603150722393629,0,0,"EIF4EBP1_EIF4E"
"182425","CHEK1","PLK1",0.843839250274135,0,0,"CHEK1_PLK1"
"182961","PRKDC","PDX1",0.410484762755369,0,0,"PRKDC_PDX1"
"187192","RPS6KA2","L1CAM",0.42293043116356,0,0,"RPS6KA2_L1CAM"
"202666","ULK1","DENND3",0.694310949868853,0,0,"ULK1_DENND3"
"205085","PLK1","GTSE1",0.907858392120825,0,0,"PLK1_GTSE1"
"208012","IFNG","RIPK2",0.316315133913689,4.44089209850063e-16,9.22643989996767e-16,"IFNG_RIPK2"
"208053","NOD2","RIPK2",0.162471283697543,3.84348591391248e-05,5.51660166261026e-05,"NOD2_RIPK2"
"210473","BCL2L2","BAX",-0.606674375181116,0,0,"BCL2L2_BAX"
"214988","SLBP","H2AZ1",0.814427330861447,0,0,"SLBP_H2AZ1"
"216251","CXCL8","CXCR2",0.748128110206336,0,0,"CXCL8_CXCR2"
"216583","CXCL2","CXCR2",0.678644277147485,0,0,"CXCL2_CXCR2"
"230484","SRF","ACTA2",0.865046538564938,0,0,"SRF_ACTA2"
"232930","MUSK","DOK7",-0.253748461231036,8.39905922589423e-11,1.49398397427147e-10,"MUSK_DOK7"
"234418","SLBP","H2BC11",0.138232736047712,0.000472224602295457,0.000642015767150328,"SLBP_H2BC11"
"252897","HSP90AB1","FLCN",-0.43188528755768,0,0,"HSP90AB1_FLCN"
"256856","PROC","F7",0.389200817824342,0,0,"PROC_F7"
"256962","HPN","F7",0.112386808211213,0.00454388834828467,0.00583098876675128,"HPN_F7"
"257862","PRKD1","ATP7B",-0.46762320905903,0,0,"PRKD1_ATP7B"
"309311","FBXO45","ZEB2",-0.428049342460143,0,0,"FBXO45_ZEB2"
"313337","PBX1","HOXB1",0.395160675041568,0,0,"PBX1_HOXB1"
"313932","HMGB1","HOXB1",-0.230059671493474,4.37433023137146e-09,7.34310642303128e-09,"HMGB1_HOXB1"
"314200","CHEK2","RB1",0.548734831814249,0,0,"CHEK2_RB1"
"314347","CHEK1","RB1",0.570054178618284,0,0,"CHEK1_RB1"
"314539","CDK4","RB1",0.503256731528514,0,0,"CDK4_RB1"
"318525","CAMK4","NOVA2",0.316451629527318,4.44089209850063e-16,9.22643989996767e-16,"CAMK4_NOVA2"
"362280","PLK1","CDC20",0.902480082167957,0,0,"PLK1_CDC20"
"365544","PRKD1","KCNH2",0.736289459365618,0,0,"PRKD1_KCNH2"
"370350","NEK2","GAS2L1",-0.509300089791077,0,0,"NEK2_GAS2L1"
"378191","TBX1","FLT4",0.844111207586171,0,0,"TBX1_FLT4"
"381649","SLBP","H2BC9",0.0944849979003826,0.017150389736464,0.0211374421386168,"SLBP_H2BC9"
"387574","CDK5","TLN1",-0.528663524485486,0,0,"CDK5_TLN1"
"388343","TCF3","BBC3",0.588677591745562,0,0,"TCF3_BBC3"
"412711","WNT1","CTNNB1",-0.19659003784457,5.82589682718293e-07,9.04321021555533e-07,"WNT1_CTNNB1"
"412804","CDH11","CTNNB1",0.265527077077054,1.0055511978635e-11,1.84189770867673e-11,"CDH11_CTNNB1"
"412853","IRF2BPL","CTNNB1",-0.404711279888109,0,0,"IRF2BPL_CTNNB1"
"412877","CDH7","CTNNB1",0.105209765336859,0.00792043231480477,0.0100004962462319,"CDH7_CTNNB1"
"412921","PTPRZ1","CTNNB1",-0.493426702990473,0,0,"PTPRZ1_CTNNB1"
"413145","PRKD1","CTNNB1",-0.409231600752612,0,0,"PRKD1_CTNNB1"
"413182","CDH23","CTNNB1",-0.464959690573362,0,0,"CDH23_CTNNB1"
"413291","PLK1","CTNNB1",0.612368148799436,0,0,"PLK1_CTNNB1"
"413509","SOX4","CTNNB1",0.724632515186528,0,0,"SOX4_CTNNB1"
"415294","HNF4A","PCSK9",0.31559993210235,4.44089209850063e-16,9.22643989996767e-16,"HNF4A_PCSK9"
"433117","CADPS2","VAMP2",-0.459124437984978,0,0,"CADPS2_VAMP2"
"433254","SYP","VAMP2",0.549976574178404,0,0,"SYP_VAMP2"
"434285","RACK1","PTK7",0.432992339522212,0,0,"RACK1_PTK7"
"435028","SATB1","IL23A",-0.163003310582868,3.62202406130052e-05,5.20528457915327e-05,"SATB1_IL23A"
"437887","FOXJ1","TUBA1A",-0.241833843899676,6.46060982489871e-10,1.11589988766232e-09,"FOXJ1_TUBA1A"
"441497","IRF2BPL","GNRH1",0.248481682233266,2.09701589426459e-10,3.68157990284009e-10,"IRF2BPL_GNRH1"
"441553","PITX1","GNRH1",-0.405448528982683,0,0,"PITX1_GNRH1"
"449888","TPO","TG",-0.130571610019124,0.000964944275939628,0.00128966426807609,"TPO_TG"
"452620","CDX2","TFF3",0.353912202561495,0,0,"CDX2_TFF3"
"454336","TWIST2","RAP1A",0.672020795667549,0,0,"TWIST2_RAP1A"
"465652","CAMK4","STMN1",-0.337849644684882,0,0,"CAMK4_STMN1"
"465944","CDK5","STMN1",0.681654718241335,0,0,"CDK5_STMN1"
"466343","HDAC2","CCND1",0.635872836662233,0,0,"HDAC2_CCND1"
"466528","MYC","CCND1",0.524489522109347,0,0,"MYC_CCND1"
"467005","CTNNB1","CCND1",0.664588092098492,0,0,"CTNNB1_CCND1"
"475203","DPYSL5","MAP2",0.775671547287604,0,0,"DPYSL5_MAP2"
"475972","CHEK2","CDC25C",0.819751015247685,0,0,"CHEK2_CDC25C"
"476119","CHEK1","CDC25C",0.875114068668428,0,0,"CHEK1_CDC25C"
"476405","PLK1","CDC25C",0.8442250844511,0,0,"PLK1_CDC25C"
"479825","CENPE","MAD2L1",0.797831684592027,0,0,"CENPE_MAD2L1"
"479905","TTK","MAD2L1",0.880879743983975,0,0,"TTK_MAD2L1"
"482237","FBXW10","GAPDH",-0.0986922136494383,0.0127704149988519,0.0158893100511617,"FBXW10_GAPDH"
"486038","MYC","PPAT",0.610374528372608,0,0,"MYC_PPAT"
"494687","CHEK2","KIT",-0.527446971781547,0,0,"CHEK2_KIT"
"494875","SOHLH2","KIT",0.265364327079096,1.03623776226414e-11,1.89734974588551e-11,"SOHLH2_KIT"
"495306","STAP1","KIT",0.0864589238739816,0.0292422238948991,0.035399232668231,"STAP1_KIT"
"499583","FGFR4","GLO1",0.518043421966986,0,0,"FGFR4_GLO1"
"500371","FLT4","GLO1",-0.395882625835333,0,0,"FLT4_GLO1"
"503081","MMP7","SPP1",0.125189537937834,0.00155936517097444,0.00205930730328609,"MMP7_SPP1"
"503473","SMOC1","SPP1",0.0956418032126222,0.0158312497483628,0.0195623421716671,"SMOC1_SPP1"
"503630","RAN","XPOT",0.786933421407166,0,0,"RAN_XPOT"
"511885","CHEK1","CDC7",0.631064921048306,0,0,"CHEK1_CDC7"
"519104","MYC","CCNE1",0.488801659524755,0,0,"MYC_CCNE1"
"534942","TLN1","ITGB3",0.85195631536344,0,0,"TLN1_ITGB3"
"534945","PLAUR","ITGB3",-0.236004193946096,1.686833783765e-09,2.87253002399788e-09,"PLAUR_ITGB3"
"536278","SLBP","H2BC13",0.107067789946955,0.00687979030220331,0.00872294500105912,"SLBP_H2BC13"
"541068","ZEB2","MEOX2",0.725895564758064,0,0,"ZEB2_MEOX2"
"542153","FGF12","SCN3A",0.378503246623976,0,0,"FGF12_SCN3A"
"542348","FGF13","SCN3A",0.379854962464479,0,0,"FGF13_SCN3A"
"551363","DENND3","RAB12",0.645596537232753,0,0,"DENND3_RAB12"
"566693","CDON","ABL1",0.799879043805295,0,0,"CDON_ABL1"
"566775","TTK","ABL1",-0.577206644647557,0,0,"TTK_ABL1"
"567374","RB1","ABL1",-0.413968530881387,0,0,"RB1_ABL1"
"567384","CLK1","ABL1",0.599552199631174,0,0,"CLK1_ABL1"
"567531","CLK4","ABL1",0.610734140274362,0,0,"CLK4_ABL1"
"569316","PLK1","BORA",0.740288212043567,0,0,"PLK1_BORA"
"570791","CDC7","DTD1",0.398597586205978,0,0,"CDC7_DTD1"
"572222","FOXJ1","DNAI1",0.432921084892534,0,0,"FOXJ1_DNAI1"
"574661","PLK1","VIM",-0.426516312961704,0,0,"PLK1_VIM"
"575733","PLK1","KIF2C",0.907027848027436,0,0,"PLK1_KIF2C"
"582540","NTN1","DSCAM",0.554817674219985,0,0,"NTN1_DSCAM"
"602391","MAP3K3","WDR62",-0.622728502547413,0,0,"MAP3K3_WDR62"
"611699","RASGEF1A","NRAS",0.130938919451059,0.000933231198518847,0.00124831972532186,"RASGEF1A_NRAS"
"612037","RASGEF1C","NRAS",-0.527101847719614,0,0,"RASGEF1C_NRAS"
"617948","CXCL9","CXCR3",0.400127356629965,0,0,"CXCL9_CXCR3"
"619642","CDK5","MAPK10",-0.587148544518207,0,0,"CDK5_MAPK10"
"619693","MAPK8IP3","MAPK10",0.536290684054243,0,0,"MAPK8IP3_MAPK10"
"636061","MYC","CCNA2",0.552460026711792,0,0,"MYC_CCNA2"
"636922","RAD18","PCNA",0.722335302067473,0,0,"RAD18_PCNA"
"663409","MYC","ITGA7",-0.359937319013114,0,0,"MYC_ITGA7"
"670044","BMP7","DLK1",-0.101507017591919,0.0104223413038236,0.013050143015518,"BMP7_DLK1"
"670428","FOXA2","DLK1",-0.132430539799563,0.000814093742295352,0.00109257377893836,"FOXA2_DLK1"
"674963","TPX2","KIF11",0.787563625751461,0,0,"TPX2_KIF11"
"676605","FCN2","MASP1",0.100011687259823,0.0116170961638389,0.0144971185038161,"FCN2_MASP1"
"676758","COLEC11","MASP1",0.35150935618788,0,0,"COLEC11_MASP1"
"684116","PRKDC","MITF",-0.378651781955304,0,0,"PRKDC_MITF"
"684816","CLK4","MITF",0.687048067651876,0,0,"CLK4_MITF"
"688298","ESRRB","NR0B1",0.0842711767791688,0.0336001107110615,0.0404759430146333,"ESRRB_NR0B1"
"692224","SLBP","H2AC21",0.0967503900637034,0.0146514968641731,0.0181501744669893,"SLBP_H2AC21"
"709636","CAMK2G","GRIA4",0.562352331396014,0,0,"CAMK2G_GRIA4"
"719387","MAPK12","KRT8",-0.32641521636554,0,0,"MAPK12_KRT8"
"720780","DLGAP5","SHANK3",-0.45202178923136,0,0,"DLGAP5_SHANK3"
"723374","CAPRIN1","G3BP1",0.847895544298899,0,0,"CAPRIN1_G3BP1"
"726015","PLK1","NPM1",0.688312541157819,0,0,"PLK1_NPM1"
"741522","NME2","KCNN4",0.567910109431473,0,0,"NME2_KCNN4"
"745351","TDGF1","MSTN",-0.245827198659956,3.29949179089795e-10,5.75501908648628e-10,"TDGF1_MSTN"
"747317","UBE2N","H2AX",0.724280590211957,0,0,"UBE2N_H2AX"
"747401","SLBP","H2AX",0.719171579577265,0,0,"SLBP_H2AX"
"747504","PRKDC","H2AX",0.479141612442086,0,0,"PRKDC_H2AX"
"748074","EYA1","H2AX",0.100170747620629,0.0114844885938372,0.0143367567346296,"EYA1_H2AX"
"751621","HMGB1","HOXD10",-0.233803225828491,2.40772224380237e-09,4.07843862585332e-09,"HMGB1_HOXD10"
"765280","CDK5","DNMT1",0.530351069182354,0,0,"CDK5_DNMT1"
"771683","OTX1","BEST1",-0.292711643803858,4.9737991503207e-14,9.77316299052534e-14,"OTX1_BEST1"
"771832","MITF","BEST1",0.339849856474532,0,0,"MITF_BEST1"
"775348","HIC1","EPHA2",-0.339541699683329,0,0,"HIC1_EPHA2"
"775581","EFNA3","EPHA2",0.424987369638261,0,0,"EFNA3_EPHA2"
"787876","CAMK2G","GRIA1",0.428057162020451,0,0,"CAMK2G_GRIA1"
"788087","SHANK3","GRIA1",0.441037457598459,0,0,"SHANK3_GRIA1"
"793489","CHEK1","CDC25B",0.48056334151492,0,0,"CHEK1_CDC25B"
"793775","PLK1","CDC25B",0.568597822822608,0,0,"PLK1_CDC25B"
"797660","EIF2AK1","HBA1",-0.118123511692996,0.00284922697125856,0.00370371921183603,"EIF2AK1_HBA1"
"797729","FGF2","HBA1",0.328821164654926,0,0,"FGF2_HBA1"
"800917","CHEK2","RASGRF1",0.11128249145798,0.004959568549046,0.00634856401672234,"CHEK2_RASGRF1"
"816175","CHEK2","AATF",0.484910967153808,0,0,"CHEK2_AATF"
"827069","CDK5","PPP1R1A",-0.280541735181304,5.75095526755831e-13,1.09461253008461e-12,"CDK5_PPP1R1A"
"828732","EFNA3","EPHA4",-0.322490756768683,0,0,"EFNA3_EPHA4"
"837279","TWIST2","ILK",0.636751484118826,0,0,"TWIST2_ILK"
"839501","RNF183","ATP1B1",0.552138964160941,0,0,"RNF183_ATP1B1"
"843078","MUSK","WNT11",-0.169961934250776,1.63819687948319e-05,2.39171751068187e-05,"MUSK_WNT11"
"847270","CHEK1","SYK",0.549551880465716,0,0,"CHEK1_SYK"
"850370","CDK5","CRMP1",-0.470210885010267,0,0,"CDK5_CRMP1"
"856691","PLK1","CDCA5",0.910270838019474,0,0,"PLK1_CDCA5"
