"","source","target","correlation","pval","pval_adj","comb"
"3886","FGFR4","STAT1",0.280360063354466,6.6952265953546e-10,2.64322984759668e-09,"FGFR4_STAT1"
"21796","SPI1","ANXA1",-0.313974921638116,3.63509222722769e-12,1.76384270043057e-11,"SPI1_ANXA1"
"27765","SOSTDC1","WNT5B",-0.134566280981882,0.00353863484234718,0.00640253861775125,"SOSTDC1_WNT5B"
"39305","IFNG","NOD2",-0.150976901924671,0.00105216327873969,0.00206254798727308,"IFNG_NOD2"
"47822","PTPRG","LIMK1",0.299148523120715,3.94462240649318e-11,1.74461784462232e-10,"PTPRG_LIMK1"
"49692","WNT5B","LRP5",-0.181574767741363,7.80063977736667e-05,0.000178376374767085,"WNT5B_LRP5"
"60162","PROC","F5",0.173137289574734,0.000167230702875942,0.000366168174446252,"PROC_F5"
"65414","NR5A2","STAR",-0.179166076209166,9.73239021595518e-05,0.000219799856718843,"NR5A2_STAR"
"69845","NEK2","NDC80",0.67586468288189,0,0,"NEK2_NDC80"
"76490","IFNG","HLA.B",0.46397507314401,0,0,"IFNG_HLA.B"
"79417","PTPRH","INSR",0.661806451733048,0,0,"PTPRH_INSR"
"79517","FURIN","INSR",0.37026659724024,0,0,"FURIN_INSR"
"79637","PTPRG","INSR",0.67450714074422,0,0,"PTPRG_INSR"
"96946","TXK","LCP2",0.139219742114428,0.00254078486261955,0.00470185840217011,"TXK_LCP2"
"98139","PTPRG","BLNK",-0.473306356158494,0,0,"PTPRG_BLNK"
"98435","STAT1","NOS2",0.164444025295163,0.000353855985624651,0.000741607893476785,"STAT1_NOS2"
"100817","CHEK1","PLK1",0.760546051342227,0,0,"CHEK1_PLK1"
"101475","PLK1","STAG2",0.563945911081938,0,0,"PLK1_STAG2"
"101673","PRKDC","PDX1",0.215623758246905,2.5056319792327e-06,6.85645655345347e-06,"PRKDC_PDX1"
"111096","HOXA11","PRL",-0.136276040704142,0.00313673876273324,0.00572240037313715,"HOXA11_PRL"
"116853","PLK1","GTSE1",0.784645115174944,0,0,"PLK1_GTSE1"
"117615","IFNG","RIPK2",0.39900094509724,0,0,"IFNG_RIPK2"
"117651","NOD2","RIPK2",-0.319290028928289,1.49613654798486e-12,7.50790845335307e-12,"NOD2_RIPK2"
"119905","ZFHX3","AFP",0.104340992389639,0.0239850173621834,0.0376335459625586,"ZFHX3_AFP"
"122997","WNT5B","LRP6",-0.330172280703811,2.29816166097407e-13,1.23818346348136e-12,"WNT5B_LRP6"
"124325","CXCL8","CXCR2",-0.226468906892022,7.39716913056299e-07,2.14692959220804e-06,"CXCL8_CXCR2"
"124569","CXCL2","CXCR2",-0.269880662091134,2.97005375848869e-09,1.10181886005274e-08,"CXCL2_CXCR2"
"129483","MSX2","DLX2",0.143415363817371,0.00186868927087813,0.00352903880048296,"MSX2_DLX2"
"133399","FBXO45","SNAI2",0.351910408281662,4.44089209850063e-15,2.76311051065567e-14,"FBXO45_SNAI2"
"134666","IFNG","LPL",0.157153788324282,0.000645145612021114,0.00130401851164325,"IFNG_LPL"
"134893","PRL","LPL",-0.105258084948619,0.0227670938616025,0.035872053968256,"PRL_LPL"
"134959","MUSK","DOK7",-0.123950485749494,0.00726061971060266,0.0124843142915666,"MUSK_DOK7"
"146742","PROC","F7",0.4914120207656,0,0,"PROC_F7"
"146772","F10","F7",0.53698724778299,0,0,"F10_F7"
"146818","HPN","F7",0.410048825041843,0,0,"HPN_F7"
"149235","PLK1","RSF1",0.355913243342697,1.99840144432528e-15,1.27984384674714e-14,"PLK1_RSF1"
"159955","SPI1","EGR2",0.115396002476313,0.0124870991075059,0.0206245719399594,"SPI1_EGR2"
"169432","HSP90AB1","APAF1",0.399124261862321,0,0,"HSP90AB1_APAF1"
"171241","MAP2K6","HSF4",-0.316587202934776,2.35500507983488e-12,1.16178638336717e-11,"MAP2K6_HSF4"
"172372","CCL7","CCR1",0.464854722846033,0,0,"CCL7_CCR1"
"172531","CCL5","CCR1",0.595856123508375,0,0,"CCL5_CCR1"
"179089","HSF4","DNASE2B",-0.141727899065868,0.00211654696734476,0.00396431531031411,"HSF4_DNASE2B"
"197906","INSR","ADRB2",-0.457721684906023,0,0,"INSR_ADRB2"
"210432","CADPS2","STX1A",0.299102263784667,3.97326616052851e-11,1.75681759864882e-10,"CADPS2_STX1A"
"217261","PLK1","CDC20",0.817447192025298,0,0,"PLK1_CDC20"
"222620","NFIB","FOXO6",0.20569744415477,7.25465523676583e-06,1.88236362603861e-05,"NFIB_FOXO6"
"236173","TCF3","BBC3",0.340428932739147,3.66373598126302e-14,2.11339350668727e-13,"TCF3_BBC3"
"237558","NFATC1","PLAUR",0.228411975619202,5.90604654293614e-07,1.73235572503807e-06,"NFATC1_PLAUR"
"244432","GATA6","CDX2",0.355713152842084,2.22044604925031e-15,1.41465006939332e-14,"GATA6_CDX2"
"250179","HNF4A","PCSK9",0.106858020099702,0.0207702952608853,0.0329681163969696,"HNF4A_PCSK9"
"256721","SOSTDC1","WNT2",0.122080959261605,0.0081969449939947,0.0139705881987457,"SOSTDC1_WNT2"
"265529","PITX1","GNRH1",0.544739692111024,0,0,"PITX1_GNRH1"
"267324","NFIB","ETV5",0.491050034071452,0,0,"NFIB_ETV5"
"268212","MAX","MXD3",0.734690335019607,0,0,"MAX_MXD3"
"270522","TPO","TG",0.205549660759588,7.36757360675355e-06,1.91013620261896e-05,"TPO_TG"
"272653","CDX2","TFF3",0.276048333951963,1.24536381207463e-09,4.79159557825846e-09,"CDX2_TFF3"
"279201","PPARGC1A","ALDOB",0.101570131118258,0.028012834761487,0.0433979775544273,"PPARGC1A_ALDOB"
"280599","DLX5","RUNX2",0.137762197509977,0.00282159605361176,0.0051848541475895,"DLX5_RUNX2"
"282894","SNAI2","CCND1",0.279047497582212,8.09673883495066e-10,3.17169829527914e-09,"SNAI2_CCND1"
"289219","HOOK3","MSR1",0.404180447861435,0,0,"HOOK3_MSR1"
"291918","PDX1","NKX6.1",-0.24367306359989,9.39630526719526e-08,2.99967027031317e-07,"PDX1_NKX6.1"
"294769","CHEK1","CDC25C",0.689228654314354,0,0,"CHEK1_CDC25C"
"294978","PLK1","CDC25C",0.791047187864168,0,0,"PLK1_CDC25C"
"295356","SPI1","FCGR1A",0.810747820746062,0,0,"SPI1_FCGR1A"
"296151","CENPE","MAD2L1",0.7644218392368,0,0,"CENPE_MAD2L1"
"296214","TTK","MAD2L1",0.758098116860707,0,0,"TTK_MAD2L1"
"304648","FGFR4","GLO1",0.389204909122504,0,0,"FGFR4_GLO1"
"307686","RUNX2","SPP1",0.237212444038428,2.07759077941461e-07,6.39679391665079e-07,"RUNX2_SPP1"
"311433","EGR2","GFI1",0.248648782570661,5.02158985504764e-08,1.64893121580951e-07,"EGR2_GFI1"
"329447","NCOR1","PPARG",0.409152029042032,0,0,"NCOR1_PPARG"
"329503","WNT5B","PPARG",-0.259778227487166,1.17693872425662e-08,4.1188131311493e-08,"WNT5B_PPARG"
"329841","FZD5","PPARG",0.683357471781833,0,0,"FZD5_PPARG"
"351991","PLK1","BORA",0.659256970395779,0,0,"PLK1_BORA"
