"","source","target","correlation","pval","pval_adj","comb"
"12647","ULK1","AMBRA1",0.650377947102621,1.33226762955019e-15,4.99389559241202e-14,"ULK1_AMBRA1"
"15266","SOSTDC1","WNT7A",0.20863213942422,0.022786055448472,0.0409675296440393,"SOSTDC1_WNT7A"
"15486","ULK1","FBP1",-0.281066955956201,0.00195896544133101,0.00472471765939953,"ULK1_FBP1"
"16404","NFASC","ANK1",0.482098784511195,2.83280758850424e-08,2.30241943135898e-07,"NFASC_ANK1"
"19383","F2RL2","GNAI1",0.343555500523024,0.000130612908144645,0.000429412017869877,"F2RL2_GNAI1"
"19434","HTR1D","GNAI1",0.480126010555967,3.28576339470033e-08,2.63139371199714e-07,"HTR1D_GNAI1"
"25011","WNK4","STK39",-0.556154761845363,5.15292253311372e-11,7.77792544206809e-10,"WNK4_STK39"
"26570","PKP2","DSP",0.60119519867448,4.85389506366118e-13,1.11420497370202e-11,"PKP2_DSP"
"34676","FYN","PTPRT",-0.275256227368739,0.0024475743824186,0.00575132244505672,"FYN_PTPRT"
"42925","SMURF1","TPM4",-0.487285348447911,1.90942475164491e-08,1.61591394936842e-07,"SMURF1_TPM4"
"50098","NLGN2","NRXN1",0.329523784754446,0.000252712004265909,0.000771077185648104,"NLGN2_NRXN1"
"50125","NLGN3","NRXN1",0.572032410568424,1.07851505504186e-11,1.87982116575734e-10,"NLGN3_NRXN1"
"53851","FYN","CLIC5",0.699440082731998,0,0,"FYN_CLIC5"
"67682","PTX3","CFH",0.204996259728672,0.0253224281522866,0.0449293203329616,"PTX3_CFH"
"71223","FOXO1","FBXO32",0.230808299946961,0.0115553100595438,0.02258039686585,"FOXO1_FBXO32"
"72782","FOXP1","SEMA5B",-0.49181431946541,1.34575079968613e-08,1.18021471931699e-07,"FOXP1_SEMA5B"
"74121","NCOA6","GREB1",-0.229006697911042,0.0122387242605031,0.0237478018899545,"NCOA6_GREB1"
"74524","CAMK2D","CACNB2",0.398989628641434,6.96909704589466e-06,3.16805505342032e-05,"CAMK2D_CACNB2"
"74881","LONP1","STAR",-0.244237483073961,0.0074315662472979,0.0153127458008298,"LONP1_STAR"
