"","source","target","correlation","pval","pval_adj","comb"
"4594","SOSTDC1","BMP7",0.0929480885611157,0.0196272378860947,0.0350970864814348,"SOSTDC1_BMP7"
"10619","SOSTDC1","WNT7A",0.143189223089493,0.000311578170061999,0.000757867103525063,"SOSTDC1_WNT7A"
"11571","NFASC","ANK1",-0.151103982257023,0.000140646745960371,0.000359550489739014,"NFASC_ANK1"
"13090","GPR35","GNAI1",-0.23995917121053,1.05859787602469e-09,4.95300137809722e-09,"GPR35_GNAI1"
"13168","F2RL3","GNAI1",-0.104708867632011,0.00853382185758145,0.0163835308994385,"F2RL3_GNAI1"
"16348","SPI1","ANXA1",0.316349836970135,4.44089209850063e-16,3.63434016695254e-15,"SPI1_ANXA1"
"27610","CAMKK1","CAMK1D",0.25349194669506,1.0772183145491e-10,5.56090926232006e-10,"CAMKK1_CAMK1D"
"28024","SPI1","FLI1",0.256643937247981,6.2035709902375e-11,3.27829549587007e-10,"SPI1_FLI1"
"30107","IFNG","NOD2",0.593089104788794,0,0,"IFNG_NOD2"
"34486","NLGN3","NRXN1",0.148766389825947,0.000178631719264244,0.000450078781948876,"NLGN3_NRXN1"
"42192","MYC","SHMT2",0.232858353434735,3.32713989692479e-09,1.47861877633306e-08,"MYC_SHMT2"
"51815","CADPS2","SNAP25",-0.236496930013616,1.85874093894256e-09,8.47979747333635e-09,"CADPS2_SNAP25"
"56701","NEK2","NDC80",0.765970087402769,0,0,"NEK2_NDC80"
"57350","PPARA","AQP3",0.222031605535019,1.77789085675784e-08,7.31570203523586e-08,"PPARA_AQP3"
"59213","IFNG","HLA.B",0.438021413874162,0,0,"IFNG_HLA.B"
"59283","MYC","HLA.B",0.100080283369874,0.0119601059829659,0.0223279134154602,"MYC_HLA.B"
"62491","PTPRH","INSR",-0.160161987797342,5.38751224077316e-05,0.00014596522051393,"PTPRH_INSR"
"66651","PTCRA","ZAP70",0.261600035802204,2.56576981882972e-11,1.40581729645619e-10,"PTCRA_ZAP70"
"66658","RHOH","ZAP70",0.68451512061128,0,0,"RHOH_ZAP70"
"72068","SPI1","ITGAM",0.237311263830116,1.62950719584387e-09,7.47781308932823e-09,"SPI1_ITGAM"
"74803","IRF2BPL","PENK",0.203647684730581,2.52973632042242e-07,9.15202695218927e-07,"IRF2BPL_PENK"
"76611","ZAP70","LCP2",0.410355387866892,0,0,"ZAP70_LCP2"
"85033","HOXA11","PRL",0.255836155013546,7.15107972837359e-11,3.75597938757822e-10,"HOXA11_PRL"
"89283","WNK4","SLC12A3",0.437853248836822,0,0,"WNK4_SLC12A3"
"90074","PLK1","GTSE1",0.896359089516327,0,0,"PLK1_GTSE1"
"112208","PDK1","PDHA1",-0.390068383902365,0,0,"PDK1_PDHA1"
"112459","ACAT1","PDHA1",0.666503944058265,0,0,"ACAT1_PDHA1"
"112691","PROC","F7",0.564862670657168,0,0,"PROC_F7"
"112716","F10","F7",0.279385999016982,9.2459373490783e-13,5.78666695300805e-12,"F10_F7"
"115374","DLX5","MSX1",0.446590337191781,0,0,"DLX5_MSX1"
"115408","DLX2","MSX1",0.342167357137429,0,0,"DLX2_MSX1"
"122362","BMP7","PPARGC1A",0.27416437484491,2.5157653738006e-12,1.51392582953722e-11,"BMP7_PPARGC1A"
"123699","WT1","NPHS1",0.792213370006846,0,0,"WT1_NPHS1"
"131288","CCL5","CCR1",0.324558114702281,0,0,"CCL5_CCR1"
"131725","PRKCQ","WIPF1",-0.301162102659542,1.11022302462516e-14,8.19642707911508e-14,"PRKCQ_WIPF1"
"137103","PBX1","HOXB1",0.201360932858266,3.46222116531791e-07,1.23314891840133e-06,"PBX1_HOXB1"
"144734","TLR2","TICAM2",0.449689218308093,0,0,"TLR2_TICAM2"
"147440","MYC","VEGFA",0.316433426911223,4.44089209850063e-16,3.63434016695254e-15,"MYC_VEGFA"
"160293","PLK1","CDC20",0.90766931738641,0,0,"PLK1_CDC20"
"164668","IFNG","IFNGR2",0.213915166302805,5.91198443533614e-08,2.29713938137718e-07,"IFNG_IFNGR2"
"176155","SOSTDC1","WNT9B",0.192221531191564,1.17066948268629e-06,3.91891354852313e-06,"SOSTDC1_WNT9B"
"195828","FOXJ1","TUBA1A",-0.170245525207799,1.73874109317129e-05,5.02886440295001e-05,"FOXJ1_TUBA1A"
"204976","PPARGC1A","ALDOB",0.177799702358706,7.13252821493704e-06,2.16928699551924e-05,"PPARGC1A_ALDOB"
"205534","DLX5","RUNX2",0.334758487943672,0,0,"DLX5_RUNX2"
"205819","SPI1","CD68",0.603141374357045,0,0,"SPI1_CD68"
"207977","MYC","CCND1",0.164315326090594,3.40864998036317e-05,9.48578041203696e-05,"MYC_CCND1"
"215894","PLK1","CDC25C",0.690257551556233,0,0,"PLK1_CDC25C"
"216869","SPI1","FCGR1A",0.834815528968937,0,0,"SPI1_FCGR1A"
"218874","CENPE","MAD2L1",0.711125451206491,0,0,"CENPE_MAD2L1"
"218919","TTK","MAD2L1",0.776958361211213,0,0,"TTK_MAD2L1"
"219740","MYC","BCR",-0.303688783257407,6.66133814775094e-15,5.00527609970107e-14,"MYC_BCR"
"221080","PRKD1","FAM83G",0.109141323378605,0.00610327229580165,0.0120416849636719,"PRKD1_FAM83G"
"231495","CEBPA","GFI1",0.337806204074037,0,0,"CEBPA_GFI1"
"243491","FLI1","GP9",0.138100260475809,0.000508811517290875,0.00119879461187181,"FLI1_GP9"
"262848","PLK1","VIM",0.2633064798065,1.88506987797155e-11,1.04562391415876e-10,"PLK1_VIM"
"263573","PLK1","KIF2C",0.893910023045404,0,0,"PLK1_KIF2C"
"272978","MYC","HK2",0.253248248891397,1.12382547712286e-10,5.79061998269502e-10,"MYC_HK2"
"284038","CXCL9","CXCR3",0.675365707472183,0,0,"CXCL9_CXCR3"
"285136","TNFRSF17","MAPK10",-0.115466819751947,0.00370609849272308,0.00760034970250778,"TNFRSF17_MAPK10"
"290228","MYC","CCNA2",0.104878723367429,0.00842672462685412,0.0161948839910024,"MYC_CCNA2"
"301972","PPARGC1A","PCK2",0.19910294956827,4.70308770816885e-07,1.6491869453082e-06,"PPARGC1A_PCK2"
"303128","BMP7","DLK1",0.207453711556876,1.48856133197484e-07,5.52761576515078e-07,"BMP7_DLK1"
"305649","TPX2","KIF11",0.89267352289393,0,0,"TPX2_KIF11"
"307811","PXDN","COL4A4",-0.299097171574291,1.73194791841524e-14,1.25770173328366e-13,"PXDN_COL4A4"
"328086","PTPN22","NLRP3",0.442179178628044,0,0,"PTPN22_NLRP3"
"332011","PCDH15","TMC1",0.364563576043373,0,0,"PCDH15_TMC1"
"334312","PLK2","NPM1",0.148698945353959,0.000179858819466139,0.000452961787050503,"PLK2_NPM1"
"334551","PLK1","NPM1",0.127029048654851,0.00139819322432877,0.00307760933173059,"PLK1_NPM1"
