"","source","target","correlation","pval","pval_adj","comb"
"6770","CHEK2","TTK",0.265968068587108,4.7862810292898e-07,3.05032432718599e-06,"CHEK2_TTK"
"10093","NFASC","ANK1",-0.200400805527039,0.000167737632992271,0.000657043923084507,"NFASC_ANK1"
"23231","PTPRB","CDH5",0.780453745694133,0,0,"PTPRB_CDH5"
"50472","NEK2","NDC80",0.822182197565331,0,0,"NEK2_NDC80"
"52596","MYC","HLA.B",0.145595409705993,0.00651265990502492,0.0171057598402836,"MYC_HLA.B"
"62527","SPI1","ITGAM",0.808598228981958,0,0,"SPI1_ITGAM"
"63506","KCNQ2","KCNQ3",0.155812386063697,0.0035682773959933,0.0100854166154213,"KCNQ2_KCNQ3"
"71871","TNFRSF10C","TNFSF10",0.250700607328621,2.18219933101338e-06,1.240872635335e-05,"TNFRSF10C_TNFSF10"
"79425","WNK4","SLC12A3",0.494532923592735,0,0,"WNK4_SLC12A3"
"89943","FOXO1","AGRP",0.167971606026475,0.00166332795170421,0.00513306782656939,"FOXO1_AGRP"
"93057","PRL","LPL",0.287575734180871,4.73081551710663e-08,3.54748090373893e-07,"PRL_LPL"
"96622","NR2F1","RXRA",0.483938370823307,0,0,"NR2F1_RXRA"
"108296","WT1","NPHS1",0.57928444203178,0,0,"WT1_NPHS1"
"124076","CAMK4","NOVA2",0.32792647558375,3.62007757104266e-10,3.69462959513242e-09,"CAMK4_NOVA2"
"145500","CDK5","DNM1",0.214364624694568,5.54233477072508e-05,0.000240639076483396,"CDK5_DNM1"
"166685","CDK5","STMN3",0.41349803434028,8.88178419700125e-16,1.72817017912434e-14,"CDK5_STMN3"
"173192","SOSTDC1","WNT2",0.179228472955571,0.000783183726770664,0.00262584986374702,"SOSTDC1_WNT2"
"176910","FOXJ1","TUBA1A",0.169966115194306,0.00146032035446497,0.00457328529259415,"FOXJ1_TUBA1A"
"185791","SPI1","CD68",0.684764646382909,0,0,"SPI1_CD68"
"192610","CHEK2","CDC25C",0.179322752368128,0.000778109631883961,0.00261047554878417,"CHEK2_CDC25C"
"193177","SPI1","FCGR1A",0.87009025125804,0,0,"SPI1_FCGR1A"
"199496","CHEK2","KIT",-0.150022699999827,0.00504014931743835,0.0136670065488937,"CHEK2_KIT"
"199888","STAP1","KIT",0.953860808402976,0,0,"STAP1_KIT"
"203559","MMP7","SPP1",0.331304927405883,2.32673214028978e-10,2.43673878570006e-09,"MMP7_SPP1"
"209251","MYC","CCNE1",0.285057001748536,6.25987270908013e-08,4.60639843282177e-07,"MYC_CCNE1"
"216662","CDK5","EZR",0.388393758786426,5.6399329650958e-14,9.13652724811315e-13,"CDK5_EZR"
"218277","TP63","PERP",0.391850404108467,3.21964677141295e-14,5.35392571606674e-13,"TP63_PERP"
"235836","FOXJ1","DNAI1",0.330880338034276,2.4603785675481e-10,2.56843102484412e-09,"FOXJ1_DNAI1"
"244221","MYC","HK2",0.246980196080422,3.11302913247324e-06,1.72134163625374e-05,"MYC_HK2"
"280387","TPX2","KIF11",0.901020770532086,0,0,"TPX2_KIF11"
"281448","FCN2","MASP1",-0.17821714793504,0.000839569804738316,0.00279389773993539,"FCN2_MASP1"
"282453","PXDN","COL4A4",-0.255369744997341,1.38613370603835e-06,8.15748909931397e-06,"PXDN_COL4A4"
"296019","PTPN6","VAV1",0.754021171945188,0,0,"PTPN6_VAV1"
"305664","PCDH15","TMC1",0.484476190046112,0,0,"PCDH15_TMC1"
"322045","NR2F1","PCDH19",0.246524640195023,3.25018839619773e-06,1.79107303312128e-05,"NR2F1_PCDH19"
"325194","SHANK3","GRIA1",0.315377745220414,1.78389436555904e-09,1.65248961448502e-08,"SHANK3_GRIA1"
"327390","HOXB6","HBA1",0.205673341063039,0.000111373914812196,0.00045337584504353,"HOXB6_HBA1"
"331751","SPI1","OSCAR",0.881507963168524,0,0,"SPI1_OSCAR"
"336853","DCTPP1","ABCB1",0.160166768444084,0.00273106982516902,0.00796752155956967,"DCTPP1_ABCB1"
"355757","PTPRB","KDR",0.843826193786709,0,0,"PTPRB_KDR"
"356265","VEGFA","KDR",0.726561183491832,0,0,"VEGFA_KDR"
"356469","PTPN6","KDR",-0.290200345145574,3.5230442563261e-08,2.69432254862005e-07,"PTPN6_KDR"
"367753","CHEK2","BRCA1",0.248634129975945,2.66007207905261e-06,1.48947477879673e-05,"CHEK2_BRCA1"
"367839","BRIP1","BRCA1",0.622279333605174,0,0,"BRIP1_BRCA1"
"368182","ASPM","BRCA1",0.760394163300409,0,0,"ASPM_BRCA1"
"374096","WT1","REN",0.281761943760459,8.99256360487044e-08,6.45092184721819e-07,"WT1_REN"
"379158","HAP1","KIF5C",0.222084237596511,2.91071917992713e-05,0.000133766137778373,"HAP1_KIF5C"
"384172","SPI1","ACP5",0.41103928723805,1.33226762955019e-15,2.55277772717955e-14,"SPI1_ACP5"
"391116","SMO","GNB3",-0.173168324475482,0.00118142463873028,0.00378817657778354,"SMO_GNB3"
"393041","CHEK2","FOXM1",0.236305552907159,8.36498671819008e-06,4.2731441721765e-05,"CHEK2_FOXM1"
"394250","CTSG","F2R",-0.127441723680208,0.0173810160779999,0.0401482716531348,"CTSG_F2R"
"394268","TWIST2","F2R",0.28088981218974,9.88967889803405e-08,7.0483303949568e-07,"TWIST2_F2R"
"396114","CDK5","CDK5R1",0.21097114633608,7.30318631072535e-05,0.000309131829234912,"CDK5_CDK5R1"
"400335","MYC","TYMS",0.374571442101658,4.9293902293357e-13,7.18851283323402e-12,"MYC_TYMS"
"414489","IRX1","PTGER1",0.783528114158426,0,0,"IRX1_PTGER1"
"420709","PTPN6","CD72",0.680915155428263,0,0,"PTPN6_CD72"
"425212","WNK3","SLC12A1",0.439299071857573,0,0,"WNK3_SLC12A1"
"425919","WT1","PODXL",0.566261898485771,0,0,"WT1_PODXL"
"430879","MASP1","C4A",0.160372840383826,0.00269628641992536,0.00787730005629531,"MASP1_C4A"
"458316","CAMK2A","DLGAP1",-0.219214470863942,3.70797495234942e-05,0.000166871052882604,"CAMK2A_DLGAP1"
"461547","FOXO1","TCF4",0.472037448347032,0,0,"FOXO1_TCF4"
"462750","CDK5","DLC1",-0.372489811879048,6.77680134231196e-13,9.72736456229548e-12,"CDK5_DLC1"
"465510","TNFSF10","TNFRSF10B",0.145480993905876,0.00655536050616323,0.0172035028651845,"TNFSF10_TNFRSF10B"
"467107","SPI1","CD14",0.901492586448395,0,0,"SPI1_CD14"
"470713","SNAI1","SERPINE1",0.459810004920246,0,0,"SNAI1_SERPINE1"
"489893","RAD51AP1","RAD51",0.788022880300819,0,0,"RAD51AP1_RAD51"
"513408","SMO","TIMP3",-0.364848837975207,2.13584705477388e-12,2.88983503039918e-11,"SMO_TIMP3"
"514100","CDK5","AMPH",-0.174238394481095,0.00109975268921536,0.00355353878583198,"CDK5_AMPH"
"516584","DOK1","ITGB4",0.316510063173395,1.54943680108488e-09,1.44790391063923e-08,"DOK1_ITGB4"
"519090","PRKCH","ITGB2",0.311092231546462,3.02454461476032e-09,2.7129659478842e-08,"PRKCH_ITGB2"
"519635","DOK1","ITGB2",0.574639969893895,0,0,"DOK1_ITGB2"
"537177","PTPRB","MET",-0.454642616961894,0,0,"PTPRB_MET"
"537296","MACC1","MET",0.573802456245057,0,0,"MACC1_MET"
"537684","HOTAIR","MET",0.271172980637585,2.79105512479561e-07,1.84898967082656e-06,"HOTAIR_MET"
"538099","HGF","MET",-0.217967838047526,4.11509106568175e-05,0.000183503809812421,"HGF_MET"
"544218","HBEGF","ERBB4",0.552708862902698,0,0,"HBEGF_ERBB4"
"544429","NRG1","ERBB4",-0.136549917522561,0.0107693231982142,0.026532017653491,"NRG1_ERBB4"
"551285","BBC3","BCL2",0.247512979721299,2.95962923324566e-06,1.64304318116124e-05,"BBC3_BCL2"
"551443","FOXA1","BCL2",-0.162545723857312,0.00235329147322916,0.00698424331848175,"FOXA1_BCL2"
"554390","KCTD11","GLI1",-0.200424066764016,0.000167438683331245,0.000655986724215018,"KCTD11_GLI1"
"561942","NGF","NTRK1",0.286322388295311,5.44013296632784e-08,4.04092435412301e-07,"NGF_NTRK1"
"561993","PTPN6","NTRK1",-0.272749633052556,2.36504678063909e-07,1.58580442305166e-06,"PTPN6_NTRK1"
"562065","DUSP26","NTRK1",0.241469656221361,5.21505913964049e-06,2.76744430736235e-05,"DUSP26_NTRK1"
"575128","CSNK1A1L","GLI2",0.158040583588779,0.00311453651627369,0.00894623891865634,"CSNK1A1L_GLI2"
"576105","PTTG1","LGALS1",0.276815681932985,1.53543652015031e-07,1.06087081585877e-06,"PTTG1_LGALS1"
"583857","TTK","CDCA8",0.878717498807691,0,0,"TTK_CDCA8"
"599752","SERPINC1","F11",0.314153612731337,2.07605088675678e-09,1.905375452281e-08,"SERPINC1_F11"
"601426","MYC","HLA.A",0.207946099363781,9.30515890829042e-05,0.000385194562998409,"MYC_HLA.A"
"603445","DACH2","MYOG",0.236674320617933,8.09028905379705e-06,4.14397778104598e-05,"DACH2_MYOG"
"604364","TBX2","MYOG",0.203242867811,0.000134687381825316,0.000538653083920433,"TBX2_MYOG"
"609614","NOTCH3","HEYL",0.408405797952076,1.99840144432528e-15,3.77715263085321e-14,"NOTCH3_HEYL"
"610026","CENPE","MAD1L1",-0.125908777241284,0.0187882852731707,0.0429315781525962,"CENPE_MAD1L1"
"612876","HLA.G","KLRC1",0.324813772052261,5.413931525311e-10,5.39416122924854e-09,"HLA.G_KLRC1"
"629266","SOST","WNT3A",0.237802445179961,7.30225453282607e-06,3.77146294371726e-05,"SOST_WNT3A"
"629862","GPC4","WNT3A",-0.212598217310024,6.40176631989675e-05,0.000274311617759176,"GPC4_WNT3A"
"634049","FOXI1","CFTR",0.877287891960619,0,0,"FOXI1_CFTR"
"641718","TWIST2","MYB",0.208790370561392,8.6998378022729e-05,0.000362419572123766,"TWIST2_MYB"
"647847","IRX1","PHYHIPL",-0.202585717434633,0.000141735887100758,0.000564142448088091,"IRX1_PHYHIPL"
"648870","SHANK3","GRIA2",0.128010763894399,0.016882552175425,0.0391507806441316,"SHANK3_GRIA2"
"648909","PTPN5","GRIA2",0.198233370856376,0.000197893975498076,0.000762716809982142,"PTPN5_GRIA2"
"670467","WNT9B","CHRNA1",-0.133406883050329,0.0127433387889622,0.0306992801097002,"WNT9B_CHRNA1"
"691363","POU4F1","SCN9A",0.336474955667262,1.17056142556748e-10,1.27550581506279e-09,"POU4F1_SCN9A"
"691572","NGF","SCN9A",0.207464968484646,9.6676105095117e-05,0.000398678876464349,"NGF_SCN9A"
"691771","ESR2","SCN9A",0.1732782156402,0.00117278728172998,0.00376322464466053,"ESR2_SCN9A"
"693466","C3","C3AR1",0.488612330634194,0,0,"C3_C3AR1"
"696733","WNT3A","FZD1",-0.230141205500424,1.45016732495673e-05,7.07400255841476e-05,"WNT3A_FZD1"
"723103","CHEK2","BLM",0.350783921652849,1.63407065656429e-11,1.9848185837373e-10,"CHEK2_BLM"
"723189","BRIP1","BLM",0.559265327967886,0,0,"BRIP1_BLM"
"728865","ERBB4","SHC3",0.247735962791515,2.89759474991769e-06,1.61130558129122e-05,"ERBB4_SHC3"
"744316","KNL1","BUB1",0.515258544646159,0,0,"KNL1_BUB1"
"751676","MASP1","C4B",0.176906682233295,0.00091821273471604,0.00302589036166376,"MASP1_C4B"
"752266","F2RL3","GNAO1",0.242090720889879,4.92344556279889e-06,2.62474763538969e-05,"F2RL3_GNAO1"
"752296","DRD2","GNAO1",0.226561021738859,1.98256494985394e-05,9.41699111190545e-05,"DRD2_GNAO1"
"752544","S1PR1","GNAO1",0.264802796377969,5.39215913253344e-07,3.406374446559e-06,"S1PR1_GNAO1"
"752566","ADORA1","GNAO1",0.295273749208832,1.97579888006061e-08,1.56976592309461e-07,"ADORA1_GNAO1"
"752719","ADORA2A","GNAO1",0.191313790387902,0.000331592159308336,0.00121458694060228,"ADORA2A_GNAO1"
"753040","F2R","GNAO1",0.327826059974437,3.6676484072018e-10,3.74044471618873e-09,"F2R_GNAO1"
"753064","ADRA2B","GNAO1",0.123192926308988,0.0215260675253119,0.0482583589060717,"ADRA2B_GNAO1"
"753254","PTAFR","GNAO1",0.163145092804085,0.00226594753664222,0.00675377932380744,"PTAFR_GNAO1"
"768262","NFASC","ANK2",0.374580465220202,4.92494933723719e-13,7.18249410016893e-12,"NFASC_ANK2"
"770851","NFATC4","GPC6",-0.217071095092708,4.43367411060436e-05,0.000196412631854197,"NFATC4_GPC6"
"786617","PDGFB","PDGFRA",0.342397240982186,5.24504883969712e-11,5.97821668160947e-10,"PDGFB_PDGFRA"
"787557","NGF","NGFR",0.540045510992982,0,0,"NGF_NGFR"
"860910","IRX1","H2BC21",0.302150018477914,8.85967743613492e-09,7.42717503065477e-08,"IRX1_H2BC21"
"869662","RXRA","THRB",0.441368958695107,0,0,"RXRA_THRB"
"885272","ERBB3","AR",0.413435511905279,8.88178419700125e-16,1.72817017912434e-14,"ERBB3_AR"
"897886","RET","DOK5",0.215825167423764,4.9151438255457e-05,0.000215750904206173,"RET_DOK5"
"908713","CSF1R","SOCS1",0.302742494460062,8.25993740072306e-09,6.95422859105842e-08,"CSF1R_SOCS1"
"909434","UNC5C","DCC",0.221879591054185,2.9617159076567e-05,0.000135909481968755,"UNC5C_DCC"
"959076","SLITRK5","SHH",0.139600960162691,0.00911706125485967,0.022956634725794,"SLITRK5_SHH"
"963678","MYOG","MYF6",0.190276043856396,0.000357736476217285,0.00130050709070461,"MYOG_MYF6"
"985868","TCF4","SSTR2",0.318767631862974,1.16787846060618e-09,1.1098992927149e-08,"TCF4_SSTR2"
"997624","SPI1","MEIS1",-0.122541616518568,0.0222318754379118,0.0496207391406625,"SPI1_MEIS1"
"998369","HOXD10","MEIS1",0.417262321420378,4.44089209850063e-16,8.85188115201956e-15,"HOXD10_MEIS1"
"998742","HOXD11","MEIS1",0.45103521154968,0,0,"HOXD11_MEIS1"
"998961","DOT1L","MEIS1",0.456083307052311,0,0,"DOT1L_MEIS1"
"1009371","CDT1","MCM2",0.692517440140117,0,0,"CDT1_MCM2"
"1039740","SHANK3","GRIA3",0.307093129552226,4.91295848448203e-09,4.27635237211078e-08,"SHANK3_GRIA3"
"1046868","DTD1","CDC45",0.282781068569012,8.04348196936644e-08,5.81647292590094e-07,"DTD1_CDC45"
"1054296","CAMK2A","LRRC7",0.223909112949238,2.49129985578911e-05,0.000115997323228934,"CAMK2A_LRRC7"
"1055596","FOXA1","KRT7",0.262374550388352,6.89990417690467e-07,4.27897526698641e-06,"FOXA1_KRT7"
"1065940","CAMK2A","FBXO43",-0.142724833448126,0.00766267926679443,0.0197246387238488,"CAMK2A_FBXO43"
"1083175","VEGFA","DLL4",0.789378295806268,0,0,"VEGFA_DLL4"
"1088576","SOSTDC1","WNT5A",0.320874961715276,8.95088003716182e-10,8.64396298553394e-09,"SOSTDC1_WNT5A"
"1089531","GPC4","WNT5A",0.414388932926069,6.66133814775094e-16,1.31772123077878e-14,"GPC4_WNT5A"
"1089793","GPC6","WNT5A",0.134322514956254,0.0121377294065144,0.0294275495437897,"GPC6_WNT5A"
"1097930","CDK5","GRIN2A",-0.201757819045922,0.000151108502895791,0.000597747642307484,"CDK5_GRIN2A"
"1108261","CCL5","CCR5",0.844196365609621,0,0,"CCL5_CCR5"
"1109124","CCL3","CCR5",0.574959047359302,0,0,"CCL3_CCR5"
"1122123","CAMK2A","KRT18",-0.27352180714629,2.17994640561159e-07,1.46997408278144e-06,"CAMK2A_KRT18"
"1122180","PRKCE","KRT18",-0.357326326391899,6.42108588522206e-12,8.19981000636319e-11,"PRKCE_KRT18"
"1127374","CDH4","CDH2",0.355732680511445,8.07753863796279e-12,1.01879378173179e-10,"CDH4_CDH2"
"1128451","NEXMIF","CDH2",-0.387713621820388,6.26165785888588e-14,1.00917906619999e-12,"NEXMIF_CDH2"
"1130733","SLC34A2","EGF",-0.229913405464013,1.4795314761562e-05,7.20415425895263e-05,"SLC34A2_EGF"
"1131400","ADAM10","EGF",-0.229603786188415,1.52034844640436e-05,7.38629732806462e-05,"ADAM10_EGF"
"1143648","AR","TMPRSS2",-0.305041264932299,6.28374952071908e-09,5.38386145242002e-08,"AR_TMPRSS2"
"1173870","HIF3A","EPAS1",0.251289959846021,2.06172102057423e-06,1.17749403252419e-05,"HIF3A_EPAS1"
"1175035","CDC14A","SPAG5",0.494647591642826,0,0,"CDC14A_SPAG5"
"1191072","NR1I3","CYP2B6",0.766342779407681,0,0,"NR1I3_CYP2B6"
"1193787","KLF1","HBB",0.691015334076688,0,0,"KLF1_HBB"
"1194273","EPAS1","HBB",0.126959942931964,0.0178130400977299,0.0410080391670314,"EPAS1_HBB"
"1197766","PLAT","PLG",0.138361117351374,0.00975917354673195,0.0243606621426566,"PLAT_PLG"
"1207490","PGR","KLK4",0.209038821611487,8.52888439308863e-05,0.000355932522435087,"PGR_KLK4"
"1214901","TWIST2","SRPX",0.745501090448922,0,0,"TWIST2_SRPX"
"1222407","RIMBP2","RIMS2",-0.271929070147706,2.57828922212155e-07,1.71792171904313e-06,"RIMBP2_RIMS2"
"1234526","PRKG1","HSPB1",-0.276222268454881,1.63607099645802e-07,1.12548734337457e-06,"PRKG1_HSPB1"
"1248701","PRKG1","SLC6A4",0.249622505220451,2.42021940755066e-06,1.36486018795254e-05,"PRKG1_SLC6A4"
"1255829","CDK5","NES",-0.307330632771082,4.77440043056276e-09,4.1623707186662e-08,"CDK5_NES"
"1259321","SMO","GATA3",-0.321779531814367,7.9799167274075e-10,7.76387218513199e-09,"SMO_GATA3"
"1259649","ZNF503","GATA3",0.597918226441228,0,0,"ZNF503_GATA3"
"1260529","MMP14","F12",0.3577894229452,6.0054183848024e-12,7.69702027155828e-11,"MMP14_F12"
"1263525","MYC","CDKN2A",0.152349463914731,0.00439309930274678,0.0121122151847672,"MYC_CDKN2A"
