"","source","target","correlation","pval","pval_adj","comb"
"7607","CHEK2","TTK",0.302181087861666,1.24411592139495e-12,1.14248520395552e-11,"CHEK2_TTK"
"7634","KRT1","MPO",0.124238103786829,0.00421226762757598,0.010205228192552,"KRT1_MPO"
"28453","NLGN2","NRXN1",0.209467254043102,1.17165532498298e-06,5.27180429515648e-06,"NLGN2_NRXN1"
"32582","CHEK1","ERRFI1",-0.302678210309563,1.13842268945064e-12,1.04964550574262e-11,"CHEK1_ERRFI1"
"33774","CHEK2","XRCC1",0.321857060886183,3.24185123190546e-14,3.49104850575638e-13,"CHEK2_XRCC1"
"40169","FOXO1","FBXO32",-0.126232041356684,0.00363620375033213,0.00893480507726828,"FOXO1_FBXO32"
"45833","NEK2","NDC80",0.823005775046376,0,0,"NEK2_NDC80"
"65177","CHEK1","PLK1",0.747815948987943,0,0,"CHEK1_PLK1"
"79365","PLK1","GTSE1",0.838249513423106,0,0,"PLK1_GTSE1"
"85755","CXCL2","CXCR2",0.410073408024764,0,0,"CXCL2_CXCR2"
"99624","DLX5","MSX1",0.163062122552604,0.000165355235035136,0.00052839498279704,"DLX5_MSX1"
"113997","HSF4","DNASE2B",-0.137920950710076,0.00147332353705609,0.00393329654143455,"HSF4_DNASE2B"
"134783","PLK1","CDC20",0.828954536472404,0,0,"PLK1_CDC20"
"167951","TPO","TG",0.72229562917269,0,0,"TPO_TG"
"169623","CDX2","TFF3",0.19153155928442,9.16721822452615e-06,3.60888525924397e-05,"CDX2_TFF3"
"172303","CAMK4","STMN1",-0.281412987339194,4.37330172076145e-11,3.40504467993515e-10,"CAMK4_STMN1"
"172484","CDK5","STMN1",0.357119021654799,0,0,"CDK5_STMN1"
"176819","CHEK2","CDC25C",0.324110754573901,2.08721928629529e-14,2.28955082594893e-13,"CHEK2_CDC25C"
"176912","CHEK1","CDC25C",0.709014137460391,0,0,"CHEK1_CDC25C"
"177077","PLK1","CDC25C",0.679474726759698,0,0,"PLK1_CDC25C"
"177983","CENPE","MAD2L1",0.817332965102597,0,0,"CENPE_MAD2L1"
"178030","TTK","MAD2L1",0.824297431390133,0,0,"TTK_MAD2L1"
"182446","MMP7","SPP1",0.327281757878281,1.13242748511766e-14,1.27432677702053e-13,"MMP7_SPP1"
"191362","BMP7","PPARG",0.196714019994,5.15612506069019e-06,2.11022369635318e-05,"BMP7_PPARG"
"191537","FOXO1","PPARG",-0.132588164514596,0.00224449150793515,0.00576943999799504,"FOXO1_PPARG"
"210638","PLK1","KIF2C",0.879969252213127,0,0,"PLK1_KIF2C"
"226946","CXCL9","CXCR3",0.605117283539088,0,0,"CXCL9_CXCR3"
"245441","BMP7","DLK1",0.263024277808767,8.05949529336658e-10,5.43804687123517e-09,"BMP7_DLK1"
"248418","TPX2","KIF11",0.865278608512832,0,0,"TPX2_KIF11"
"249420","FCN2","MASP1",0.576366314785732,0,0,"FCN2_MASP1"
"249503","COLEC11","MASP1",0.320037789368454,4.61852778244065e-14,4.89729207494216e-13,"COLEC11_MASP1"
"265466","TJP2","ARVCF",0.272439464690517,1.86320514572458e-10,1.3526899273419e-09,"TJP2_ARVCF"
"273053","PLK1","NPM1",0.355406324578489,0,0,"PLK1_NPM1"
"280622","EYA1","H2AX",0.154620190050304,0.00035788246582813,0.00107607970083691,"EYA1_H2AX"
"283103","MAPK12","JUNB",-0.0987482552192498,0.023123307289632,0.0467909534269806,"MAPK12_JUNB"
