"","source","target","correlation","pval","pval_adj","comb"
"4725","FGFR4","STAT1",-0.423554567888604,0,0,"FGFR4_STAT1"
"8633","MUC1","KLF4",-0.277619211648663,0,0,"MUC1_KLF4"
"9470","KDM5B","FOXG1",0.0901624849606388,0.00815395622975323,0.0116132355508744,"KDM5B_FOXG1"
"10050","PLK3","CHEK2",-0.287108463191947,0,0,"PLK3_CHEK2"
"13509","CHEK2","TTK",0.66590455414251,0,0,"CHEK2_TTK"
"13536","KRT1","MPO",0.256135203445588,2.39808173319034e-14,7.19927516526086e-14,"KRT1_MPO"
"16697","SOSTDC1","WNT7A",0.0986261350253227,0.00378988960506055,0.00558803583395845,"SOSTDC1_WNT7A"
"20927","KDM5B","SOX2",0.19718281608476,5.49410761330194e-09,1.24590464399854e-08,"KDM5B_SOX2"
"23181","THPO","MPL",-0.126519631857678,0.000199344990517547,0.000330291024989904,"THPO_MPL"
"26836","WNK4","STK39",0.127684859974826,0.000173766770941608,0.00028936553512789,"WNK4_STK39"
"27300","PLK3","TOP2A",-0.371750718195373,0,0,"PLK3_TOP2A"
"28924","PKP2","DSP",0.440956840201289,0,0,"PKP2_DSP"
"34760","SOSTDC1","WNT5B",-0.100703255913325,0.00311230681864449,0.00462811424033444,"SOSTDC1_WNT5B"
"39918","PTPRB","CDH5",0.725565540119981,0,0,"PTPRB_CDH5"
"43145","SPI1","FLI1",0.536874209459463,0,0,"SPI1_FLI1"
"48018","FURIN","VWF",-0.125532670445333,0.0002237305516819,0.000369161529916895,"FURIN_VWF"
"50094","EVX1","GSC",0.0802094615155872,0.018644014572553,0.0254937758019434,"EVX1_GSC"
"53205","FYN","JUP",-0.410202330592506,0,0,"FYN_JUP"
"60261","FYN","CLIC5",0.311507850800883,0,0,"FYN_CLIC5"
"60989","PTPRG","LIMK1",-0.332343639548883,0,0,"PTPRG_LIMK1"
"67720","TP63","SYNE3",-0.135224067638112,6.94782758463575e-05,0.000119478418143101,"TP63_SYNE3"
"78746","PROC","F5",0.108783956423085,0.00139822109213661,0.00215029733192518,"PROC_F5"
"79369","FOXO1","FBXO32",-0.215935616941799,1.56494817105113e-10,3.8713057657763e-10,"FOXO1_FBXO32"
"84075","FYN","TXK",0.61137374684546,0,0,"FYN_TXK"
"89583","CDKN1A","CDK4",-0.141129170068783,3.27420556469615e-05,5.77664073115791e-05,"CDKN1A_CDK4"
"89776","NEK2","NDC80",0.754592139360407,0,0,"NEK2_NDC80"
"91390","PRKG2","HCN2",-0.0967075389871927,0.00453186650771142,0.00663015142851458,"PRKG2_HCN2"
"104426","FYN","PGD",-0.314886896013565,0,0,"FYN_PGD"
"108143","PTPRG","ZAP70",0.10721008722689,0.00164097947326325,0.00250705025366736,"PTPRG_ZAP70"
"108155","PTCRA","ZAP70",0.220367699701191,6.42366160263919e-11,1.62241945481663e-10,"PTCRA_ZAP70"
"116035","MAP3K3","MAP2K6",-0.385974444996248,0,0,"MAP3K3_MAP2K6"
"119251","KCNQ2","KCNQ3",0.109502450606557,0.00129878634095748,0.00200343937502852,"KCNQ2_KCNQ3"
"122309","SOSTDC1","WNT2B",0.396770931990397,0,0,"SOSTDC1_WNT2B"
"123281","HOXC13","LAMB2",-0.256443977191612,2.22044604925031e-14,6.67657410195559e-14,"HOXC13_LAMB2"
"129041","PTPRG","BLNK",-0.328989143960564,0,0,"PTPRG_BLNK"
"132109","CHEK1","PLK1",0.794729507744762,0,0,"CHEK1_PLK1"
"132318","MAP3K8","PLK1",-0.387191143587868,0,0,"MAP3K8_PLK1"
"144655","MSX2","DLX5",0.147252749884215,1.45314703892119e-05,2.63281197327954e-05,"MSX2_DLX5"
"149300","PLK1","GTSE1",0.85950733692912,0,0,"PLK1_GTSE1"
"153735","HNF4G","AFP",0.162832155150225,1.58425942031748e-06,3.07388133273116e-06,"HNF4G_AFP"
"156883","CXCL2","CXCR2",0.232241569058533,5.37703215286456e-12,1.43659403794874e-11,"CXCL2_CXCR2"
"164817","FOXO1","AGRP",0.0967105718438048,0.00453059658349009,0.0066283805832065,"FOXO1_AGRP"
"168448","PRL","LPL",0.11374063764413,0.000833185361385436,0.00130796134925517,"PRL_LPL"
"171388","PRKCH","GSTP1",-0.413356015724321,0,0,"PRKCH_GSTP1"
"183938","KDM5B","PAX9",0.239033524166807,1.22213350550737e-12,3.37391844481669e-12,"KDM5B_PAX9"
"185885","PROC","F7",0.145003826770393,1.96578314233253e-05,3.52659738967664e-05,"PROC_F7"
"185922","F10","F7",0.0942748544697981,0.00566051952887858,0.00819862843293682,"F10_F7"
"185977","HPN","F7",0.270406449545274,6.66133814775094e-16,2.14856636874476e-15,"HPN_F7"
"192714","PRKDC","GOLPH3",0.361603565295053,0,0,"PRKDC_GOLPH3"
"199626","FYN","MAG",0.14514205493887,1.92985894944542e-05,3.4642998956234e-05,"FYN_MAG"
"210766","LRRK2","RAB10",-0.260565517023669,8.21565038222616e-15,2.52189300816324e-14,"LRRK2_RAB10"
"228839","FBXO45","ZEB2",-0.488338594362852,0,0,"FBXO45_ZEB2"
"242090","FYN","TOM1L1",-0.50529524347773,0,0,"FYN_TOM1L1"
"242786","FYN","CDK5",-0.498527076776747,0,0,"FYN_CDK5"
"249801","FYN","CD300LF",0.14351618565516,2.39486314717041e-05,4.26848750159428e-05,"FYN_CD300LF"
"263690","PLK1","CDC20",0.854966656156447,0,0,"PLK1_CDC20"
"283925","SOSTDC1","WNT9B",0.121100428207746,0.000371839665625817,0.000602120092487344,"SOSTDC1_WNT9B"
"293538","GATA6","CDX2",-0.0731001062217138,0.0320756827471669,0.0426177857298919,"GATA6_CDX2"
"313280","SOSTDC1","WNT2",0.32509247989617,0,0,"SOSTDC1_WNT2"
"316339","BAK1","DIABLO",0.609892343226563,0,0,"BAK1_DIABLO"
"322095","CMA1","EDN1",0.136853080775409,5.66273539706064e-05,9.80728966374887e-05,"CMA1_EDN1"
"324602","PITX1","GNRH1",-0.179109090393387,1.23873884039227e-07,2.58636834829588e-07,"PITX1_GNRH1"
"329318","TPO","TG",0.992996813808263,0,0,"TPO_TG"
"332472","CDX2","TFF3",0.0974222927280152,0.00424133027275975,0.00622330879427612,"CDX2_TFF3"
"335815","HOXC13","FOXN1",0.0982770906202654,0.00391607227968405,0.00576604248758411,"HOXC13_FOXN1"
"343076","CDK5","STMN1",0.430304131585743,0,0,"CDK5_STMN1"
"353259","PLK3","CDC25C",-0.331326250353352,0,0,"PLK3_CDC25C"
"353363","CHEK2","CDC25C",0.629063904702144,0,0,"CHEK2_CDC25C"
"353488","CHEK1","CDC25C",0.729634383626054,0,0,"CHEK1_CDC25C"
"353735","PLK1","CDC25C",0.78614843230783,0,0,"PLK1_CDC25C"
"353783","PPP1CA","CDC25C",0.526433535034188,0,0,"PPP1CA_CDC25C"
"355843","CENPE","MAD2L1",0.671926951278312,0,0,"CENPE_MAD2L1"
"355911","TTK","MAD2L1",0.777481174761042,0,0,"TTK_MAD2L1"
"364300","FGFR4","GLO1",-0.425720614314607,0,0,"FGFR4_GLO1"
"364540","FGR","GLO1",-0.412037487270649,0,0,"FGR_GLO1"
"364979","FLT4","GLO1",-0.442876865524671,0,0,"FLT4_GLO1"
"367284","MMP7","SPP1",0.316059173158169,0,0,"MMP7_SPP1"
"395797","TP63","PERP",0.556548497833902,0,0,"TP63_PERP"
"396790","FLI1","GP9",0.456750079351416,0,0,"FLI1_GP9"
"398956","ZEB2","MEOX2",0.485615729981972,0,0,"ZEB2_MEOX2"
"400051","FGF13","SCN3A",0.0969987783601382,0.00441137631306843,0.00646128118774878,"FGF13_SCN3A"
"425096","PLK1","BORA",0.725916202656587,0,0,"PLK1_BORA"
"430643","PLK1","KIF2C",0.844986231957973,0,0,"PLK1_KIF2C"
"444359","SOX2","NR2E1",0.145777148738108,1.77267677432535e-05,3.19118757818887e-05,"SOX2_NR2E1"
"446270","FYN","PTPRF",-0.507635911269158,0,0,"FYN_PTPRF"
"447757","MBTPS2","CREB3L1",0.113631729877902,0.000842903167526776,0.00132263148166425,"MBTPS2_CREB3L1"
"451839","MAP3K3","WDR62",-0.31320925528288,0,0,"MAP3K3_WDR62"
"454811","FYN","DCBLD2",-0.202983921580921,1.89410087614306e-09,4.41176722872008e-09,"FYN_DCBLD2"
"457988","RASGEF1A","NRAS",0.255325678184467,2.88657986402541e-14,8.63187682001729e-14,"RASGEF1A_NRAS"
"458203","RAPGEF5","NRAS",-0.363329245250984,0,0,"RAPGEF5_NRAS"
"463396","CXCL9","CXCR3",0.554763289162048,0,0,"CXCL9_CXCR3"
"476130","CDKN1A","PCNA",-0.229783950690772,9.08828567958153e-12,2.40017056416576e-11,"CDKN1A_PCNA"
"481055","MAD2L1BP","TRIP13",0.438013684646967,0,0,"MAD2L1BP_TRIP13"
"483332","HNF4A","NPC1L1",0.449003385460344,0,0,"HNF4A_NPC1L1"
"488796","FYN","GRIN2B",0.15334174476388,6.27034309008678e-06,1.16680775629759e-05,"FYN_GRIN2B"
"488829","PTPRG","GRIN2B",0.0961004459926602,0.00479264692856973,0.00699410554898427,"PTPRG_GRIN2B"
"497003","IGF1","PPP3CC",0.255123858178121,3.01980662698043e-14,9.02148268443793e-14,"IGF1_PPP3CC"
"502516","FBXO45","SNAI1",-0.215646378155719,1.65748303970759e-10,4.09454098916115e-10,"FBXO45_SNAI1"
"504866","TPX2","KIF11",0.892114163934332,0,0,"TPX2_KIF11"
"511130","AGRP","MC4R",-0.120435934456268,0.000400689402417997,0.000647008653105725,"AGRP_MC4R"
"517916","PTPRG","JAK2",0.484292435208951,0,0,"PTPRG_JAK2"
"518194","IL4R","JAK2",0.50076368042737,0,0,"IL4R_JAK2"
"518335","IL3RA","JAK2",0.504863055133569,0,0,"IL3RA_JAK2"
"532479","MAP2K6","MAPK12",-0.131258070514542,0.000113221567636268,0.000191429715010628,"MAP2K6_MAPK12"
"532642","TNFRSF17","MAPK12",-0.203587010629735,1.69249037007546e-09,3.95289249648139e-09,"TNFRSF17_MAPK12"
"543394","MAPK12","KRT8",-0.297455911817586,0,0,"MAPK12_KRT8"
"543554","DLGAP5","SHANK3",-0.424447750820851,0,0,"DLGAP5_SHANK3"
"544838","PCDH15","TMC1",-0.117564988695769,0.000550998380859813,0.000878920196373738,"PCDH15_TMC1"
"547050","PLK1","NPM1",0.380863181709701,0,0,"PLK1_NPM1"
"557357","NME2","KCNN4",0.262521301457646,5.10702591327572e-15,1.58286077609924e-14,"NME2_KCNN4"
"561474","PRKDC","H2AX",0.407462385594514,0,0,"PRKDC_H2AX"
"565486","MAPK12","JUNB",0.329986853257702,0,0,"MAPK12_JUNB"
"574931","OTX1","BEST1",-0.323034094691405,0,0,"OTX1_BEST1"
"579491","NR2F1","PCDH19",-0.0803432907259462,0.0184475067607925,0.0252378299104605,"NR2F1_PCDH19"
"584784","SHANK3","GRIA1",0.726170644129707,0,0,"SHANK3_GRIA1"
"589609","AHSP","HBA1",0.760885824643176,0,0,"AHSP_HBA1"
"589754","EIF2AK1","HBA1",-0.256208779899676,2.35367281220533e-14,7.06869057917121e-14,"EIF2AK1_HBA1"
"589818","FGF2","HBA1",0.28917615915378,0,0,"FGF2_HBA1"
"597945","SPI1","OSCAR",0.88185738245051,0,0,"SPI1_OSCAR"
