"","source","target","correlation","pval","pval_adj","comb"
"708","PAX3","FGFR4",-0.135714293858556,8.27296808303402e-05,0.000127057162712446,"PAX3_FGFR4"
"4358","CHEK2","TTK",0.704116066368664,0,0,"CHEK2_TTK"
"9183","PKP2","DSP",0.285321774517479,0,0,"PKP2_DSP"
"12255","PTPRB","CDH5",0.757729845399401,0,0,"PTPRB_CDH5"
"16657","EVX1","GSC",0.270928333380821,1.55431223447522e-15,4.05322373757486e-15,"EVX1_GSC"
"22053","TP63","SYNE3",-0.573778748905536,0,0,"TP63_SYNE3"
"28976","NEK2","NDC80",0.719551309486863,0,0,"NEK2_NDC80"
"32402","BRDT","EIF4EBP1",0.0783021039706631,0.0235685643094548,0.0297574746410611,"BRDT_EIF4EBP1"
"40337","CHEK1","PLK1",0.783987250415069,0,0,"CHEK1_PLK1"
"40453","MAP3K8","PLK1",-0.568429042489012,0,0,"MAP3K8_PLK1"
"41434","RPS6KA2","L1CAM",-0.154253988271994,7.45676509361637e-06,1.2242265727371e-05,"RPS6KA2_L1CAM"
"44222","HOXA11","PRL",-0.0949123295431828,0.00602607528801391,0.00803611890852162,"HOXA11_PRL"
"44370","MSX2","DLX5",0.183358626010159,9.34789219364518e-08,1.71041737855623e-07,"MSX2_DLX5"
"46038","PLK1","GTSE1",0.767659729267854,0,0,"PLK1_GTSE1"
"47586","HNF4G","AFP",0.0968023852800561,0.00508963785403571,0.00682985384249004,"HNF4G_AFP"
"48105","CXCL2","CXCR2",0.260888317435599,1.77635683940025e-14,4.44140151532389e-14,"CXCL2_CXCR2"
"48284","BCL11A","HBG1",-0.103383860987627,0.00276470342455637,0.00379391623367213,"BCL11A_HBG1"
"49258","MSX2","DLX2",0.27237995788446,1.11022302462516e-15,2.91076984173429e-15,"MSX2_DLX2"
"51658","PRL","LPL",0.197171838720637,8.97949514744312e-09,1.73340683616145e-08,"PRL_LPL"
"68272","FBXO45","ZEB2",-0.626762246848223,0,0,"FBXO45_ZEB2"
"80485","PLK1","CDC20",0.812475058790188,0,0,"PLK1_CDC20"
"84903","LHX3","ISL1",0.182487945657171,1.07730258491756e-07,1.96475913014949e-07,"LHX3_ISL1"
"86206","GATA6","CDX2",-0.137323266237822,6.79179791298612e-05,0.000104913139501258,"GATA6_CDX2"
"91909","PITX1","GNRH1",-0.269072965445391,2.44249065417534e-15,6.32162791700231e-15,"PITX1_GNRH1"
"93544","HOXC13","FOXN1",0.175405138314679,3.33190695922525e-07,5.91561297558806e-07,"HOXC13_FOXN1"
"98426","CHEK2","CDC25C",0.611624655906479,0,0,"CHEK2_CDC25C"
"98497","CHEK1","CDC25C",0.703036580735421,0,0,"CHEK1_CDC25C"
"98631","PLK1","CDC25C",0.710092873558387,0,0,"PLK1_CDC25C"
"99286","CENPE","MAD2L1",0.653062962277714,0,0,"CENPE_MAD2L1"
"99329","TTK","MAD2L1",0.712179862804295,0,0,"TTK_MAD2L1"
"102626","SOHLH1","ZP3",0.140585301382232,4.52243076631831e-05,7.06764576134516e-05,"SOHLH1_ZP3"
"104637","SMOC1","SPP1",0.0721920089498537,0.036893929354636,0.0456875158861118,"SMOC1_SPP1"
"112683","TP63","PERP",0.609828810585454,0,0,"TP63_PERP"
"113216","FLI1","GP9",0.471285229862754,0,0,"FLI1_GP9"
"113531","PAX3","MEOX2",-0.114271299497127,0.000933272789028994,0.00132955425246009,"PAX3_MEOX2"
"113897","ZEB2","MEOX2",0.680230221905161,0,0,"ZEB2_MEOX2"
"118626","PLK1","BORA",0.698990021597867,0,0,"PLK1_BORA"
"120090","PLK1","KIF2C",0.804694803923331,0,0,"PLK1_KIF2C"
"124869","SOX2","NR2E1",0.122505752639576,0.000384981788714933,0.000564317191460854,"SOX2_NR2E1"
"136865","FGF2","FGFR3",-0.122029779013996,0.000405815532943388,0.000593856453944457,"FGF2_FGFR3"
"143446","BMP7","DLK1",0.0740728663964413,0.0322372897548049,0.0401619306566111,"BMP7_DLK1"
"145738","TPX2","KIF11",0.797988642160671,0,0,"TPX2_KIF11"
"148014","AGRP","MC4R",-0.0731000751313373,0.0345788275068784,0.0429460274647924,"AGRP_MC4R"
"153137","IL31","IL31RA",0.111527709606136,0.00123819926504209,0.0017474277682233,"IL31_IL31RA"
"157165","DLGAP5","SHANK3",-0.642237779258592,0,0,"DLGAP5_SHANK3"
"157863","PCDH15","TMC1",-0.140347828986528,4.65973312131496e-05,7.2757529265906e-05,"PCDH15_TMC1"
"164920","OTX1","BEST1",-0.35225407874667,0,0,"OTX1_BEST1"
"165030","PAX3","PITX2",0.0924344191432535,0.00748750983947866,0.00990458178054432,"PAX3_PITX2"
"166790","NR2F1","PCDH19",-0.25446082146313,8.03801469828613e-14,1.95636262233444e-13,"NR2F1_PCDH19"
"168472","SHANK3","GRIA1",0.721224304347183,0,0,"SHANK3_GRIA1"
"170496","AHSP","HBA1",0.768675859098313,0,0,"AHSP_HBA1"
"170598","FGF2","HBA1",0.28083781324321,0,0,"FGF2_HBA1"
"172071","CHEK2","RASGRF1",-0.364820592711793,0,0,"CHEK2_RASGRF1"
"178485","PCDH19","GABRA5",0.175853904531534,3.10599208130924e-07,5.52350098213886e-07,"PCDH19_GABRA5"
"181788","PLK1","CDCA5",0.845348667491161,0,0,"PLK1_CDCA5"
"184352","EPX","PRG2",0.892350023190675,0,0,"EPX_PRG2"
"185754","PTPRB","KDR",0.799824374458153,0,0,"PTPRB_KDR"
"190116","CHEK2","BRCA1",0.643080865351795,0,0,"CHEK2_BRCA1"
"190178","BRIP1","BRCA1",0.792674627671111,0,0,"BRIP1_BRCA1"
"190367","RBBP8","BRCA1",0.503197498211378,0,0,"RBBP8_BRCA1"
"190432","ASPM","BRCA1",0.798490696973776,0,0,"ASPM_BRCA1"
"192547","NR2F1","LHCGR",0.222274619272882,8.10591593847221e-11,1.72842203518277e-10,"NR2F1_LHCGR"
"197485","SOX11","SPAST",0.107782556543484,0.00180347421440152,0.00251291640734023,"SOX11_SPAST"
"205721","SMO","OPALIN",-0.129418581410414,0.000175319635659532,0.000263349621820844,"SMO_OPALIN"
"206483","CHEK2","FOXM1",0.621403819535514,0,0,"CHEK2_FOXM1"
"206688","PLK1","FOXM1",0.741071683375215,0,0,"PLK1_FOXM1"
"207717","CAPN3","CDK5R1",-0.45858383249398,0,0,"CAPN3_CDK5R1"
