"","source","target","correlation","pval","pval_adj","comb"
"7795","SOSTDC1","BMP7",0.176433391349659,0.000916427853195234,0.00141229780252763,"SOSTDC1_BMP7"
"10390","ULK1","ENO1",-0.557696266983527,0,0,"ULK1_ENO1"
"11007","MUC1","KLF4",0.545253168558476,0,0,"MUC1_KLF4"
"14690","CHEK2","TTK",0.761807504535259,0,0,"CHEK2_TTK"
"15177","BMP7","ACVR2B",-0.176647412466097,0.000903123960652508,0.00139260927161095,"BMP7_ACVR2B"
"18110","CHEK2","PML",0.55907175526938,0,0,"CHEK2_PML"
"18960","SOSTDC1","WNT7A",0.286811637193001,4.71519157052569e-08,1.0104417147127e-07,"SOSTDC1_WNT7A"
"19204","ULK1","FBP1",-0.383475634314594,1.04805053524615e-13,3.27577452664652e-13,"ULK1_FBP1"
"21983","VPS18","PLK2",0.334658860780109,1.32144073461404e-10,3.36465295001247e-10,"VPS18_PLK2"
"22873","F2RL2","GNAI1",0.240623661126526,5.29828591977477e-06,9.79934739868408e-06,"F2RL2_GNAI1"
"22926","P2RY12","GNAI1",0.176047790383913,0.000940854772240041,0.00144850046821913,"P2RY12_GNAI1"
"22941","HTR1D","GNAI1",0.189242408424494,0.000370916608381844,0.000591727082751713,"HTR1D_GNAI1"
"22954","GALR3","GNAI1",-0.23844051275268,6.48056890328874e-06,1.19073777254845e-05,"GALR3_GNAI1"
"22992","OXTR","GNAI1",0.186976088277122,0.000437193654597046,0.000693170100882992,"OXTR_GNAI1"
"28992","SPI1","ANXA1",0.341023763778216,5.57660584377118e-11,1.45570749726641e-10,"SPI1_ANXA1"
"30150","CEBPE","LTF",0.140109499165398,0.00867021495686249,0.0121722970114172,"CEBPE_LTF"
"36283","FYN","FYB1",0.728601289725075,0,0,"FYN_FYB1"
"38271","SOSTDC1","WNT5B",0.363196967829742,2.36033415035308e-12,6.74849816285788e-12,"SOSTDC1_WNT5B"
"40970","GNAI1","CDC42",0.300254991154025,1.00486419185586e-08,2.2545091999812e-08,"GNAI1_CDC42"
"46209","CAMKK1","CAMK1D",0.475553523436089,0,0,"CAMKK1_CAMK1D"
"46432","SPI1","FLI1",0.642687995410238,0,0,"SPI1_FLI1"
"51002","IFNG","NOD2",0.16786275474299,0.00162388461769103,0.0024466173594829,"IFNG_NOD2"
"54852","FYN","JUP",0.223222862307123,2.50359799429667e-05,4.397635497345e-05,"FYN_JUP"
"56660","NLGN3","NRXN1",0.461859573641258,0,0,"NLGN3_NRXN1"
"62013","FYN","CLIC5",0.401834628628171,5.10702591327572e-15,1.73957141257018e-14,"FYN_CLIC5"
"79954","PROC","F5",0.194945346644129,0.00024320462748717,0.000394105928802819,"PROC_F5"
"86138","CAMK2D","CACNB2",-0.328590732314644,2.9535263124103e-10,7.34843045367404e-10,"CAMK2D_CACNB2"
"87549","NR1I2","CYP3A4",-0.126824110649007,0.0176076723377634,0.0239374080813233,"NR1I2_CYP3A4"
"89037","USP2","TGFBR1",-0.47169110424267,0,0,"USP2_TGFBR1"
"91489","NEK2","NDC80",0.775096715353023,0,0,"NEK2_NDC80"
"96294","CAMKK1","CAMK4",-0.283608570792536,6.73555711205864e-08,1.42790412040128e-07,"CAMKK1_CAMK4"
"97013","RARA","SLCO1B3",0.202907952377693,0.000132204154900117,0.000219040621214458,"RARA_SLCO1B3"
"97742","IFNG","HLA.B",0.404722783245648,3.10862446895044e-15,1.0727471865595e-14,"IFNG_HLA.B"
"103301","PTPRH","INSR",-0.376018992428883,3.37951888695898e-13,1.02146852693261e-12,"PTPRH_INSR"
"108117","FYN","PGD",0.514101281573413,0,0,"FYN_PGD"
"110032","PTCRA","ZAP70",0.747925933421565,0,0,"PTCRA_ZAP70"
"110041","RHOH","ZAP70",0.93832883139963,0,0,"RHOH_ZAP70"
"119603","CDC42","BAIAP2",0.43133448934703,0,0,"CDC42_BAIAP2"
"120367","SPI1","ITGAM",0.807901716606796,0,0,"SPI1_ITGAM"
"130032","FYN","LCP2",0.802735049616238,0,0,"FYN_LCP2"
"130265","ZAP70","LCP2",0.628863470173574,0,0,"ZAP70_LCP2"
"131053","FYN","WAS",0.838822024889037,0,0,"FYN_WAS"
"131103","CDC42","WAS",0.397409236250543,1.08801856413265e-14,3.62725466042624e-14,"CDC42_WAS"
"131947","STAT1","NOS2",0.184917597109567,0.000506774497898377,0.000798971635657767,"STAT1_NOS2"
"135494","PPP4C","PLK1",0.714768134198876,0,0,"PPP4C_PLK1"
"139455","TNFRSF10C","TNFSF10",0.199856894094612,0.000167455376932857,0.000275101446971006,"TNFRSF10C_TNFSF10"
"140265","ANXA3","CASP3",0.600074506607074,0,0,"ANXA3_CASP3"
"150349","HOXA11","PRL",-0.125142499287528,0.0191786344628664,0.025966235093483,"HOXA11_PRL"
"150646","MSX2","DLX5",0.347276635464852,2.34365860052321e-11,6.27362180961740e-11,"MSX2_DLX5"
"156483","PLK1","GTSE1",0.821524149251179,0,0,"PLK1_GTSE1"
"158999","CAMK2D","KCNQ1",-0.414449878408899,4.44089209850063e-16,1.60787796174455e-15,"CAMK2D_KCNQ1"
"167999","CXCL8","CXCR2",0.501325121948536,0,0,"CXCL8_CXCR2"
"174981","SOSTDC1","BMP4",0.28221576648888,7.85441420791955e-08,1.65738733804618e-07,"SOSTDC1_BMP4"
"176952","FYN","FCGR2A",0.577197121066101,0,0,"FYN_FCGR2A"
"181202","UCHL1","UBC",0.153806516286361,0.00392229364790753,0.00569831615366022,"UCHL1_UBC"
"192127","FYN","CTLA4",0.766702164522115,0,0,"FYN_CTLA4"
"195287","CDC42","NFATC1",0.113876422729551,0.0331927484754462,0.0437584115150954,"CDC42_NFATC1"
"195779","PROC","F7",0.3552342397905,7.56061879769732e-12,2.090806074603e-11,"PROC_F7"
"195812","F10","F7",0.508693133177912,0,0,"F10_F7"
"195864","HPN","F7",-0.116439493817507,0.0294057155059415,0.0389989536166808,"HPN_F7"
"207762","SPI1","EGR2",0.546504265321692,0,0,"SPI1_EGR2"
"208747","UBE4B","FEZ1",-0.562368979979812,0,0,"UBE4B_FEZ1"
"210207","WT1","NPHS1",-0.372914434964378,5.45341549695877e-13,1.62600613522795e-12,"WT1_NPHS1"
"223215","CCL7","CCR1",0.442394067191521,0,0,"CCL7_CCR1"
"223402","CCL5","CCR1",0.719748596093837,0,0,"CCL5_CCR1"
"240626","CHEK2","RB1",0.367171147633146,1.30429000932963e-12,3.79286629847608e-12,"CHEK2_RB1"
"240654","CTDSPL","RB1",0.474419198940343,0,0,"CTDSPL_RB1"
"251369","CYCS","CASP9",-0.193540224768628,0.000270159887343802,0.000436081487518533,"CYCS_CASP9"
"251517","CASP3","CASP9",-0.27456871443627,1.79915616183024e-07,3.70169408993836e-07,"CASP3_CASP9"
"251932","FYN","CDK5",0.295989472269579,1.65542008989661e-08,3.65946597015263e-08,"FYN_CDK5"
"257659","SDCBP","SOX4",0.605147131500352,0,0,"SDCBP_SOX4"
"264138","FYN","CD300LF",0.518378500537857,0,0,"FYN_CD300LF"
"268809","CASP3","GAS2",-0.552749157659704,0,0,"CASP3_GAS2"
"275762","CDH11","CTNNA1",0.507534306113732,0,0,"CDH11_CTNNA1"
"284403","PLK1","CDC20",0.883250786317712,0,0,"PLK1_CDC20"
"291414","CDK5","KIF13B",0.24344327493232,4.07310186356646e-06,7.59767949376483e-06,"CDK5_KIF13B"
"294809","IFNG","IFNGR2",0.199967852435512,0.000166032246948777,0.000272853087583964,"IFNG_IFNGR2"
"300162","FYN","SLAMF1",0.790784808805814,0,0,"FYN_SLAMF1"
"315508","TFEB","NDUFA13",0.729838744695574,0,0,"TFEB_NDUFA13"
"320683","SHANK1","ACTN1",0.16393132255291,0.00209275556064137,0.00312093208512223,"SHANK1_ACTN1"
"331602","CDK5","STMN3",0.600560922815811,0,0,"CDK5_STMN3"
"334224","CDH6","CTNNB1",0.493633487153453,0,0,"CDH6_CTNNB1"
"334262","CDH11","CTNNB1",0.703624583168013,0,0,"CDH11_CTNNB1"
"334390","FYN","CTNNB1",0.453837503631807,0,0,"FYN_CTNNB1"
"334571","CDH23","CTNNB1",-0.579774912139437,0,0,"CDH23_CTNNB1"
"334586","RARA","CTNNB1",0.580426077269458,0,0,"RARA_CTNNB1"
"334675","PLK1","CTNNB1",0.595571103635951,0,0,"PLK1_CTNNB1"
"334872","SOX4","CTNNB1",0.681276285021533,0,0,"SOX4_CTNNB1"
"344080","SOSTDC1","WNT2",0.135596865499933,0.0111027190547199,0.0154161931660615,"SOSTDC1_WNT2"
"349251","SATB1","IL23A",-0.46204837606587,0,0,"SATB1_IL23A"
"351639","CMA1","EDN1",0.122134962260566,0.0222938406398137,0.029968096048405,"CMA1_EDN1"
"355171","FOXJ1","TUBA1A",0.382579540029769,1.20792265079217e-13,3.76007900603625e-13,"FOXJ1_TUBA1A"
"365142","TPO","TG",0.29869429499737,1.20737384534664e-08,2.69428213797397e-08,"TPO_TG"
"379435","DLX5","RUNX2",0.612099824888828,0,0,"DLX5_RUNX2"
"379558","FGF2","RUNX2",0.401659627841294,5.32907051820075e-15,1.81208643546348e-14,"FGF2_RUNX2"
"379704","CTNNB1","RUNX2",0.736000780310775,0,0,"CTNNB1_RUNX2"
"379828","SPI1","CD68",0.817034268438628,0,0,"SPI1_CD68"
"382815","CAMK4","STMN1",0.483340558408314,0,0,"CAMK4_STMN1"
"383086","CDK5","STMN1",0.655294817868142,0,0,"CDK5_STMN1"
"384813","TFEB","CTSD",0.4620741524636,0,0,"TFEB_CTSD"
"385601","SNAI2","CCND1",0.366319172937398,1.48192569326966e-12,4.29386486894918e-12,"SNAI2_CCND1"
"385822","CTNNB1","CCND1",0.501871923651578,0,0,"CTNNB1_CCND1"
"387861","SATB1","HSPA6",-0.125208202118332,0.0191150379803062,0.0258842095056791,"SATB1_HSPA6"
"392144","CXCL8","CXCR1",0.512426323999139,0,0,"CXCL8_CXCR1"
"399326","CHEK2","MDM4",-0.423247951780096,0,0,"CHEK2_MDM4"
"400220","CHEK2","CDC25C",0.762001646682237,0,0,"CHEK2_CDC25C"
"400587","PLK1","CDC25C",0.873858290758338,0,0,"PLK1_CDC25C"
"401032","SPI1","FCGR1A",0.814419369263838,0,0,"SPI1_FCGR1A"
"402856","CENPE","MAD2L1",0.867248431717228,0,0,"CENPE_MAD2L1"
"402925","TTK","MAD2L1",0.869355560886957,0,0,"TTK_MAD2L1"
"411861","SLA","KIT",0.413114389428896,8.88178419700125e-16,3.16574921468964e-15,"SLA_KIT"
"414742","FYN","AGAP2",0.459061215806378,0,0,"FYN_AGAP2"
"415216","CDK5","AGAP2",0.148384425059394,0.00541080575888775,0.00775418157518629,"CDK5_AGAP2"
"416477","KLF4","SOD1",0.434394611273396,0,0,"KLF4_SOD1"
"416483","CHEK2","SOD1",0.600125410507304,0,0,"CHEK2_SOD1"
"416907","WT1","SOD1",0.144433202902497,0.00679684143199255,0.0096453639396475,"WT1_SOD1"
"417735","MMP7","SPP1",0.432368876097002,0,0,"MMP7_SPP1"
"417791","DLX5","SPP1",0.127761997983484,0.0167812442251445,0.0228652445300027,"DLX5_SPP1"
"418113","RUNX2","SPP1",0.247125886895903,2.87515412544792e-06,5.42390296249466e-06,"RUNX2_SPP1"
"424306","EGR2","GFI1",-0.48361099978692,0,0,"EGR2_GFI1"
"437178","RHOBTB3","CCNE1",-0.346986670206676,2.4408475240989e-11,6.52629980089556e-11,"RHOBTB3_CCNE1"
"444279","BMP7","PPARG",0.198850146893304,0.00018090009745042,0.000296335685063932,"BMP7_PPARG"
"444431","WNT5B","PPARG",0.247236958226789,2.84486584201105e-06,5.36869522038664e-06,"WNT5B_PPARG"
"444736","ASXL1","PPARG",-0.50047513958082,0,0,"ASXL1_PPARG"
"444840","TFEB","PPARG",0.220171003222713,3.2473457733051e-05,5.65321974762495e-05,"TFEB_PPARG"
"444972","CTNNB1","PPARG",0.595949408166936,0,0,"CTNNB1_PPARG"
"448387","INSR","BLVRA",-0.479136597178268,0,0,"INSR_BLVRA"
"452436","CDK5","EZR",0.370611275454839,7.75379760398209e-13,2.2889519518761e-12,"CDK5_EZR"
"454983","FERMT3","ITGB3",0.253018174206858,1.62800264114082e-06,3.12713250473217e-06,"FERMT3_ITGB3"
"455370","PLAUR","ITGB3",0.396213446906991,1.33226762955019e-14,4.41513900607014e-14,"PLAUR_ITGB3"
"457651","TP63","PERP",0.416152314209454,4.44089209850063e-16,1.60787796174455e-15,"TP63_PERP"
"466626","CASP3","PSEN1",0.764902241235304,0,0,"CASP3_PSEN1"
"466806","CDK5","PSEN1",0.445891771224868,0,0,"CDK5_PSEN1"
"482886","CAMK2D","VIM",0.303563040839517,6.78469991299835e-09,1.54006825501279e-08,"CAMK2D_VIM"
"483175","PLK1","VIM",0.301414678102539,8.76098016355797e-09,1.97360677906042e-08,"PLK1_VIM"
"485142","PLK1","KIF2C",0.819693568529377,0,0,"PLK1_KIF2C"
"492145","MLLT3","SCNN1A",0.318952560988777,1.02213437713772e-09,2.45218736079884e-09,"MLLT3_SCNN1A"
"519189","PRKCQ","GRM5",-0.159699983822018,0.0027329700627361,0.00403092365317499,"PRKCQ_GRM5"
"520947","FYN","DCBLD2",0.205393881102944,0.000108762746466651,0.00018145864480214,"FYN_DCBLD2"
"528086","CXCL9","CXCR3",0.293910289210378,2.10527493216262e-08,4.62113623155236e-08,"CXCL9_CXCR3"
"531494","TNFSF10","TNFRSF10A",0.305867258190813,5.14573539334151e-09,1.17758752899578e-08,"TNFSF10_TNFRSF10A"
"534748","TFEB","ACACB",-0.323107242897623,6.01760197227463e-10,1.46633445381186e-09,"TFEB_ACACB"
"543863","FGF1","FGFR3",-0.263311823071805,5.82456235465045e-07,1.15572334251697e-06,"FGF1_FGFR3"
"544076","FGF2","FGFR3",-0.371093464098924,7.20312698376802e-13,2.13077899782547e-12,"FGF2_FGFR3"
"546586","PRKACB","PHKA2",-0.437513341271969,0,0,"PRKACB_PHKA2"
"558006","ETV3","DUSP6",0.590593088280367,0,0,"ETV3_DUSP6"
"558819","PTPRC","LYN",0.581289793631473,0,0,"PTPRC_LYN"
"574043","LYN","RGS16",0.215117445066695,4.95613154729568e-05,8.50192188992083e-05,"LYN_RGS16"
"574751","RB1","E2F2",0.41507237584802,4.44089209850063e-16,1.60787796174455e-15,"RB1_E2F2"
"577635","TPX2","KIF11",0.87481613180164,0,0,"TPX2_KIF11"
"588472","FERMT3","FBLIM1",0.656195567088997,0,0,"FERMT3_FBLIM1"
"588714","FERMT1","FBLIM1",0.520679571058794,0,0,"FERMT1_FBLIM1"
"590014","CLK4","MITF",-0.471722210490001,0,0,"CLK4_MITF"
"594701","STAT1","CIITA",0.416557982361395,4.44089209850063e-16,1.60787796174455e-15,"STAT1_CIITA"
"596600","SOD1","EIF2AK3",-0.519882071520059,0,0,"SOD1_EIF2AK3"
"612408","FYN","VAV1",0.66582523927133,0,0,"FYN_VAV1"
"620514","KCNJ8","NLRP3",-0.321246495554382,7.63669572023673e-10,1.84784138358621e-09,"KCNJ8_NLRP3"
"631551","MMP2","TGFB1",0.565233549646225,0,0,"MMP2_TGFB1"
"631562","FBN1","TGFB1",0.46029168338123,0,0,"FBN1_TGFB1"
"631799","FGF2","TGFB1",0.271541880883201,2.4805151777052e-07,5.05330084775405e-07,"FGF2_TGFB1"
"633155","PCDHA10","PCDHGB2",-0.192778616418186,0.000285910945927892,0.000460544149916926,"PCDHA10_PCDHGB2"
"645686","PROX1","RORC",0.531808454482729,0,0,"PROX1_RORC"
"650737","CSF2","CSF2RA",0.321174686288196,7.7069906012639e-10,1.86433417875289e-09,"CSF2_CSF2RA"
"668456","HIC1","EPHA2",0.215764895803033,4.69739731754348e-05,8.07337535588368e-05,"HIC1_EPHA2"
"668700","EFNA3","EPHA2",0.246354216779899,3.09424797073632e-06,5.82338247891765e-06,"EFNA3_EPHA2"
"675316","NFATC2","MYOF",0.210947435055077,6.97339854935919e-05,0.00011820133009042,"NFATC2_MYOF"
"686278","SPI1","OSCAR",0.845789272654324,0,0,"SPI1_OSCAR"
"687494","PBK","PRDX1",0.653604446956598,0,0,"PBK_PRDX1"
"693201","TGFB1","COL4A1",0.606228144860095,0,0,"TGFB1_COL4A1"
"700025","RUNX2","TNFSF11",0.526835774498843,0,0,"RUNX2_TNFSF11"
"702447","MYCN","ABCB1",0.304129371306751,6.34035202118355e-09,1.44207086562702e-08,"MYCN_ABCB1"
"703815","EFNA3","EPHA4",0.1454802447112,0.00640158719135719,0.00910826750197061,"EFNA3_EPHA4"
"705381","RNF183","ATP1B1",0.726990310341469,0,0,"RNF183_ATP1B1"
"709307","GPSM3","GNB1",0.475557507257616,0,0,"GPSM3_GNB1"
"719922","PLK1","CDCA5",0.819321212704259,0,0,"PLK1_CDCA5"
"722970","IL34","CSF1R",0.479988306509748,0,0,"IL34_CSF1R"
"723822","CTNNB1","CLDN2",0.396022305282071,1.37667655053519e-14,4.55801667471766e-14,"CTNNB1_CLDN2"
"732892","FYN","TGFB1I1",0.508682046538602,0,0,"FYN_TGFB1I1"
"740940","TFAP2A","ADM",0.454382694060676,0,0,"TFAP2A_ADM"
"762150","CHEK2","BRCA1",0.623357267856226,0,0,"CHEK2_BRCA1"
"762252","BRIP1","BRCA1",0.525229658598933,0,0,"BRIP1_BRCA1"
"762526","CASP3","BRCA1",0.627278381202955,0,0,"CASP3_BRCA1"
"762732","ASPM","BRCA1",0.769997019753358,0,0,"ASPM_BRCA1"
"778351","SOX2","ABCC6",-0.229441468097842,1.45713732422337e-05,2.60630771509799e-05,"SOX2_ABCC6"
"781981","STAT1","SOCS3",0.233853531876564,9.83375959862087e-06,1.78202952818968e-05,"STAT1_SOCS3"
"784484","STAT1","S100A10",0.392869493215308,2.30926389122033e-14,7.53517351606601e-14,"STAT1_S100A10"
"784659","IFNG","S100A10",0.111487822651549,0.0370885260598188,0.0486183868282426,"IFNG_S100A10"
"787191","FLI1","IL10",0.348703129923928,1.91791027503996e-11,5.16335486331999e-11,"FLI1_IL10"
"792148","FYN","CNN1",0.184254941691497,0.000531274874380872,0.000836108222311036,"FYN_CNN1"
"800817","SPI1","ACP5",0.779316308586502,0,0,"SPI1_ACP5"
"801832","MITF","ACP5",0.355518186037737,7.25730586736972e-12,2.00930952709418e-11,"MITF_ACP5"
"802041","ASB2","FLNA",0.812311406380101,0,0,"ASB2_FLNA"
"803097","FBLIM1","FLNA",0.420062986840558,2.22044604925031e-16,8.22238409665851e-16,"FBLIM1_FLNA"
"814881","CHEK2","FOXM1",0.591467315546521,0,0,"CHEK2_FOXM1"
"815248","PLK1","FOXM1",0.834365836075442,0,0,"PLK1_FOXM1"
"816593","CTSG","F2R",0.218791935959593,3.64804240340355e-05,6.32500450609539e-05,"CTSG_F2R"
"821832","CDK5","CDK5R1",0.385314636957708,7.8159700933611e-14,2.46331965998737e-13,"CDK5_CDK5R1"
