"","source","target","correlation","pval","pval_adj","comb"
"1133","PAX3","FGFR4",0.210499583569465,6.64811561357226e-08,1.54752735291283e-07,"PAX3_FGFR4"
"6673","KRT1","MPO",0.355933792053449,0,0,"KRT1_MPO"
"11385","LRIG1","ERBB3",0.638462109981638,0,0,"LRIG1_ERBB3"
"14900","PLK3","TOP2A",-0.164763479370949,2.57185167282792e-05,4.9063614003926e-05,"PLK3_TOP2A"
"17866","SMAD6","SMAD3",0.561545817382462,0,0,"SMAD6_SMAD3"
"20269","FYN","PTPRT",-0.147376477554299,0.000170532946561552,0.00030256984841041,"FYN_PTPRT"
"20409","DLGAP5","SHANK1",-0.0883336211485638,0.0247568218854324,0.0347057337707189,"DLGAP5_SHANK1"
"30141","NLGN2","NRXN1",0.342330121062521,0,0,"NLGN2_NRXN1"
"36995","TP63","SYNE3",0.155440036235026,7.27119597931924e-05,0.000133410686023207,"TP63_SYNE3"
"39739","PTX3","CFH",0.180637162548981,3.83114842916754e-06,7.82113988834997e-06,"PTX3_CFH"
"98915","F10","F7",0.725018938654879,0,0,"F10_F7"
"98962","HPN","F7",-0.319221303848551,0,0,"HPN_F7"
"108049","FYN","MAG",0.37663841694722,0,0,"FYN_MAG"
"115787","MAP2K6","HSF4",-0.181107082670288,3.61171019047646e-06,7.38888836042289e-06,"MAP2K6_HSF4"
"118337","HSF4","DNASE2B",-0.167540612218663,1.86604082350605e-05,3.60258937649959e-05,"HSF4_DNASE2B"
"127934","FYN","CDK5",-0.433288632488721,0,0,"FYN_CDK5"
"141753","CDK5","DNM1",-0.386425049758535,0,0,"CDK5_DNM1"
"144924","PPARGC1A","CAV3",0.241220075549738,5.26320320659579e-10,1.40909425674866e-09,"PPARGC1A_CAV3"
"147802","TBX1","FLT4",-0.183624031828255,2.62656205674006e-06,5.43281546125265e-06,"TBX1_FLT4"
"158593","GATA6","CDX2",-0.0922061772134428,0.0190772746308139,0.0271517212583947,"GATA6_CDX2"
"172711","PITX1","GNRH1",0.366757414665687,0,0,"PITX1_GNRH1"
"177279","CDX2","TFF3",0.14920823452568,0.000141039549319988,0.000252125664213275,"CDX2_TFF3"
"180771","PPARGC1A","ALDOB",0.130628861973484,0.000874805111569454,0.00145000167804794,"PPARGC1A_ALDOB"
"181693","SMAD3","RUNX2",0.590646294727084,0,0,"SMAD3_RUNX2"
"181944","TWIST2","RUNX2",0.388903695122092,0,0,"TWIST2_RUNX2"
"181986","FGF2","RUNX2",0.216939361211687,2.55282317507266e-08,6.1167097237557e-08,"FGF2_RUNX2"
"192532","PLK3","CDC25C",-0.189923768891161,1.16102097980075e-06,2.46779949157201e-06,"PLK3_CDC25C"
"193824","CENPE","MAD2L1",0.828757264924938,0,0,"CENPE_MAD2L1"
"193869","TTK","MAD2L1",0.534994555812209,0,0,"TTK_MAD2L1"
"199445","FGFR4","GLO1",-0.272716446839532,1.76125780626535e-12,5.48029352972553e-12,"FGFR4_GLO1"
"199626","FGR","GLO1",-0.358642710536792,0,0,"FGR_GLO1"
"199941","FLT4","GLO1",-0.338449101224568,0,0,"FLT4_GLO1"
"217475","PAX3","MEOX2",0.26622278513504,6.07602856916856e-12,1.83287264866923e-11,"PAX3_MEOX2"
"217961","ZEB2","MEOX2",0.527021123305736,0,0,"ZEB2_MEOX2"
"218780","FGF13","SCN3A",-0.202344188428345,2.14085544403275e-07,4.80394601936001e-07,"FGF13_SCN3A"
"235483","KAT2A","H3.4",0.320570458201168,0,0,"KAT2A_H3.4"
"246241","SMAD3","FOXA1",-0.625118693310516,0,0,"SMAD3_FOXA1"
"264797","FYN","GRIN2B",0.381365917777827,0,0,"FYN_GRIN2B"
"272218","TPX2","KIF11",0.832588675360623,0,0,"TPX2_KIF11"
"296173","DLGAP5","SHANK3",-0.210706028682476,6.45021254186418e-08,1.5027435333077e-07,"DLGAP5_SHANK3"
"299776","PCDHA10","PCDHGB2",0.118335186210556,0.00259160461441832,0.00408877964370822,"PCDHA10_PCDHGB2"
"309150","OTX1","BEST1",-0.239982250192786,6.48324505192477e-10,1.72578727163763e-09,"OTX1_BEST1"
"309296","PAX3","PITX2",0.822817969088858,0,0,"PAX3_PITX2"
"311465","HIC1","EPHA2",0.23371677333882,1.82993420416722e-09,4.73278517293293e-09,"HIC1_EPHA2"
"316242","CAMK2G","GRIA1",0.451482681077632,0,0,"CAMK2G_GRIA1"
"316386","SHANK3","GRIA1",0.600119765249324,0,0,"SHANK3_GRIA1"
"324050","EIF2AK1","HBA1",-0.293722944863081,2.53130849614536e-14,8.72322297431088e-14,"EIF2AK1_HBA1"
"324093","FGF2","HBA1",0.193646586222398,7.07441935698938e-07,1.528215768004e-06,"FGF2_HBA1"
"324156","HOXB6","HBA1",0.102743475940544,0.00896872724446007,0.0133001679265752,"HOXB6_HBA1"
"333027","CDK5","PPP1R1A",-0.175036825525635,7.64817381604388e-06,1.52472468633372e-05,"CDK5_PPP1R1A"
"338760","CDK5","CRMP1",-0.271948856287884,2.04236627610044e-12,6.33130994142263e-12,"CDK5_CRMP1"
"347530","FYN","TGFB1I1",0.552005027651132,0,0,"FYN_TGFB1I1"
"351220","VEGFA","KDR",0.228316749899815,4.37165992295263e-09,1.10340665395432e-08,"VEGFA_KDR"
"362146","PPARGC1A","NR1D1",0.331407613895966,0,0,"PPARGC1A_NR1D1"
"362434","RORA","NR1D1",0.464469955042852,0,0,"RORA_NR1D1"
"365983","NR2F1","LHCGR",0.165730413804032,2.30139753671921e-05,4.40890747887984e-05,"NR2F1_LHCGR"
"377315","FYN","CNN1",0.292757748111142,3.10862446895044e-14,1.06605593040745e-13,"FYN_CNN1"
"384145","ASB2","FLNA",0.897487225157887,0,0,"ASB2_FLNA"
"384753","CAMK2G","FLNA",0.913414881540303,0,0,"CAMK2G_FLNA"
"414638","PITX1","POU1F1",0.195518306675961,5.49453513798426e-07,1.19655121960274e-06,"PITX1_POU1F1"
"415270","LHX4","POU1F1",0.23127430151673,2.72060551864683e-09,6.95870264477304e-09,"LHX4_POU1F1"
"416953","PCDHA10","PCDHGA7",0.132017230482102,0.000769177844307078,0.0012821103652049,"PCDHA10_PCDHGA7"
"420963","LRIG1","CBLC",0.221330889717272,1.30640323003917e-08,3.19364483198122e-08,"LRIG1_CBLC"
"431028","IRX1","PTGER1",0.0952005322398033,0.0155000078030625,0.0223209907642548,"IRX1_PTGER1"
"433375","MST1","MST1R",0.42167962141045,0,0,"MST1_MST1R"
"441018","CAMK2G","MYLK",0.804692261828103,0,0,"CAMK2G_MYLK"
"444496","MAP3K8","MAP3K14",0.615857550881839,0,0,"MAP3K8_MAP3K14"
"454890","SEMA3B","PLXNA2",0.531573272286523,0,0,"SEMA3B_PLXNA2"
"454971","GATA6","PLXNA2",0.470485127859372,0,0,"GATA6_PLXNA2"
"455531","SEMA3A","PLXNA2",0.333229916015022,0,0,"SEMA3A_PLXNA2"
"455548","MASP2","C4A",-0.196672542106952,4.6958412092124e-07,1.02787895029748e-06,"MASP2_C4A"
"456275","MASP1","C4A",-0.095954514803626,0.0146978677041125,0.0212274160644081,"MASP1_C4A"
"458793","GATA6","CYP17A1",0.134419103446441,0.000613877197892077,0.00103314228002334,"GATA6_CYP17A1"
