"","source","target","correlation","pval","pval_adj","comb"
"7345","FGFR4","STAT1",0.372496524711822,6.66133814775094e-15,1.70085305906741e-14,"FGFR4_STAT1"
"13145","ULK1","ENO1",-0.427527297868162,0,0,"ULK1_ENO1"
"19569","HMGB2","POU2F2",-0.303242192126507,3.80133258204296e-10,7.61891036046255e-10,"HMGB2_POU2F2"
"21293","CHEK2","TTK",0.851598994075475,0,0,"CHEK2_TTK"
"28545","ULK1","FBP1",-0.650368640462098,0,0,"ULK1_FBP1"
"31123","OXTR","DRD2",0.15955513525311,0.00120500532779122,0.00163222175615441,"OXTR_DRD2"
"34789","GPR35","GNAI1",-0.535570552399063,0,0,"GPR35_GNAI1"
"34867","P2RY12","GNAI1",0.432408937373559,0,0,"P2RY12_GNAI1"
"34885","HTR1D","GNAI1",-0.379787345372953,1.77635683940025e-15,4.65919128486573e-15,"HTR1D_GNAI1"
"34912","LPAR2","GNAI1",-0.553985946364442,0,0,"LPAR2_GNAI1"
"34963","OXTR","GNAI1",-0.259337883557399,1.03754253411026e-07,1.81985614308936e-07,"OXTR_GNAI1"
"34966","DRD2","GNAI1",-0.234891927718745,1.56132113282581e-06,2.55762898185471e-06,"DRD2_GNAI1"
"36955","LRIG1","ERBB3",-0.632795149204024,0,0,"LRIG1_ERBB3"
"40983","THPO","MPL",0.210844684939503,1.71224292477845e-05,2.63092952559378e-05,"THPO_MPL"
"46105","WNK4","STK39",0.470531632437612,0,0,"WNK4_STK39"
"48835","PKP2","DSP",0.857230123471187,0,0,"PKP2_DSP"
"54780","KLF4","SRF",-0.431933860586557,0,0,"KLF4_SRF"
"54890","PRKDC","SRF",-0.236684996156135,1.29212194788231e-06,2.127036350753e-06,"PRKDC_SRF"
"80155","IFNG","NOD2",0.176465781029757,0.000335713851184583,0.000473270652243407,"IFNG_NOD2"
"80378","CHEK2","PSME3",0.729658787300342,0,0,"CHEK2_PSME3"
"93112","NLGN2","NRXN1",0.576739446454994,0,0,"NLGN2_NRXN1"
"93149","NLGN3","NRXN1",0.871551275852479,0,0,"NLGN3_NRXN1"
"102221","RNF6","LIMK1",0.639339753300571,0,0,"RNF6_LIMK1"
"110960","PRKDC","PNPT1",0.687026475268958,0,0,"PRKDC_PNPT1"
"113689","ENO1","MYC",0.456725881252947,0,0,"ENO1_MYC"
"113800","SATB1","MYC",-0.259782990018772,9.84943824278162e-08,1.72976702922564e-07,"SATB1_MYC"
"113851","NDN","MYC",-0.281895342909168,6.56835585921556e-09,1.23138625831026e-08,"NDN_MYC"
"115420","EZH2","ALDH1A1",-0.490001651876521,0,0,"EZH2_ALDH1A1"
"120283","MYC","SHMT2",0.488687139094185,0,0,"MYC_SHMT2"
"131028","PTX3","CFH",0.237034230004216,1.24514443422541e-06,2.05163814705102e-06,"PTX3_CFH"
"137726","PROC","F5",0.158291569277255,0.0013194156717331,0.00178197377112883,"PROC_F5"
"138066","CSNK2A1","F5",0.328887168176749,8.99902374840167e-12,1.96366840912236e-11,"CSNK2A1_F5"
"140701","CSNK2A1","LIG1",0.651649288034271,0,0,"CSNK2A1_LIG1"
"145507","CSNK2A1","HSP90AB1",0.636950717663175,0,0,"CSNK2A1_HSP90AB1"
"151571","PPP4C","BANF1",0.760303457255318,0,0,"PPP4C_BANF1"
"157558","MYC","CDK4",0.560055670218142,0,0,"MYC_CDK4"
"158891","NEK2","NDC80",0.890216617166801,0,0,"NEK2_NDC80"
"168265","IFNG","HLA.B",0.275687492779733,1.43976188748951e-08,2.64920603704275e-08,"IFNG_HLA.B"
"168388","MYC","HLA.B",0.164797733822937,0.000821255788134412,0.00112604928918683,"MYC_HLA.B"
"173089","RPS6KA5","EIF4EBP1",-0.266889083752429,4.23634451962585e-08,7.59430440073295e-08,"RPS6KA5_EIF4EBP1"
"173094","CSNK2A1","EIF4EBP1",0.296721171316316,9.30865162729333e-10,1.8273201430948e-09,"CSNK2A1_EIF4EBP1"
"179606","PRKD1","CACNA1C",0.800055240930104,0,0,"PRKD1_CACNA1C"
"180205","PRKD1","PTRH2",-0.382422445165939,1.11022302462516e-15,2.9435753352806e-15,"PRKD1_PTRH2"
"193026","CSNK2A1","AQP4",-0.367566186430879,1.57651669496772e-14,3.9527981936347e-14,"CSNK2A1_AQP4"
"210450","IRF2BPL","PENK",0.378135129234514,2.22044604925031e-15,5.79819415262285e-15,"IRF2BPL_PENK"
"217592","STAT1","NOS2",0.382400675619119,1.11022302462516e-15,2.9435753352806e-15,"STAT1_NOS2"
"220587","MKNK1","EIF4E",-0.331628993053488,5.90327786653688e-12,1.30034287933283e-11,"MKNK1_EIF4E"
"220705","EIF4EBP1","EIF4E",0.35445356454575,1.49436019114546e-13,3.5692125950304e-13,"EIF4EBP1_EIF4E"
"222265","SLBP","H2AC14",0.313666190640161,8.66609006777708e-11,1.79637128053212e-10,"SLBP_H2AC14"
"222824","PPP4C","PLK1",0.630645989703402,0,0,"PPP4C_PLK1"
"223129","CHEK1","PLK1",0.885720023834215,0,0,"CHEK1_PLK1"
"223721","PRKDC","PDX1",0.484482609308346,0,0,"PRKDC_PDX1"
"230429","RPS6KA2","L1CAM",0.310613978455301,1.34417810215837e-10,2.75911998623988e-10,"RPS6KA2_L1CAM"
"230697","CSNK2A1","L1CAM",-0.333400043296749,4.48574510869548e-12,9.94241475669457e-12,"CSNK2A1_L1CAM"
"243072","CSNK2A1","SLC9A5",-0.456671601569646,0,0,"CSNK2A1_SLC9A5"
"248264","ULK1","DENND3",0.614746375798676,0,0,"ULK1_DENND3"
"250947","PLK1","GTSE1",0.892451001899901,0,0,"PLK1_GTSE1"
"254183","IFNG","RIPK2",0.361997550191026,4.13002965160558e-14,1.01425133994421e-13,"IFNG_RIPK2"
