"","source","target","correlation","pval","pval_adj","comb"
"11483","PKP2","DSP",0.418747041662425,0,0,"PKP2_DSP"
"17300","CAMKK1","CAMK1D",0.82532528813924,0,0,"CAMKK1_CAMK1D"
"19480","IFNG","NOD2",-0.167262374051563,7.18574284519491e-08,1.23704887437825e-07,"IFNG_NOD2"
"36383","NEK2","NDC80",0.813989608325007,0,0,"NEK2_NDC80"
"36869","PRKG2","HCN2",0.129856163555104,3.04571673619414e-05,4.56811769841948e-05,"PRKG2_HCN2"
"53275","MAP3K8","PLK1",-0.400057955013643,0,0,"MAP3K8_PLK1"
"64230","PLK1","GTSE1",0.79270520509554,0,0,"PLK1_GTSE1"
"67586","CXCL8","CXCR2",0.340922098103376,0,0,"CXCL8_CXCR2"
"67992","BCL11A","HBG1",0.208947940549526,1.41711087309204e-11,2.86220683152801e-11,"BCL11A_HBG1"
"73063","NHLH2","HES1",0.382160746826218,0,0,"NHLH2_HES1"
"77321","RARB","RXRA",-0.330015970584429,0,0,"RARB_RXRA"
"80104","CNKSR1","EPHB1",0.594704262973001,0,0,"CNKSR1_EPHB1"
"93370","CCL7","CCR1",0.482022812745098,0,0,"CCL7_CCR1"
"93495","CCL5","CCR1",0.652217802501323,0,0,"CCL5_CCR1"
"93854","PRKCQ","WIPF1",0.395006740654941,0,0,"PRKCQ_WIPF1"
"97308","PPY","NPY4R",-0.0686911748755343,0.0278704510066716,0.03429255038967,"PPY_NPY4R"
"118182","PLK1","CDC20",0.885597224614907,0,0,"PLK1_CDC20"
"119775","CDK5","DNM1",-0.252640277387488,2.22044604925031e-16,5.34434199991538e-16,"CDK5_DNM1"
"135660","CNP","MBP",0.53676442660498,0,0,"CNP_MBP"
"141310","CMA1","EDN1",0.38334055740625,0,0,"CMA1_EDN1"
"144291","NFIB","ETV5",-0.717828688291223,0,0,"NFIB_ETV5"
"146651","TPO","TG",0.0778037924254551,0.0127142282683734,0.0160800905903959,"TPO_TG"
"152903","CAMK4","STMN1",0.162990833940122,1.54587241008031e-07,2.61830086540961e-07,"CAMK4_STMN1"
"153087","CDK5","STMN1",0.484843990120175,0,0,"CDK5_STMN1"
"156288","PLK1","CDC25C",0.673375784128056,0,0,"PLK1_CDC25C"
"157706","CENPE","MAD2L1",0.759417992470557,0,0,"CENPE_MAD2L1"
"160770","MMP7","SPP1",-0.174882723132946,1.74417995602028e-08,3.09003331395967e-08,"MMP7_SPP1"
"160812","DLX5","SPP1",-0.277097556400047,0,0,"DLX5_SPP1"
"163279","CEBPA","GFI1",-0.30000806586336,0,0,"CEBPA_GFI1"
"172244","FERMT3","ITGB3",0.235644407600397,2.1316282072803e-14,4.79499351158369e-14,"FERMT3_ITGB3"
"172495","PLAUR","ITGB3",0.219743025553256,1.12931886064871e-12,2.3808819200409e-12,"PLAUR_ITGB3"
"174470","TP63","PERP",0.905251320196504,0,0,"TP63_PERP"
"183700","ACVR2A","ACVR1B",0.861891507489291,0,0,"ACVR2A_ACVR1B"
"183978","LRIG1","LRIG3",0.721225497636043,0,0,"LRIG1_LRIG3"
"187293","PLK1","KIF2C",0.821767900677731,0,0,"PLK1_KIF2C"
"188753","KLHL6","CDK2",0.213123463847917,5.41255928965256e-12,1.11152324531558e-11,"KLHL6_CDK2"
"204607","CXCL9","CXCR3",0.560273860372023,0,0,"CXCL9_CXCR3"
"209917","FGF1","FGFR3",-0.250943784914305,4.44089209850063e-16,1.0561302858523e-15,"FGF1_FGFR3"
"210891","CDK2","UHRF1",0.307452764248497,0,0,"CDK2_UHRF1"
"211217","NHLH2","MAOA",0.274179743172621,0,0,"NHLH2_MAOA"
"212459","MAD2L1BP","TRIP13",0.416288316300975,0,0,"MAD2L1BP_TRIP13"
"221295","FCN2","MASP1",0.134137863072448,1.64177616748251e-05,2.50073931469015e-05,"FCN2_MASP1"
"221382","COLEC11","MASP1",-0.209343981184133,1.29458666009441e-11,2.61879718171783e-11,"COLEC11_MASP1"
"226001","CLK4","MITF",-0.538109714147582,0,0,"CLK4_MITF"
"245584","CSF2","CSF2RA",0.101067219832287,0.0011949571653207,0.00162569562430797,"CSF2_CSF2RA"
"252274","OTX1","BEST1",-0.308414879495772,0,0,"OTX1_BEST1"
"252368","MITF","BEST1",0.549695696785033,0,0,"MITF_BEST1"
"260175","CDK2","PGR",-0.38105808702274,0,0,"CDK2_PGR"
"260888","ACVR1B","HBA1",0.445080129867107,0,0,"ACVR1B_HBA1"
"269470","CDK5","PPP1R1A",-0.133615811068916,1.77205451865614e-05,2.69426796439099e-05,"CDK5_PPP1R1A"
"277467","PLK1","CDCA5",0.817698212966721,0,0,"PLK1_CDCA5"
"293677","RORA","NR1D1",0.647575501635207,0,0,"RORA_NR1D1"
"295622","PRKCQ","ICAM3",0.632407187808419,0,0,"PRKCQ_ICAM3"
