"","source","target","correlation","pval","pval_adj","comb"
"3625","FGFR4","STAT1",0.233962796696595,3.31961880206677e-09,1.07702227236766e-08,"FGFR4_STAT1"
"9222","HMGB2","POU2F2",0.221704885861107,2.18243638716586e-08,6.6413427362666e-08,"HMGB2_POU2F2"
"16155","GPR35","GNAI1",-0.422236568074527,0,0,"GPR35_GNAI1"
"16176","F2RL2","GNAI1",-0.197577465488962,6.53460514365989e-07,1.75843757562413e-06,"F2RL2_GNAI1"
"16229","HTR1D","GNAI1",-0.23868245422,1.56220414382346e-09,5.19533706840808e-09,"HTR1D_GNAI1"
"39634","NLGN2","NRXN1",0.507028278198578,0,0,"NLGN2_NRXN1"
"46588","CHEK1","ERRFI1",-0.325971386930542,0,0,"CHEK1_ERRFI1"
"67986","NEK2","NDC80",0.733490083824977,0,0,"NEK2_NDC80"
"76967","PRKD1","CACNA1C",0.65768651125486,0,0,"PRKD1_CACNA1C"
"93182","STAT1","NOS2",0.148000741531479,0.000207181237548593,0.000436701928632578,"STAT1_NOS2"
"95494","CHEK1","PLK1",0.721137698687483,0,0,"CHEK1_PLK1"
"95889","PRKDC","PDX1",0.252256571468582,1.63309143985657e-10,5.83624277203158e-10,"PRKDC_PDX1"
"98176","TNFRSF10C","TNFSF10",0.220580853944502,2.58001600084157e-08,7.8066834099716e-08,"TNFRSF10C_TNFSF10"
"106675","MSX2","DLX5",0.251117080877481,1.98426164388366e-10,7.04676006431964e-10,"MSX2_DLX5"
"109820","ULK1","DENND3",0.621513046347117,0,0,"ULK1_DENND3"
"111594","PLK1","GTSE1",0.756794425874587,0,0,"PLK1_GTSE1"
"112805","IFNG","RIPK2",0.425538551056017,0,0,"IFNG_RIPK2"
"121462","MSX2","DLX2",0.25296563494409,1.44598333307044e-10,5.18760498595973e-10,"MSX2_DLX2"
"125646","NHLH2","HES1",0.105824454146038,0.0081539919799698,0.0139730619597928,"NHLH2_HES1"
"136179","HPN","F7",0.106473960740668,0.00776879468633451,0.0133552695361427,"HPN_F7"
"136834","PRKD1","ATP7B",-0.305844018325589,5.55111512312578e-15,2.67299278916436e-14,"PRKD1_ATP7B"
"143819","PDX1","INS",-0.214176239843132,6.58272134579363e-08,1.92683305828229e-07,"PDX1_INS"
"157488","MAP2K6","HSF4",-0.288747951254277,1.90070181815827e-13,8.30693643972079e-13,"MAP2K6_HSF4"
"158014","CCL7","CCR1",0.374991857695834,0,0,"CCL7_CCR1"
"158161","CCL5","CCR1",0.498651454978389,0,0,"CCL5_CCR1"
"169299","CHEK1","RB1",0.491573259844584,0,0,"CHEK1_RB1"
"197944","PLK1","CDC20",0.84360502133325,0,0,"PLK1_CDC20"
"200992","PRKD1","KCNH2",0.539415831669401,0,0,"PRKD1_KCNH2"
"215353","TCF3","BBC3",0.379835585325653,0,0,"TCF3_BBC3"
"221160","NANOG","CDX2",0.136647427966052,0.000620081587519028,0.00123650849029169,"NANOG_CDX2"
"221835","ACAT1","PDP1",-0.301743884870275,1.33226762955019e-14,6.26418747924151e-14,"ACAT1_PDP1"
"228730","HNF4A","PCSK9",0.350977726729832,0,0,"HNF4A_PCSK9"
"235674","SOSTDC1","WNT2",-0.206364209896638,1.98516461935583e-07,5.58324374543219e-07,"SOSTDC1_WNT2"
"239963","SATB1","IL23A",-0.194200832032707,1.01855820733299e-06,2.6945018942379e-06,"SATB1_IL23A"
"248906","TPO","TG",0.500038565292944,0,0,"TPO_TG"
"250944","CDX2","TFF3",0.268671436335302,8.86557494084173e-12,3.46468096007021e-11,"CDX2_TFF3"
"256027","SPI1","CD68",0.646330920539605,0,0,"SPI1_CD68"
"269239","CHEK1","CDC25C",0.667173062388543,0,0,"CHEK1_CDC25C"
"269449","PLK1","CDC25C",0.741729643061012,0,0,"PLK1_CDC25C"
"270537","SPI1","FCGR1A",0.638290615647965,0,0,"SPI1_FCGR1A"
"272036","CENPE","MAD2L1",0.707297537425766,0,0,"CENPE_MAD2L1"
"272096","TTK","MAD2L1",0.789110689509807,0,0,"TTK_MAD2L1"
"276313","HSPA1A","PACRG",0.106306321066858,0.00786662570076091,0.0135126406491457,"HSPA1A_PACRG"
"278892","SOHLH2","KIT",-0.087583288313923,0.0286952246189704,0.0449161279865734,"SOHLH2_KIT"
"290931","CHEK1","CDC7",0.677115277889909,0,0,"CHEK1_CDC7"
"325659","PLK1","BORA",0.56031853875793,0,0,"PLK1_BORA"
"328083","PLK1","KIF2C",0.831657954051679,0,0,"PLK1_KIF2C"
"334539","KDM5D","H3.4",-0.0898827321761283,0.0247479623681088,0.0391845381300387,"KDM5D_H3.4"
"334593","SIRT7","H3.4",-0.149391355893783,0.000180142535073591,0.000382245462094107,"SIRT7_H3.4"
"352009","RASGEF1A","NRAS",0.265427147325576,1.60245150482297e-11,6.15397096660612e-11,"RASGEF1A_NRAS"
"352269","RASGEF1C","NRAS",-0.311504272209784,1.77635683940025e-15,8.80530253905888e-15,"RASGEF1C_NRAS"
"356761","CXCL9","CXCR3",0.508010492598809,0,0,"CXCL9_CXCR3"
"357843","MAP2K6","MAPK10",-0.251944925067717,1.7226087223321e-10,6.14542786366411e-10,"MAP2K6_MAPK10"
"358080","MAPK8IP3","MAPK10",0.242592361436866,8.26508639306667e-10,2.8062016860911e-09,"MAPK8IP3_MAPK10"
"359572","TNFSF10","TNFRSF10A",0.292454484408202,9.01501095995627e-14,4.02352093794647e-13,"TNFSF10_TNFRSF10A"
"365206","RAD18","PCNA",0.595121273385178,0,0,"RAD18_PCNA"
"374260","HNF4A","NPC1L1",0.435335844178054,0,0,"HNF4A_NPC1L1"
"374731","PRKDC","DCLRE1C",0.376230275901352,0,0,"PRKDC_DCLRE1C"
"378622","PTPRC","LYN",0.29963493843156,2.06501482580279e-14,9.59521346591772e-14,"PTPRC_LYN"
"390869","RB1","E2F2",0.362338636616926,0,0,"RB1_E2F2"
"392364","TPX2","KIF11",0.780168175632768,0,0,"TPX2_KIF11"
"393612","FCN2","MASP1",0.222892512219788,1.82695831796309e-08,5.59304861209116e-08,"FCN2_MASP1"
"401641","ESRRB","NR0B1",0.148922087281889,0.000188873329075134,0.000399879402833167,"ESRRB_NR0B1"
"402839","STAT1","CIITA",0.513103868653833,0,0,"STAT1_CIITA"
"410373","MAP2K6","MAPK12",-0.271048681493496,5.71653835379493e-12,2.26383212217459e-11,"MAP2K6_MAPK12"
"410516","TNFRSF17","MAPK12",-0.10118825867139,0.0114352837471199,0.0191541561389904,"TNFRSF17_MAPK12"
"419977","MAPK12","KRT8",-0.312292542894812,1.33226762955019e-15,6.64885253430235e-15,"MAPK12_KRT8"
"433101","PRKDC","H2AX",0.349974735319582,0,0,"PRKDC_H2AX"
"433516","EYA1","H2AX",-0.189009317106919,1.98536734341559e-06,5.11887783266341e-06,"EYA1_H2AX"
"444929","OTX1","BEST1",-0.301762808071804,1.33226762955019e-14,6.26418747924151e-14,"OTX1_BEST1"
"446954","EFNA3","EPHA2",0.430332693142706,0,0,"EFNA3_EPHA2"
"461337","SPI1","OSCAR",0.679601242104807,0,0,"SPI1_OSCAR"
"476809","SOSTDC1","WNT11",-0.0917150060134209,0.0219473788934912,0.0350677892401193,"SOSTDC1_WNT11"
"480918","CHEK1","SYK",0.412217500497303,0,0,"CHEK1_SYK"
"485058","PLK1","CDCA5",0.830715027685374,0,0,"PLK1_CDCA5"
"495948","PLK1","SVIL",-0.374342124060434,0,0,"PLK1_SVIL"
"506161","RIMBP3","RIMS3",-0.113655423628055,0.00447422727355229,0.00796875984589285,"RIMBP3_RIMS3"
"512785","BRIP1","BRCA1",0.687069684893691,0,0,"BRIP1_BRCA1"
"513093","RBBP8","BRCA1",0.485192642360176,0,0,"RBBP8_BRCA1"
"513196","ASPM","BRCA1",0.740465429122674,0,0,"ASPM_BRCA1"
"513543","PALB2","BRCA1",0.692988198289815,0,0,"PALB2_BRCA1"
"515671","NR2F1","LHCGR",0.404456119413316,0,0,"NR2F1_LHCGR"
"524107","PRKD1","RTKN",-0.451696098127693,0,0,"PRKD1_RTKN"
